0,47,67,17,58,53,49,85,64,49,33,69,48,79,63,55,75,61,23,45,95,14,74,41,35,76,84,56,94,100,16,74,53,46,44,83,50,69,63,42,16,9,77,80,95,58,16
47,0,65,30,75,13,54,56,89,13,22,59,87,76,34,94,32,55,38,22,86,35,35,18,32,74,81,77,84,99,33,81,92,81,8,71,51,64,47,11,59,42,32,40,93,96,63
67,65,0,63,26,55,17,42,43,53,46,10,65,12,38,68,62,9,82,42,28,70,54,46,37,9,17,32,28,35,55,18,66,55,71,19,16,5,21,53,61,72,66,55,29,68,70
17,30,63,0,61,37,46,73,72,33,20,62,61,76,50,69,59,55,18,32,90,7,59,27,26,73,80,61,88,98,8,74,66,58,26,76,46,64,53,26,31,13,60,64,92,71,33
58,75,26,61,0,69,22,68,16,66,53,36,41,32,59,42,82,31,79,55,48,67,75,57,43,30,35,5,50,47,53,18,40,30,79,44,27,32,44,64,47,66,86,78,43,42,56
53,13,55,37,69,0,46,43,84,4,21,48,88,66,21,94,22,45,49,14,74,44,22,14,28,64,70,72,72,87,37,73,92,80,21,59,43,53,35,10,63,50,23,28,82,96,68
49,54,17,46,22,46,0,49,39,43,33,21,53,29,36,57,59,14,65,32,45,53,53,35,22,26,34,26,45,51,38,28,55,43,58,34,4,20,23,42,45,55,63,56,46,58,53
85,56,42,73,68,43,49,0,85,44,53,31,103,45,22,107,32,36,89,41,43,81,24,46,50,45,47,73,40,60,69,60,104,92,64,31,45,37,26,50,88,86,36,21,55,107,96
64,89,43,72,16,84,39,85,0,81,67,53,32,46,76,31,99,48,87,70,61,75,92,71,57,44,48,12,63,55,63,30,30,24,92,60,43,48,61,78,50,73,103,95,53,30,57
49,13,53,33,66,4,43,44,81,0,17,46,84,64,21,90,25,43,47,10,73,40,25,10,24,62,68,68,71,86,33,70,88,76,21,58,40,51,34,7,59,46,27,31,80,92,64
33,22,46,20,53,21,33,53,67,17,0,44,66,59,30,73,42,38,38,12,72,28,40,8,10,56,64,54,70,82,17,61,70,59,26,57,31,47,33,12,41,33,45,46,76,75,47
69,59,10,62,36,48,21,31,53,46,44,0,74,17,30,77,52,7,81,37,28,70,45,42,36,16,21,42,26,39,55,29,75,63,66,14,18,6,13,48,66,72,57,45,33,77,75
48,87,65,61,41,88,53,103,32,84,66,74,0,73,87,7,107,67,71,75,90,62,103,74,60,70,76,35,91,87,55,59,5,10,87,84,58,70,77,78,31,57,110,107,83,10,34
79,76,12,76,32,66,29,45,46,64,59,17,73,0,47,75,70,21,94,54,16,83,62,59,50,3,4,38,17,22,68,16,73,62,83,15,29,12,31,65,73,84,74,62,16,74,82
63,34,38,50,59,21,36,22,76,21,30,30,87,47,0,92,23,29,66,18,54,58,16,23,29,46,51,63,51,68,47,57,90,78,43,38,32,35,17,27,68,63,27,19,62,93,75
55,94,68,69,42,94,57,107,31,90,73,77,7,75,92,0,113,70,79,81,91,69,108,80,66,72,77,36,92,86,62,60,2,14,94,87,62,73,81,85,38,65,116,112,84,2,42
75,32,62,59,82,22,59,32,99,25,42,52,107,70,23,113,0,53,71,32,74,66,8,34,46,68,73,86,70,89,59,81,110,98,40,59,55,58,40,33,84,72,4,11,83,114,89
61,55,9,55,31,45,14,36,48,43,38,7,67,21,29,70,53,0,74,33,34,63,45,37,29,18,25,36,33,44,48,28,68,56,62,21,10,9,13,44,58,65,57,47,38,71,67
23,38,82,18,79,49,65,89,87,47,38,81,71,94,66,79,71,74,0,48,109,12,72,43,45,91,99,77,107,117,26,92,77,70,31,95,65,83,72,40,40,14,71,78,111,81,38
45,22,42,32,55,14,32,41,70,10,12,37,75,54,18,81,32,33,48,0,65,40,29,5,14,52,58,57,62,76,29,59,78,67,29,50,29,42,25,11,52,45,35,34,70,83,58
95,86,28,90,48,74,45,43,61,73,72,28,90,16,54,91,74,34,109,65,0,97,65,70,63,19,13,54,4,16,83,31,89,79,94,15,44,25,39,76,90,100,78,64,12,90,99
14,35,70,7,67,44,53,81,75,40,28,70,62,83,58,69,66,63,12,40,97,0,66,35,34,80,87,66,96,105,14,80,67,59,30,84,53,72,61,33,31,6,67,72,99,72,30
74,35,54,59,75,22,53,24,92,25,40,45,103,62,16,108,8,45,72,29,65,66,0,32,43,60,65,80,62,81,57,73,105,94,43,50,49,51,32,32,81,72,12,5,75,109,88
41,18,46,27,57,14,35,46,71,10,8,42,74,59,23,80,34,37,43,5,70,35,32,0,14,56,63,59,68,81,24,63,78,66,24,55,32,46,30,7,49,40,37,38,75,82,55
35,32,37,26,43,28,22,50,57,24,10,36,60,50,29,66,46,29,45,14,63,34,43,14,0,47,54,44,62,72,20,51,64,52,36,50,21,38,27,20,39,37,49,48,67,68,46
76,74,9,73,30,64,26,45,44,62,56,16,70,3,46,72,68,18,91,52,19,80,60,56,47,0,7,35,20,25,65,15,70,60,80,16,26,10,29,63,70,81,73,61,19,72,79
84,81,17,80,35,70,34,47,48,68,64,21,76,4,51,77,73,25,99,58,13,87,65,63,54,7,0,41,15,18,73,18,75,65,87,16,34,16,35,70,77,89,78,65,12,77,86
56,77,32,61,5,72,26,73,12,68,54,42,35,38,63,36,86,36,77,57,54,66,80,59,44,35,41,0,56,52,53,24,34,24,80,50,30,37,48,65,43,64,90,82,48,36,52
94,84,28,88,50,72,45,40,63,71,70,26,91,17,51,92,70,33,107,62,4,96,62,68,62,20,15,56,0,20,81,33,90,80,91,12,43,24,37,74,89,98,75,60,16,92,98
100,99,35,98,47,87,51,60,55,86,82,39,87,22,68,86,89,44,117,76,16,105,81,81,72,25,18,52,20,0,90,28,85,76,105,30,51,35,52,88,92,106,93,80,5,86,101
16,33,55,8,53,37,38,69,63,33,17,55,55,68,47,62,59,48,26,29,83,14,57,24,20,65,73,53,81,90,0,66,60,50,31,69,38,57,48,26,26,17,61,63,84,65,30
