0,47,44,35,51,88,99,20,72,56,14,30,57,94,88,48,79,48,57,48,65,42,67,70,67,36,83,53,91,65,95,26,63,42,68,81,95,88,14,22,49,41,30,56,66,48,65,104
47,0,6,13,95,115,124,27,66,92,60,69,47,80,97,4,107,92,49,85,47,40,97,81,78,32,81,96,94,97,120,21,43,40,76,97,117,104,57,30,83,88,41,86,53,12,85,94
44,6,0,9,90,109,118,24,60,87,57,65,41,74,91,3,101,88,43,79,41,34,91,74,72,26,75,92,88,92,114,19,37,33,69,91,111,97,53,26,77,85,35,81,47,7,79,88
35,13,9,0,82,102,112,15,58,79,48,56,39,75,87,12,94,79,41,71,42,29,84,70,67,20,73,83,85,84,107,10,39,29,65,86,105,92,44,17,70,76,28,73,47,13,73,88
51,95,90,82,0,57,67,67,85,23,36,26,81,109,80,94,47,3,79,21,92,70,39,67,66,71,89,2,88,33,66,75,93,70,69,66,68,71,38,64,28,22,59,33,88,92,53,114
88,115,109,102,57,0,11,94,68,35,77,58,77,84,40,112,10,59,75,43,86,76,21,41,43,83,61,55,51,25,9,101,89,76,47,27,12,25,75,87,39,79,73,32,79,107,30,81
99,124,118,112,67,11,0,105,73,46,88,69,84,87,41,121,21,70,82,54,92,84,32,47,49,92,64,65,53,36,4,111,96,85,53,31,10,27,86,97,50,90,83,43,85,115,39,82
20,27,24,15,67,94,105,0,62,67,32,43,44,82,85,28,86,65,45,59,50,30,75,67,65,22,76,69,86,74,101,7,48,30,64,81,99,88,29,8,59,60,23,63,53,28,67,94
72,66,60,58,85,68,73,62,0,67,73,63,18,24,35,62,65,85,17,65,21,31,60,26,25,40,15,86,29,65,68,64,26,31,20,42,64,46,67,53,59,95,41,56,14,54,40,32
56,92,87,79,23,35,46,67,67,0,44,25,67,89,57,91,25,25,65,8,77,59,15,45,45,63,68,22,66,10,44,75,80,59,49,43,46,48,42,61,9,44,51,10,73,87,30,92
14,60,57,48,36,77,88,32,73,44,0,19,61,96,83,60,68,33,60,35,70,46,56,65,63,43,82,38,88,53,85,39,70,46,65,74,85,81,5,32,38,28,34,45,70,60,57,105
30,69,65,56,26,58,69,43,63,25,19,0,56,87,67,69,48,24,54,17,66,43,37,50,48,44,70,27,73,34,66,50,67,44,51,56,66,63,16,38,19,32,33,26,64,66,40,94
57,47,41,39,81,77,84,44,18,67,61,56,0,37,51,43,72,80,2,63,10,15,64,37,35,22,34,82,47,68,79,46,12,14,31,54,75,60,55,36,57,87,27,57,8,35,47,49
94,80,74,75,109,84,87,82,24,89,96,87,37,0,45,75,83,109,37,88,33,52,80,45,45,60,22,109,34,86,82,83,37,52,40,57,77,59,91,74,82,119,64,78,29,68,60,14
88,97,91,87,80,40,41,85,35,57,83,67,51,45,0,94,42,81,49,59,56,57,43,18,21,66,23,79,11,49,37,90,61,58,21,14,31,14,78,77,53,97,62,47,49,86,27,41
48,4,3,12,94,112,121,28,62,91,60,69,43,75,94,0,105,92,45,83,42,37,95,77,75,29,77,96,90,96,117,22,38,36,72,94,114,100,57,30,81,89,39,85,49,7,82,89
79,107,101,94,47,10,21,86,65,25,68,48,72,83,42,105,0,50,69,33,81,69,11,38,40,75,61,45,53,15,18,93,85,69,44,27,21,29,65,78,29,69,66,23,75,100,25,82
48,92,88,79,3,59,70,65,85,25,33,24,80,109,81,92,50,0,79,21,91,68,41,67,66,69,90,5,89,35,69,72,92,69,70,68,71,73,35,62,29,19,58,34,88,90,54,114
57,49,43,41,79,75,82,45,17,65,60,54,2,37,49,45,69,79,0,61,12,15,62,34,32,23,32,80,45,65,77,47,15,15,28,51,73,57,55,37,55,86,26,55,9,38,44,48
48,85,79,71,21,43,54,59,65,8,35,17,63,88,59,83,33,21,61,0,73,53,22,46,45,56,68,20,67,18,51,67,75,54,48,46,52,52,34,54,7,38,45,13,69,80,32,92
65,47,41,42,92,86,92,50,21,77,70,66,10,33,56,42,81,91,12,73,0,23,74,45,43,28,36,92,50,78,88,50,4,23,39,62,83,67,64,43,68,97,36,68,7,35,56,46
42,40,34,29,70,76,84,30,31,59,46,43,15,52,57,37,69,68,15,53,23,0,60,40,38,9,45,71,56,62,80,34,23,0,35,57,77,63,41,22,49,73,12,51,24,31,45,63
67,97,91,84,39,21,32,75,60,15,56,37,64,80,43,95,11,41,62,22,74,60,0,35,35,66,58,37,53,6,29,82,77,60,40,28,30,32,54,68,17,60,55,11,69,90,20,81
70,81,74,70,67,41,47,67,26,45,65,50,37,45,18,77,38,67,34,46,45,40,35,0,2,49,23,66,22,40,42,72,49,41,6,17,38,23,60,58,39,82,44,34,38,71,15,47
67,78,72,67,66,43,49,65,25,45,63,48,35,45,21,75,40,66,32,45,43,38,35,2,0,46,23,65,24,40,44,70,47,38,4,19,40,25,58,56,38,80,41,34,36,68,15,47
36,32,26,20,71,83,92,22,40,63,43,44,22,60,66,29,75,69,23,56,28,9,66,49,46,0,54,72,65,67,87,24,27,8,44,65,85,72,38,14,53,71,11,56,30,24,52,71
83,81,75,73,89,61,64,76,15,68,82,70,34,22,23,77,61,90,32,68,36,45,58,23,23,54,0,89,14,64,60,79,41,45,19,34,54,37,77,67,61,102,53,58,29,69,39,24
53,96,92,83,2,55,65,69,86,22,38,27,82,109,79,96,45,5,80,20,92,71,37,66,65,72,89,0,88,31,64,77,94,71,69,65,67,70,40,66,27,25,60,32,89,94,52,113
91,94,88,85,88,51,53,86,29,66,88,73,47,34,11,90,53,89,45,67,50,56,53,22,24,65,14,88,0,59,48,90,55,56,23,25,43,25,82,77,60,104,63,55,43,83,35,29
65,97,92,84,33,25,36,74,65,10,53,34,68,86,49,96,15,35,65,18,78,62,6,40,40,67,64,31,59,0,33,81,80,62,45,35,35,39,51,67,15,54,56,11,72,91,25,87
