0,64,78,37,16,41,63,57,77,56,53,60,104,98,30,73,64,30,74,65,49,48,58,21,69,22,65,32,66,56,56,67,75,47,17,75,78,70,32,7,86,48
64,0,117,59,80,37,76,100,37,86,90,55,89,88,34,84,30,59,14,28,37,29,67,64,58,79,9,80,2,103,52,83,50,60,56,64,65,112,32,67,76,70
78,117,0,58,69,79,46,20,101,31,27,69,82,75,96,45,95,60,118,97,80,88,53,60,71,56,111,45,119,22,69,41,86,57,95,72,74,7,97,70,72,47
37,59,58,0,42,21,27,41,52,27,30,25,67,61,40,37,41,7,62,43,25,31,20,17,33,32,54,25,61,44,22,32,43,9,48,39,43,53,41,32,49,13
16,80,69,42,0,53,65,48,89,54,48,68,109,103,47,74,77,35,90,78,61,61,62,25,76,13,80,26,82,46,64,68,84,52,32,82,85,61,49,13,92,50
41,37,79,21,53,0,41,63,36,48,52,25,69,65,26,51,24,22,41,25,8,9,32,30,32,47,32,44,40,65,21,48,35,23,44,40,42,74,26,39,52,32
63,76,46,27,65,41,0,39,55,18,27,23,45,38,66,9,50,34,74,52,39,48,9,42,24,52,69,40,79,44,24,6,39,19,76,26,29,45,66,57,30,15
57,100,20,41,48,63,39,0,90,20,12,58,83,75,77,42,81,42,103,84,66,72,43,40,62,36,95,25,103,5,57,36,77,43,74,65,68,13,78,50,69,33
77,37,101,52,89,36,55,90,0,70,77,32,53,53,55,60,13,56,26,12,28,29,47,66,31,82,28,77,38,94,32,61,17,46,77,33,32,98,54,76,43,56
56,86,31,27,54,48,18,20,70,0,9,38,63,55,67,23,63,31,86,66,49,57,23,35,42,40,79,27,88,25,38,16,56,26,72,44,47,28,68,49,48,15
53,90,27,30,48,52,27,12,77,9,0,45,72,64,68,32,69,32,92,72,54,61,31,34,50,34,84,21,92,17,44,25,64,31,69,53,56,22,70,46,57,21
60,55,69,25,68,25,23,58,32,38,45,0,44,40,52,30,27,32,51,29,19,28,15,43,8,58,46,49,57,62,4,29,18,16,68,15,18,66,52,57,27,25
104,89,82,67,109,69,45,83,53,63,72,44,0,7,95,40,59,74,79,61,62,69,47,84,36,97,80,86,91,88,49,46,39,57,112,29,26,84,95,99,17,59
98,88,75,61,103,65,38,75,53,55,64,40,7,0,92,32,58,68,79,59,58,66,41,78,32,90,79,79,90,81,44,39,37,51,107,25,23,77,92,93,12,52
30,34,96,40,47,26,66,77,55,67,68,52,95,92,0,75,42,36,45,42,33,27,57,36,59,48,36,53,36,77,47,71,59,46,23,66,68,89,1,34,79,54
73,84,45,37,74,51,9,42,60,23,32,30,40,32,75,0,57,44,81,59,47,56,18,52,29,60,76,48,87,48,32,6,43,29,86,27,30,45,76,67,27,24
