0,39,58,36,88,44,62,63,86,51,68,74,50,61,91,67,45,34,12,32,70,39,74,62,83,84,90,52,16,68,94,60,57,39,62,73,71,44,14,98,42,74,76,59,59,76,26,105,55,64,66
39,0,50,54,52,62,87,86,61,69,32,88,41,34,69,73,75,12,42,12,64,5,74,62,79,89,68,17,23,31,71,27,49,45,23,89,69,69,51,67,69,42,40,70,40,39,62,100,81,72,49
58,50,0,34,53,35,60,55,34,38,44,47,9,28,35,27,56,39,49,40,14,44,25,15,28,40,35,40,50,47,40,37,1,21,48,48,19,47,58,52,50,39,48,30,14,50,60,50,56,29,12
36,54,34,0,82,8,33,31,68,16,67,38,31,54,70,31,23,42,23,41,40,49,40,30,51,48,69,55,38,69,74,58,33,14,66,37,39,15,29,85,17,67,73,23,43,74,27,71,27,28,46
88,52,53,82,0,86,113,108,30,91,19,100,51,28,38,80,106,53,85,55,61,50,74,67,70,89,37,36,71,21,36,27,54,67,29,102,68,97,96,19,99,15,12,84,40,13,103,85,108,82,41
44,62,35,8,86,0,27,24,69,7,73,29,34,58,70,25,21,50,32,49,38,57,35,27,46,41,69,62,47,75,74,64,34,19,73,29,35,12,36,87,15,71,78,16,46,80,31,65,21,21,48
62,87,60,33,113,27,0,6,93,21,100,26,61,85,92,39,16,76,50,75,58,83,50,48,61,47,92,88,70,102,97,91,59,46,100,24,53,19,49,112,20,98,105,31,73,106,38,74,7,35,72
63,86,55,31,108,24,6,0,88,17,96,20,57,81,87,33,19,74,51,73,53,81,44,43,55,41,86,85,69,99,91,87,54,43,97,18,47,19,50,107,20,93,101,25,68,103,40,68,9,29,68
86,61,34,68,30,69,93,88,0,72,35,76,37,27,8,56,91,55,79,57,36,56,48,45,42,61,8,45,73,39,9,35,35,54,46,78,43,81,89,19,84,23,33,62,27,35,93,55,90,59,22
51,69,38,16,91,7,21,17,72,0,78,22,39,63,72,22,21,56,38,56,38,64,33,28,45,37,71,68,54,81,76,69,37,25,79,22,34,12,42,90,16,76,84,12,51,85,35,62,18,18,51
68,32,44,67,19,73,100,96,35,78,0,91,39,16,44,72,91,33,67,35,56,30,69,59,68,84,43,16,52,3,44,9,44,53,11,92,63,83,77,35,84,11,7,74,30,7,85,86,94,73,35
74,88,47,38,100,29,26,20,76,22,91,0,52,75,73,20,37,76,61,76,40,83,28,32,38,22,73,84,76,94,78,83,47,43,94,1,33,32,64,96,35,86,96,18,62,97,56,48,28,18,59
50,41,9,31,51,34,61,57,37,39,39,52,0,24,41,33,55,29,42,30,23,35,33,22,38,48,40,32,41,42,44,31,8,16,42,53,28,46,52,53,48,36,44,34,12,45,55,60,56,34,15
61,34,28,54,28,58,85,81,27,63,16,75,24,0,35,56,77,28,57,30,40,29,53,43,53,68,34,17,47,19,37,9,28,39,22,76,47,69,68,36,71,13,20,58,13,21,74,72,80,57,20
91,69,35,70,38,70,92,87,8,72,44,73,41,35,0,53,91,62,83,64,34,64,45,43,37,57,0,53,78,48,4,43,37,56,54,75,40,82,93,24,85,32,42,61,32,44,96,47,90,57,25
67,73,27,31,80,25,39,33,56,22,72,20,33,56,53,0,43,60,54,61,20,67,10,12,22,17,53,66,65,75,58,64,27,29,75,22,13,35,61,75,39,66,76,10,42,77,57,40,38,4,38
45,75,56,23,106,21,16,19,91,21,91,37,55,77,91,43,0,63,35,63,59,71,54,48,66,56,91,78,55,93,96,82,55,38,89,36,55,9,32,108,6,91,97,33,67,98,21,82,10,39,69
34,12,39,42,53,50,76,74,55,56,33,76,29,28,62,60,63,0,34,2,53,7,62,50,67,77,61,17,18,34,65,25,37,32,27,76,57,57,44,64,57,40,41,57,31,41,53,89,69,60,40
12,42,49,23,85,32,50,51,79,38,67,61,42,57,83,54,35,34,0,32,60,40,62,51,72,72,82,51,20,67,87,58,47,29,62,60,60,32,10,93,30,70,74,47,52,74,19,93,43,52,58
32,12,40,41,55,49,75,73,57,56,35,76,30,30,64,61,63,2,32,0,54,8,63,51,69,77,63,19,16,36,66,27,38,32,29,76,58,56,42,66,56,42,43,57,33,43,52,90,69,60,41
70,64,14,40,61,38,58,53,36,38,56,40,23,40,34,20,59,53,60,54,0,59,13,10,14,28,33,54,63,59,38,49,15,30,62,42,7,50,68,55,53,48,59,27,27,60,67,36,56,23,20
39,5,44,49,50,57,83,81,56,64,30,83,35,29,64,67,71,7,40,8,59,0,68,56,73,83,63,13,22,29,66,23,43,39,22,83,63,64,50,63,65,38,37,65,35,37,60,94,77,67,43
74,74,25,40,74,35,50,44,48,33,69,28,33,53,45,10,54,62,62,63,13,68,0,12,11,15,45,65,70,72,49,62,26,34,74,30,6,45,69,68,49,62,72,20,39,73,66,31,49,14,34
62,62,15,30,67,27,48,43,45,28,59,32,22,43,43,12,48,50,51,51,10,56,12,0,20,26,43,54,57,63,48,52,15,23,63,34,8,39,59,64,43,54,63,17,29,65,57,42,46,14,26
83,79,28,51,70,46,61,55,42,45,68,38,38,53,37,22,66,67,72,69,14,73,11,20,0,19,37,67,77,72,41,62,30,43,75,40,11,57,80,61,61,59,70,32,40,71,77,22,61,26,33
84,89,40,48,89,41,47,41,61,37,84,22,48,68,57,17,56,77,72,77,28,83,15,26,19,0,57,81,82,88,61,77,41,47,89,24,21,49,78,81,53,77,87,25,54,88,72,26,49,20,49
