node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,order_id,is_dynamic,dynamic_appear_time,transfer_capacity
0,54.46308711071358,7.78565196087696,0,0,1,0,480,0,-1,0.0,-1.0,
1,95.54481914380675,24.696116699189254,0,1,0,0,480,14,-1,0.0,-1.0,28.0
2,85.96453453526065,16.88100057845642,0,1,0,0,480,12,-1,0.0,-1.0,25.0
3,85.39428821418528,1.3228812905293985,0,1,0,0,480,13,-1,0.0,-1.0,24.0
27,88.74689402128824,62.543345016659345,-4,0,0,129,250,12,1,,,
4,51.178045656948065,76.94425794215569,4,0,0,136,263,5,1,,,
6,81.96248695476449,88.8191349661304,-4,0,0,272,381,18,2,,,
5,93.47955174927833,90.92021362064871,4,0,0,167,284,15,2,,,
15,8.744650179988545,37.73631767966508,-4,0,0,340,417,11,3,,,
7,19.92196858370765,28.418429571172876,4,0,0,151,284,17,3,,,
26,93.80641395681313,91.76472779044335,-3,0,0,273,444,8,4,,,
10,15.987976336644138,69.12466637859893,3,0,0,100,204,6,4,,,
24,34.259108281113186,62.76688771588087,-4,0,0,16,89,5,5,,,
13,73.94692332387272,64.55343564105223,4,0,0,156,310,8,5,,,
25,19.201608474003674,14.602101929696254,-2,0,0,337,416,12,6,,,
14,15.577326058017016,54.70453456155777,2,0,0,46,212,16,6,,,
23,38.161649910913496,77.5234538899056,-4,0,0,264,402,15,7,,,
16,41.35165302899592,3.9811439445753827,4,0,0,270,421,9,7,,,
19,4.310010894832406,17.909493932818155,-2,0,0,246,395,8,8,,,
17,27.398809946997183,95.56494672664894,2,0,0,25,173,14,8,,,
11,16.75665393045065,31.030848210454753,-3,0,0,153,304,5,9,,,
18,95.36326078296895,35.23270542525393,3,0,0,337,492,9,9,,,
22,10.868253937469207,98.12575773912768,-3,0,0,130,286,14,10,,,
20,39.221779343354015,94.77796979692297,3,0,0,274,350,16,10,,,
9,39.33206703851887,54.45553246546755,-4,0,0,75,190,19,11,,,
21,14.119906353718491,76.35158436682123,4,0,0,130,296,5,11,,,
29,33.47890418906792,31.37031247571562,-3,0,0,54,212,12,12,,,
28,80.82682112162783,6.903693691137491,3,0,0,307,466,9,12,,,
32,81.43839206690815,38.21234944599732,-2,0,0,117,222,18,13,,,
30,63.56453219526132,35.59577734706405,2,0,0,355,430,12,13,,,
8,28.89685249210585,37.70539310016988,-3,0,0,188,309,5,14,,,
31,14.85067816436808,59.646707541354374,3,0,0,48,132,14,14,,,
12,50.33451306061541,79.64405615234773,-3,0,0,117,248,17,15,,,
33,13.22687150984817,19.668819731282305,3,0,0,347,412,8,15,,,
