0,14,27,72,71,72,90,45,57,70,93,103,61,62,26,87,70,77,52,68,94,42,34,50,34,69,92,12,81,24,48,100,99,91,50,27,73,96,19,38,45,86,80,70,54,10,43,92,17,101,45,44,12,26
14,0,16,71,60,65,79,32,61,70,89,91,52,54,16,78,61,81,49,58,91,32,38,45,31,60,91,5,77,9,34,89,99,82,46,37,75,86,8,24,48,88,83,57,47,24,47,87,21,101,55,33,22,11
27,16,0,59,44,50,63,18,54,58,75,75,36,38,2,62,45,74,37,42,77,16,35,31,21,44,80,15,63,11,22,73,87,66,33,41,65,70,8,27,40,78,73,42,33,33,41,72,22,89,54,17,27,10
72,71,59,0,49,27,56,61,26,2,24,74,37,35,57,44,36,28,21,41,24,47,40,29,39,36,20,66,17,70,66,63,27,48,26,56,12,55,63,86,28,21,19,58,30,68,32,27,54,30,48,50,61,69
71,60,44,49,0,22,18,30,64,50,49,33,14,14,44,20,12,76,38,7,52,28,59,30,43,12,65,59,39,53,32,29,70,23,33,74,61,26,53,59,54,70,68,10,25,74,58,43,59,72,78,27,67,51
72,65,50,27,22,0,28,44,47,28,28,47,15,13,49,18,9,55,25,15,31,34,50,22,39,10,43,62,17,61,47,37,48,23,23,67,40,30,57,72,41,48,47,32,18,72,46,23,56,49,65,35,64,59
90,79,63,56,18,28,0,49,76,57,46,18,30,29,63,12,23,84,52,22,50,47,75,45,60,23,67,78,41,72,50,10,70,11,48,91,69,9,72,77,68,75,75,24,41,93,73,39,77,71,93,46,85,70
45,32,18,61,30,44,49,0,64,61,72,59,28,30,20,50,36,82,41,31,74,14,49,32,31,35,82,33,60,24,5,58,88,54,35,58,70,57,26,29,51,82,78,25,31,52,53,67,40,90,69,11,46,21
57,61,54,26,64,47,76,64,0,23,50,94,50,49,52,66,53,20,25,56,49,50,23,35,33,53,38,56,43,63,69,85,45,70,31,35,19,77,55,81,13,30,24,71,39,50,13,53,40,48,22,53,44,63
70,70,58,2,50,28,57,61,23,0,26,76,38,36,56,45,37,26,20,42,26,47,38,29,38,37,21,65,19,69,66,65,28,49,26,54,11,57,62,85,26,21,18,59,30,66,30,29,53,31,45,50,59,68
93,89,75,24,49,28,46,72,50,26,0,63,43,41,73,34,37,47,41,43,3,60,64,44,59,38,23,85,12,86,75,51,24,36,43,80,34,42,81,99,52,33,36,59,42,91,56,6,76,25,72,62,83,85
103,91,75,74,33,47,18,59,94,76,63,0,46,47,76,30,41,103,70,39,67,61,92,62,76,41,85,90,59,83,58,12,88,27,65,107,87,21,84,84,86,93,93,33,58,107,91,56,92,88,110,59,100,81
61,52,36,37,14,15,30,28,50,38,43,46,0,2,35,25,9,63,24,7,46,19,45,15,30,8,56,50,32,47,32,40,62,30,19,61,49,35,44,57,40,59,57,21,11,63,44,39,47,63,64,20,55,45
62,54,38,35,14,13,29,30,49,36,41,47,2,0,37,24,7,61,23,7,44,21,45,15,31,6,54,51,30,48,34,40,59,29,18,61,47,35,46,59,39,57,55,22,11,64,44,37,48,61,63,22,56,47
26,16,2,57,44,49,63,20,52,56,73,76,35,37,0,61,44,71,35,42,75,16,32,29,18,44,78,14,61,13,24,73,85,66,31,38,62,70,8,29,38,76,71,43,31,32,39,71,20,87,52,17,25,12
87,78,62,44,20,18,12,50,66,45,34,30,25,24,61,0,16,72,43,19,37,45,68,38,55,17,55,76,28,72,52,19,58,4,40,84,57,11,70,79,60,62,62,29,34,88,64,27,72,59,84,45,80,70
70,61,45,36,12,9,23,36,53,37,37,41,9,7,44,16,0,64,29,5,40,28,52,22,38,0,53,59,27,56,39,33,58,21,25,68,49,27,53,65,45,58,56,22,18,71,50,32,55,59,69,29,63,54
77,81,74,28,76,55,84,82,20,26,47,103,63,61,71,72,64,0,40,68,45,67,43,51,53,64,28,76,45,83,87,92,33,76,47,53,15,83,75,101,33,16,11,84,53,70,34,52,60,35,37,71,64,83
52,49,37,21,38,25,52,41,25,20,41,70,24,23,35,43,29,40,0,31,42,27,25,10,18,28,42,45,29,48,46,62,49,48,6,42,28,55,42,64,16,41,37,45,13,50,21,40,35,51,40,30,42,47
68,58,42,41,7,15,22,31,56,42,43,39,7,7,42,19,5,68,31,0,46,25,53,23,38,4,58,56,32,52,34,33,63,23,26,68,53,28,50,61,47,62,61,17,18,70,51,37,54,65,71,25,62,50
94,91,77,24,52,31,50,74,49,26,3,67,46,44,75,37,40,45,42,46,0,62,64,46,60,41,19,87,14,88,78,54,21,39,45,80,32,45,83,102,52,30,33,62,44,92,56,10,77,21,72,64,84,87
42,32,16,47,28,34,47,14,50,47,60,61,19,21,16,45,28,67,27,25,62,0,36,17,18,28,68,30,48,27,19,57,74,49,21,48,55,54,24,39,36,68,64,29,18,46,39,57,31,77,56,3,38,25
34,38,35,40,59,50,75,49,23,38,64,92,45,45,32,68,52,43,25,53,64,36,0,30,17,51,58,33,53,42,54,85,65,73,27,16,39,79,34,60,12,52,46,63,34,28,9,64,17,68,20,39,21,43
50,45,31,29,30,22,45,32,35,29,44,62,15,15,29,38,22,51,10,23,46,17,30,0,16,21,50,41,32,42,36,55,57,43,4,46,38,49,37,56,24,50,46,35,4,50,28,42,34,59,48,20,42,41
34,31,21,39,43,39,60,31,33,38,59,76,30,31,18,55,38,53,18,38,60,18,17,16,0,37,60,26,47,31,37,71,67,60,16,30,44,66,24,48,19,57,52,46,20,33,21,58,17,70,37,22,25,30
69,60,44,36,12,10,23,35,53,37,38,41,8,6,44,17,0,64,28,4,41,28,51,21,37,0,53,58,27,55,38,33,58,22,24,67,49,28,52,64,45,58,56,22,17,70,49,33,55,60,69,28,62,53
92,91,80,20,65,43,67,82,38,21,23,85,56,54,78,55,53,28,42,58,19,68,58,50,60,53,0,87,26,91,86,73,7,57,47,73,19,64,84,106,46,11,16,75,50,87,49,29,74,9,60,71,80,90
12,5,15,66,59,62,78,33,56,65,85,90,50,51,14,76,59,76,45,56,87,30,33,41,26,58,87,0,73,12,35,88,94,80,42,32,70,85,6,29,42,83,77,57,44,20,42,84,16,96,49,31,17,14
81,77,63,17,39,17,41,60,43,19,12,59,32,30,61,28,27,45,29,32,14,48,53,32,47,27,26,73,0,74,64,47,31,31,31,70,30,39,69,87,42,34,34,49,30,80,47,10,64,32,64,50,72,73
24,9,11,70,53,61,72,24,63,69,86,83,47,48,13,72,56,83,48,52,88,27,42,42,31,55,91,12,74,0,25,82,98,76,44,44,75,80,8,18,50,88,84,49,44,32,50,84,26,100,60,26,29,2
48,34,22,66,32,47,50,5,69,66,75,58,32,34,24,52,39,87,46,34,78,19,54,36,37,38,86,35,64,25,0,59,92,56,40,62,75,58,29,27,56,87,83,25,36,55,58,71,44,94,74,16,49,23
100,89,73,63,29,37,10,58,85,65,51,12,40,40,73,19,33,92,62,33,54,57,85,55,71,33,73,88,47,82,59,0,75,15,58,101,76,8,82,86,78,82,82,33,51,103,83,44,88,76,103,56,95,80
99,99,87,27,70,48,70,88,45,28,24,88,62,59,85,58,58,33,49,63,21,74,65,57,67,58,7,94,31,98,92,75,0,60,54,80,26,66,91,113,53,16,22,80,56,94,56,31,81,2,67,77,87,97
91,82,66,48,23,23,11,54,70,49,36,27,30,29,66,4,21,76,48,23,39,49,73,43,60,22,57,80,31,76,56,15,60,0,45,89,61,7,74,83,64,66,66,32,39,93,69,29,77,61,89,49,85,74
50,46,33,26,33,23,48,35,31,26,43,65,19,18,31,40,25,47,6,26,45,21,27,4,16,24,47,42,31,44,40,58,54,45,0,43,34,52,38,59,21,47,43,39,7,49,25,41,34,56,45,24,41,43
27,37,41,56,74,67,91,58,35,54,80,107,61,61,38,84,68,53,42,68,80,48,16,46,30,67,73,32,70,44,62,101,80,89,43,0,53,95,36,62,28,65,59,76,50,17,24,81,18,82,18,51,15,45
73,75,65,12,61,40,69,70,19,11,34,87,49,47,62,57,49,15,28,53,32,55,39,38,44,49,19,70,30,75,75,76,26,61,34,53,0,68,68,92,27,13,8,70,39,68,30,38,56,29,41,59,61,75
96,86,70,55,26,30,9,57,77,57,42,21,35,35,70,11,27,83,55,28,45,54,79,49,66,28,64,85,39,80,58,8,66,7,52,95,68,0,79,86,71,73,73,33,45,99,76,35,83,67,96,53,91,78
19,8,8,63,53,57,72,26,55,62,81,84,44,46,8,70,53,75,42,50,83,24,34,37,24,52,84,6,69,8,29,82,91,74,38,36,68,79,0,26,42,81,76,51,39,26,42,79,18,94,52,25,21,9
38,24,27,86,59,72,77,29,81,85,99,84,57,59,29,79,65,101,64,61,102,39,60,56,48,64,106,29,87,18,27,86,113,83,59,62,92,86,26,0,67,105,100,53,57,48,68,96,44,115,78,37,46,17
45,48,40,28,54,41,68,51,13,26,52,86,40,39,38,60,45,33,16,47,52,36,12,24,19,45,46,42,42,50,56,78,53,64,21,28,27,71,42,67,0,40,35,60,28,40,4,53,28,56,24,40,33,50
86,88,78,21,70,48,75,82,30,21,33,93,59,57,76,62,58,16,41,62,30,68,52,50,57,58,11,83,34,88,87,82,16,66,47,65,13,73,81,105,40,0,5,80,51,80,42,39,69,18,51,71,74,88
