0,70,46,39,34,88,40,45,88,87,20,57,77,79,56,92,79,33,58,34,72,85,52,93,51,57,92,53,35,74,63,46,69,55,60,50,17,24,34,38,25,69,40,42,30,25,59,54,74,71,34,49,43,56,56
70,0,94,78,60,18,42,25,54,18,60,106,81,63,64,70,12,55,62,79,63,61,23,66,93,13,78,62,35,29,77,71,82,60,101,45,58,46,85,32,77,68,30,47,80,79,42,92,8,29,52,76,59,85,76
46,94,0,17,80,110,82,77,83,113,65,12,51,67,42,78,107,78,45,15,58,75,71,82,9,86,73,41,68,84,38,27,41,44,15,53,41,62,11,73,70,51,67,48,17,21,61,14,102,80,42,24,37,23,31
39,78,17,0,71,93,69,62,67,96,57,28,41,52,26,64,90,68,29,7,44,60,54,67,15,70,61,25,54,66,27,11,32,27,24,36,28,49,12,58,65,37,51,31,12,17,44,16,85,62,25,10,20,16,19
34,60,80,71,0,77,18,36,99,73,14,92,101,96,80,108,65,5,80,67,91,100,55,108,85,47,112,76,30,78,90,74,96,77,94,66,43,25,68,30,21,91,40,60,63,59,72,87,60,76,55,78,67,86,84
88,18,110,93,77,0,59,43,56,8,78,121,89,69,76,73,13,73,74,95,71,64,39,68,108,31,82,74,54,33,89,86,93,73,115,58,76,64,101,51,95,78,48,62,96,96,53,106,17,36,68,90,74,98,89
40,42,82,69,18,59,0,20,84,55,22,94,93,85,72,95,47,13,71,67,80,87,40,94,84,30,100,68,17,62,83,69,90,68,93,55,41,20,70,15,37,81,26,50,64,61,59,85,42,60,48,74,60,83,78
45,25,77,62,36,43,20,0,65,41,35,89,78,66,57,77,34,31,56,61,63,67,20,75,78,12,82,54,10,42,70,59,76,54,86,39,37,21,66,7,52,65,10,36,61,59,41,78,28,40,37,64,48,73,67
88,54,83,67,99,56,84,65,0,64,91,91,41,18,41,17,64,94,38,73,25,10,44,12,77,59,26,42,68,25,48,56,49,39,80,37,70,74,80,69,108,33,58,45,77,80,29,73,63,25,53,59,49,62,53
87,18,113,96,73,8,55,41,64,0,75,124,95,75,81,80,8,69,79,97,77,72,41,76,111,29,89,79,52,40,93,89,98,77,118,62,77,63,103,49,92,83,48,65,98,97,58,109,13,42,70,94,77,102,93
20,60,65,57,14,78,22,35,91,75,0,77,89,86,67,99,68,12,68,52,80,90,49,99,70,47,101,64,25,73,77,61,83,65,79,56,29,16,54,27,17,79,34,49,49,44,63,72,62,70,43,64,54,72,71
57,106,12,28,92,121,94,89,91,124,77,0,55,74,50,84,118,90,53,27,65,82,82,88,14,98,78,50,81,94,43,36,45,52,11,63,53,74,24,85,80,57,79,59,29,33,71,18,114,90,54,32,48,28,38
77,81,51,41,101,89,93,78,41,95,89,55,0,23,21,30,93,97,21,48,18,31,60,35,43,79,23,25,75,56,14,31,10,24,43,38,60,76,53,78,101,12,67,42,53,58,38,38,90,53,46,30,34,28,21
79,63,67,52,96,69,85,66,18,75,86,74,23,0,26,12,74,91,23,59,8,8,46,14,60,64,15,28,67,35,30,41,31,26,63,30,61,71,65,69,102,16,58,37,64,67,25,56,72,34,45,43,37,45,36
56,64,42,26,80,76,72,57,41,81,67,50,21,26,0,38,77,75,3,33,17,33,42,41,36,60,36,3,54,45,12,15,18,3,41,19,39,54,39,57,81,12,47,21,38,41,23,32,73,41,24,17,13,23,13
92,70,78,64,108,73,95,77,17,80,99,84,30,12,38,0,80,103,35,71,20,9,56,5,70,73,10,40,78,41,40,53,39,38,72,43,74,83,77,80,114,27,69,50,76,79,36,66,78,40,57,54,49,56,47
79,12,107,90,65,13,47,34,64,8,68,118,93,74,77,80,0,61,75,91,75,71,36,76,105,22,89,75,44,39,90,84,95,73,113,58,70,55,97,41,84,80,41,59,92,91,54,104,5,40,64,89,72,97,89
33,55,78,68,5,73,13,31,94,69,12,90,97,91,75,103,61,0,75,64,86,94,49,102,82,42,107,71,25,73,86,70,92,72,91,61,39,21,66,25,24,86,35,55,61,56,67,84,56,70,51,74,63,83,80
58,62,45,29,80,74,71,56,38,79,68,53,21,23,3,35,75,75,0,36,14,31,40,38,39,59,34,5,53,42,14,18,20,3,44,18,41,54,42,57,82,10,46,21,40,43,20,35,71,39,25,21,14,26,16
34,79,15,7,67,95,67,61,73,97,52,27,48,59,33,71,91,64,36,0,50,67,56,74,17,70,68,31,53,70,34,18,39,33,27,40,25,46,6,57,59,44,51,34,5,10,48,20,86,66,27,18,24,23,26
72,63,58,44,91,71,80,63,25,77,80,65,18,8,17,20,75,86,14,50,0,17,44,23,51,63,20,19,62,38,22,32,24,17,55,25,54,65,56,65,95,8,54,31,55,58,22,47,72,35,38,34,28,37,27
85,61,75,60,100,64,87,67,10,72,90,82,31,8,33,9,71,94,31,67,17,0,47,8,68,64,17,35,69,32,39,49,39,33,72,35,67,74,73,71,106,24,60,42,71,74,28,64,69,31,50,51,43,54,44
52,23,71,54,55,39,40,20,44,41,49,82,60,46,42,56,36,49,40,56,44,47,0,54,69,19,62,39,24,23,55,48,60,38,77,22,38,32,62,24,66,47,15,23,57,57,22,68,31,20,29,53,36,61,53
93,66,82,67,108,68,94,75,12,76,99,88,35,14,41,5,76,102,38,74,23,8,54,0,74,71,15,43,77,37,44,56,44,40,77,43,75,82,80,78,114,30,68,50,79,82,36,70,75,37,58,58,51,60,50
51,93,9,15,85,108,84,78,77,111,70,14,43,60,36,70,105,82,39,17,51,68,69,74,0,85,65,35,70,79,30,22,32,38,9,49,43,64,17,74,76,44,67,46,21,26,57,5,101,76,41,18,34,14,24
57,13,86,70,47,31,30,12,59,29,47,98,79,64,60,73,22,42,59,70,63,64,19,71,85,0,80,57,22,35,73,65,79,57,93,41,48,33,75,19,64,67,19,40,70,69,41,84,17,34,44,70,53,79,71
92,78,73,61,112,82,100,82,26,89,101,78,23,15,36,10,89,107,34,68,20,17,62,15,65,80,0,39,82,49,35,50,33,37,66,45,75,86,74,84,116,24,73,52,73,77,40,60,86,48,58,51,49,51,42
53,62,41,25,76,74,68,54,42,79,64,50,25,28,3,40,75,71,5,31,19,35,39,43,35,57,39,0,50,44,15,14,22,2,41,16,36,50,37,54,77,15,43,18,35,38,21,32,71,40,20,17,9,23,14
35,35,68,54,30,54,17,10,68,52,25,81,75,67,54,78,44,25,53,53,62,69,24,77,70,22,82,50,0,48,66,53,72,50,79,37,28,10,57,4,43,63,9,32,52,49,42,70,39,45,31,57,43,66,61
74,29,84,66,78,33,62,42,25,40,73,94,56,35,45,41,39,73,42,70,38,32,23,37,79,35,49,44,48,0,57,57,60,42,86,30,58,56,77,47,90,45,38,36,73,74,22,77,37,4,45,61,46,68,58
63,77,38,27,90,89,83,70,48,93,77,43,14,30,12,40,90,86,14,34,22,39,55,44,30,73,35,15,66,57,0,17,6,16,32,32,48,65,39,69,88,14,59,33,39,44,35,25,86,53,35,16,23,15,7
46,71,27,11,74,86,69,59,56,89,61,36,31,41,15,53,84,70,18,18,32,49,48,56,22,65,50,14,53,57,17,0,23,16,29,27,31,50,24,57,71,26,48,24,23,27,34,20,80,53,22,4,12,13,10
69,82,41,32,96,93,90,76,49,98,83,45,10,31,18,39,95,92,20,39,24,39,60,44,32,79,33,22,72,60,6,23,0,22,33,38,54,71,44,75,95,16,65,40,44,49,40,27,91,57,41,21,29,18,13
55,60,44,27,77,73,68,54,39,77,65,52,24,26,3,38,73,72,3,33,17,33,38,40,38,57,37,2,50,42,16,16,22,0,44,15,37,51,40,53,78,14,43,17,38,41,19,35,69,38,21,20,11,26,16
60,101,15,24,94,115,93,86,80,118,79,11,43,63,41,72,113,91,44,27,55,72,77,77,9,93,66,41,79,86,32,29,33,44,0,56,52,73,25,83,84,47,76,53,30,35,63,9,109,82,49,24,41,18,28
50,45,53,36,66,58,55,39,37,62,56,63,38,30,19,43,58,61,18,40,25,35,22,43,49,41,45,16,37,30,32,27,38,15,56,0,32,40,46,39,71,26,29,7,43,44,9,47,54,26,16,32,15,39,31
