node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,transfer_capacity,is_dynamic,dynamic_appear_time,order_id
6,81.9286236284103,76.65237766044308,-2,0,0,122,266,16,,0.0,-1.0,1
7,15.117169828232546,91.47317347788052,2,0,0,26,109,10,,1.0,-1.0,2
8,77.0090381404774,0.5302510932846061,2,0,0,73,160,15,,1.0,-1.0,3
9,73.73736335395861,73.74216786219986,-2,0,0,131,308,18,,0.0,-1.0,4
10,49.681608053998474,4.598241600637221,1,0,0,15,112,5,,1.0,-1.0,5
11,57.99059382823495,76.57467600343092,-2,0,0,16,188,16,,1.0,-1.0,6
12,27.08740553210006,66.70682182517874,-1,0,0,48,128,12,,0.0,-1.0,7
13,35.392619504438194,57.385483290223114,-1,0,0,275,448,13,,1.0,-1.0,8
14,38.45657494316247,30.376146601777908,2,0,0,103,223,7,,0.0,210.0,9
15,85.59144754320444,75.38382591853767,1,0,0,150,236,11,,1.0,-1.0,10
16,34.5449133973149,43.46316416152089,-1,0,0,164,327,9,,0.0,-1.0,11
17,69.1703417875346,81.10787805905092,-1,0,0,177,264,14,,0.0,-1.0,12
18,68.43412628247124,54.09315806826383,-3,0,0,344,500,5,,1.0,-1.0,13
19,95.43858319312717,77.41436197415636,3,0,0,136,286,13,,1.0,-1.0,14
20,11.559186039128866,55.813909879201915,2,0,0,77,222,9,,1.0,-1.0,15
21,40.95566413956515,79.49356367907937,2,0,0,323,456,7,,0.0,237.0,16
22,4.466303385743197,41.07235699624281,-3,0,0,53,191,19,,0.0,-1.0,17
23,31.827631534348587,14.118598457971832,-2,0,0,104,210,10,,0.0,-1.0,18
24,37.8804115319572,67.2800278184479,3,0,0,303,444,9,,0.0,-1.0,19
25,36.16778850325263,58.00065753523652,2,0,0,23,105,11,,0.0,-1.0,20
26,59.28117959393091,58.71111270580332,2,0,0,138,212,13,,0.0,-1.0,21
27,52.95318839442055,11.698823568238792,1,0,0,22,108,12,,0.0,-1.0,22
28,21.845592743532592,80.00670762509891,2,0,0,48,169,17,,0.0,-1.0,23
29,50.23654889227102,70.6076315836315,-1,0,0,127,284,17,,0.0,-1.0,24
30,56.99090802127616,3.869025450023833,2,0,0,291,405,18,,0.0,323.0,25
31,79.62137690179006,6.432419452904947,-1,0,0,19,97,17,,1.0,328.0,26
32,94.31740511585731,21.537692170507583,-1,0,0,92,265,6,,1.0,191.0,27
33,51.24061434601496,6.358804246578654,2,0,0,329,460,11,,0.0,88.0,28
34,89.49323786658212,97.99402545648044,-1,0,0,119,257,10,,0.0,126.0,29
35,14.629250272118988,29.578654249351978,-2,0,0,256,418,16,,1.0,-1.0,30
36,1.5874421793847793,78.69654919674565,1,0,0,211,317,17,,1.0,338.0,31
37,31.14643326814126,58.88374693418312,-2,0,0,283,346,14,,0.0,-1.0,32
38,3.9218501280014584,71.54602666747475,3,0,0,136,215,17,,1.0,-1.0,33
39,52.94039633567269,72.49802459988352,3,0,0,305,424,17,,1.0,-1.0,34
40,78.95643131509638,8.92428661788337,1,0,0,158,328,16,,0.0,-1.0,35
41,57.80921207932251,64.99440338816218,-3,0,0,25,145,14,,0.0,-1.0,36
42,51.6718753944995,18.240939826512225,2,0,0,20,114,11,,0.0,76.0,37
43,79.5597284057737,99.74583288395984,-2,0,0,223,297,17,,1.0,-1.0,38
44,96.92702524285228,77.75295649772313,1,0,0,184,355,6,,1.0,-1.0,39
45,41.81077227864215,33.73004978400221,-3,0,0,170,311,14,,0.0,-1.0,40
46,6.854579910083181,41.62863037516904,-3,0,0,264,324,11,,0.0,-1.0,41
47,15.604859773179902,25.433471350602844,-2,0,0,124,199,10,,0.0,239.0,42
48,89.18867731773511,96.8525631511219,-3,0,0,314,402,18,,1.0,394.0,43
49,94.85590004657604,19.335568584339093,2,0,0,221,388,6,,0.0,-1.0,44
50,90.08942082353228,14.150530090026514,-3,0,0,261,423,19,,1.0,-1.0,45
51,50.766020787614984,64.36633672643734,1,0,0,244,312,9,,0.0,-1.0,46
52,46.24668731004188,95.18374354168085,1,0,0,36,166,10,,0.0,-1.0,47
