0,89,86,101,87,90,116,73,94,73,116,78,71,44,98,92,101,87,86,94,78,68,82,20,52,35,37,101,57,75,77,48,91,33,103,99,88,113,61
89,0,85,13,5,33,33,50,73,16,33,24,80,53,21,22,68,52,76,78,13,21,7,78,37,53,76,15,36,45,47,81,29,60,66,10,35,35,34
86,85,0,89,89,113,86,34,19,82,85,98,14,53,106,67,30,35,9,14,87,71,78,65,70,76,48,85,89,39,37,38,60,89,34,90,52,78,57
101,13,89,0,17,40,21,56,75,29,22,35,87,64,24,22,69,54,80,80,26,33,19,90,49,67,86,5,49,50,52,90,29,73,66,3,37,26,44
87,5,89,17,0,27,38,54,78,14,39,18,84,54,17,27,74,57,80,82,9,22,10,78,36,52,77,20,33,49,52,83,34,57,71,13,41,41,36
90,33,113,40,27,0,61,78,104,30,63,15,106,70,17,55,101,83,105,108,26,41,36,88,49,58,91,45,33,74,77,99,62,57,98,36,68,66,56
116,33,86,21,38,61,0,58,69,48,1,56,87,75,44,24,60,50,76,74,46,48,36,102,64,82,95,17,69,52,53,96,28,91,56,25,36,8,55
73,50,34,56,54,78,58,0,27,48,57,64,30,30,72,35,30,14,26,30,52,37,44,54,39,50,41,52,57,5,5,39,29,63,30,57,22,51,24
94,73,19,75,78,104,69,27,0,74,67,90,29,55,94,53,10,20,11,5,77,63,67,74,66,77,58,70,84,30,27,50,45,90,15,76,37,60,52
73,16,82,29,14,30,48,48,74,0,48,16,75,42,28,31,72,53,74,78,5,11,11,65,22,38,64,31,20,43,46,71,36,44,70,26,40,49,25
116,33,85,22,39,63,1,57,67,48,0,57,86,74,46,24,59,49,75,73,47,49,37,102,65,82,94,18,69,51,52,95,27,91,55,26,35,7,54
78,24,98,35,18,15,56,64,90,16,57,0,90,54,21,44,87,69,90,94,12,26,24,73,33,44,76,38,20,59,62,84,50,46,86,31,55,59,40
71,80,14,87,84,106,87,30,29,75,86,90,0,41,101,66,39,37,17,26,80,64,73,51,60,64,33,83,79,36,34,24,59,76,43,87,51,80,49
44,53,53,64,54,70,75,30,55,42,74,54,41,0,70,50,59,44,49,56,47,32,46,27,21,23,22,63,39,30,33,29,48,35,60,63,44,71,20
98,21,106,24,17,17,44,72,94,28,46,21,101,70,0,42,90,74,98,99,22,38,27,92,50,64,93,29,41,66,69,99,50,66,87,21,57,50,53
92,22,67,22,27,55,24,35,53,31,24,44,66,50,42,0,47,32,58,58,31,27,19,77,42,59,70,17,50,29,31,72,7,69,44,23,15,21,30
101,68,30,69,74,101,60,30,10,72,59,87,39,59,90,47,0,18,22,16,75,62,64,81,68,80,65,64,85,31,27,59,40,93,4,71,33,51,52
87,52,35,54,57,83,50,14,20,53,49,69,37,44,74,32,18,0,26,26,57,44,47,68,50,63,55,50,67,13,10,52,25,76,17,56,17,42,34
86,76,9,80,80,105,76,26,11,74,75,90,17,49,98,58,22,26,0,8,79,63,70,65,64,72,48,75,83,31,28,40,51,85,26,81,42,68,50
94,78,14,80,82,108,74,30,5,78,73,94,26,56,99,58,16,26,8,0,82,67,72,73,69,79,57,75,88,34,31,49,51,92,20,82,43,66,55
78,13,87,26,9,26,46,52,77,5,47,12,80,47,22,31,75,57,79,82,0,16,11,70,28,43,70,28,23,47,50,76,37,48,73,23,42,48,30
68,21,71,33,22,41,48,37,63,11,49,26,64,32,38,27,62,44,63,67,16,0,14,57,16,33,55,33,24,33,36,61,30,42,61,32,32,47,14
82,7,78,19,10,36,36,44,67,11,37,24,73,46,27,19,64,47,70,72,11,14,0,71,30,47,68,19,32,39,41,73,26,55,62,17,31,37,26
20,78,65,90,78,88,102,54,74,65,102,73,51,27,92,77,81,68,65,73,70,57,71,0,42,30,17,89,54,56,58,28,76,36,83,89,71,98,47
52,37,70,49,36,49,64,39,66,22,65,33,60,21,50,42,68,50,64,69,28,16,30,42,0,17,42,49,19,36,40,50,43,28,68,48,43,63,15
35,53,76,67,52,58,82,50,77,38,82,44,64,23,64,59,80,63,72,79,43,33,47,30,17,0,37,67,24,50,53,48,60,13,81,64,59,81,31
37,76,48,86,77,91,95,41,58,64,94,76,33,22,93,70,65,55,48,57,70,55,68,17,42,37,0,84,59,44,46,11,67,47,68,85,61,89,42
101,15,85,5,20,45,17,52,70,31,18,38,83,63,29,17,64,50,75,75,28,33,19,89,49,67,84,0,51,47,48,88,24,75,60,8,33,21,42
57,36,89,49,33,33,69,57,84,20,69,20,79,39,41,50,85,67,83,88,23,24,32,54,19,24,59,51,0,54,58,68,54,25,84,46,56,69,32
75,45,39,50,49,74,52,5,30,43,51,59,36,30,66,29,31,13,31,34,47,33,39,56,36,50,44,47,54,0,3,44,24,62,31,51,17,46,21
77,47,37,52,52,77,53,5,27,46,52,62,34,33,69,31,27,10,28,31,50,36,41,58,40,53,46,48,58,3,0,44,25,66,27,53,17,46,25
48,81,38,90,83,99,96,39,50,71,95,84,24,29,99,72,59,52,40,49,76,61,73,28,50,48,11,88,68,44,44,0,68,58,62,90,61,90,47
91,29,60,29,34,62,28,29,45,36,27,50,59,48,50,7,40,25,51,51,37,30,26,76,43,60,67,24,54,24,25,68,0,71,37,31,8,22,29
33,60,89,73,57,57,91,63,90,44,91,46,76,35,66,69,93,76,85,92,48,42,55,36,28,13,47,75,25,62,66,58,71,0,94,71,71,90,43
103,66,34,66,71,98,56,30,15,70,55,86,43,60,87,44,4,17,26,20,73,61,62,83,68,81,68,60,84,31,27,62,37,94,0,68,30,47,52
99,10,90,3,13,36,25,57,76,26,26,31,87,63,21,23,71,56,81,82,23,32,17,89,48,64,85,8,46,51,53,90,31,71,68,0,39,29,43
88,35,52,37,41,68,36,22,37,40,35,55,51,44,57,15,33,17,42,43,42,32,31,71,43,59,61,33,56,17,17,61,8,71,30,39,0,29,28
113,35,78,26,41,66,8,51,60,49,7,59,80,71,50,21,51,42,68,66,48,47,37,98,63,81,89,21,69,46,46,90,22,90,47,29,29,0,51
61,34,57,44,36,56,55,24,52,25,54,40,49,20,53,30,52,34,50,55,30,14,26,47,15,31,42,42,32,21,25,47,29,43,52,43,28,51,0
