0,67,104,95,71,31,73,29,32,33,81,70,96,99,91,69,34,103,25,94,39,78,77,25,11,43,54,104,95,55,97,71,34,16,54,42,91,77,35,11
67,0,43,99,85,37,34,90,88,35,62,74,75,38,93,80,96,45,42,64,42,54,57,61,56,32,14,49,59,29,41,36,47,74,46,45,47,9,38,62
104,43,0,95,93,73,36,120,116,76,56,79,62,5,89,88,127,6,78,47,69,49,54,90,94,76,51,13,40,72,10,39,90,106,61,88,28,35,80,96
95,99,95,0,25,83,67,84,76,98,40,27,35,93,6,26,88,90,85,49,68,47,43,70,94,109,88,84,56,117,85,64,114,83,55,119,67,101,105,84
71,85,93,25,0,62,58,59,51,77,38,14,43,90,22,5,63,88,63,53,48,43,39,46,70,89,73,84,58,98,82,55,92,58,39,98,65,89,84,60
31,37,73,83,62,0,43,52,50,14,58,56,73,68,78,59,59,72,5,68,15,52,53,25,21,26,23,73,67,37,66,42,30,36,30,35,61,46,22,24
73,34,36,67,58,43,0,85,80,52,27,45,40,32,61,53,91,33,48,29,35,19,23,55,64,57,30,32,26,60,26,3,69,72,25,70,18,34,58,63
29,90,120,84,59,52,85,0,8,59,83,65,95,115,81,60,6,118,47,98,51,83,80,30,39,71,75,117,101,83,111,82,64,16,61,72,101,98,63,28
32,88,116,76,51,50,80,8,0,59,77,57,88,111,73,52,12,113,46,92,47,76,73,26,40,72,73,112,95,84,107,77,66,17,55,74,95,96,64,29
33,35,76,98,77,14,52,59,59,0,71,70,86,71,92,73,65,77,14,80,29,64,65,36,21,12,25,79,78,24,71,51,17,43,44,21,70,45,7,31
81,62,56,40,38,58,27,83,77,71,0,25,15,53,34,34,89,50,62,15,44,7,5,58,75,79,54,45,19,84,45,25,88,75,28,91,27,62,78,70
70,74,79,27,14,56,45,65,57,70,25,0,31,76,21,9,70,74,58,39,41,29,24,45,68,81,62,70,44,90,68,42,87,60,28,92,51,77,78,59
96,75,62,35,43,73,40,95,88,86,15,31,0,60,30,39,101,56,77,14,59,22,20,72,90,94,69,49,21,99,52,39,103,88,43,106,34,74,93,84
99,38,5,93,90,68,32,115,111,71,53,76,60,0,87,84,122,7,73,46,64,47,51,85,88,71,46,14,39,68,8,35,85,101,57,83,26,30,75,91
91,93,89,6,22,78,61,81,73,92,34,21,30,87,0,22,85,84,79,43,62,41,37,66,89,103,82,78,50,111,79,58,108,79,49,113,61,95,100,80
69,80,88,26,5,59,53,60,52,73,34,9,39,84,22,0,64,83,60,48,44,38,33,44,68,85,68,79,53,94,77,50,89,57,34,94,60,84,81,58
34,96,127,88,63,59,91,6,12,65,89,70,101,122,85,64,0,125,54,104,58,89,86,36,45,77,82,123,107,89,118,89,69,22,67,77,107,105,69,35
103,45,6,90,88,72,33,118,113,77,50,74,56,7,84,83,125,0,77,41,67,44,49,88,93,77,51,7,34,75,6,36,91,104,58,90,22,37,81,94
25,42,78,85,63,5,48,47,46,14,62,58,77,73,79,60,54,77,0,73,17,56,56,22,15,27,29,78,72,39,71,47,29,31,33,34,66,52,21,19
94,64,47,49,53,68,29,98,92,80,15,39,14,46,43,48,104,41,73,0,56,16,18,72,87,86,59,35,7,90,37,29,97,89,40,99,20,62,86,83
39,42,69,68,48,15,35,51,47,29,44,41,59,64,62,44,58,67,17,56,0,39,39,21,31,40,28,66,56,50,60,33,46,37,16,50,52,49,37,28
78,54,49,47,43,52,19,83,76,64,7,29,22,47,41,38,89,44,56,16,39,0,4,55,71,72,46,40,18,77,39,17,82,73,24,84,22,54,71,66
77,57,54,43,39,53,23,80,73,65,5,24,20,51,37,33,86,49,56,18,39,4,0,54,70,74,49,45,21,79,44,21,83,71,23,86,26,58,73,65
25,61,90,70,46,25,55,30,26,36,58,45,72,85,66,44,36,88,22,72,21,55,54,0,24,49,46,87,73,61,81,53,48,17,32,55,72,69,43,13
11,56,94,94,70,21,64,39,40,21,75,68,90,88,89,68,45,93,15,87,31,71,70,24,0,32,43,94,87,44,87,62,25,23,47,33,82,65,24,12
43,32,76,109,89,26,57,71,72,12,79,81,94,71,103,85,77,77,27,86,40,72,74,49,32,0,27,80,83,12,72,57,14,55,54,13,74,42,7,43
54,14,51,88,73,23,30,75,73,25,54,62,69,46,82,68,82,51,29,59,28,46,49,46,43,27,0,54,56,30,45,30,40,60,33,40,46,22,30,48
104,49,13,84,84,73,32,117,112,79,45,70,49,14,78,79,123,7,78,35,66,40,45,87,94,80,54,0,28,79,8,34,94,104,56,93,18,42,84,94
95,59,40,56,58,67,26,101,95,78,19,44,21,39,50,53,107,34,72,7,56,18,21,73,87,83,56,28,0,86,30,26,95,91,41,97,13,56,84,84
55,29,72,117,98,37,60,83,84,24,84,90,99,68,111,94,89,75,39,90,50,77,79,61,44,12,30,79,86,0,70,61,24,67,61,18,75,37,20,55
97,41,10,85,82,66,26,111,107,71,45,68,52,8,79,77,118,6,71,37,60,39,44,81,87,72,45,8,30,70,0,29,86,98,52,85,18,34,75,88
71,36,39,64,55,42,3,82,77,51,25,42,39,35,58,50,89,36,47,29,33,17,21,53,62,57,30,34,26,61,29,0,68,70,22,70,19,36,58,61
34,47,90,114,92,30,69,64,66,17,88,87,103,85,108,89,69,91,29,97,46,82,83,48,25,14,40,94,95,24,86,68,0,49,61,7,86,56,10,38
16,74,106,83,58,36,72,16,17,43,75,60,88,101,79,57,22,104,31,89,37,73,71,17,23,55,60,104,91,67,98,70,49,0,49,56,89,83,47,12
54,46,61,55,39,30,25,61,55,44,28,28,43,57,49,34,67,58,33,40,16,24,23,32,47,54,33,56,41,61,52,22,61,49,0,65,40,50,51,42
42,45,88,119,98,35,70,72,74,21,91,92,106,83,113,94,77,90,34,99,50,84,86,55,33,13,40,93,97,18,85,70,7,56,65,0,87,54,13,45
91,47,28,67,65,61,18,101,95,70,27,51,34,26,61,60,107,22,66,20,52,22,26,72,82,74,46,18,13,75,18,19,86,89,40,87,0,43,76,80
77,9,35,101,89,46,34,98,96,45,62,77,74,30,95,84,105,37,52,62,49,54,58,69,65,42,22,42,56,37,34,36,56,83,50,54,43,0,47,71
35,38,80,105,84,22,58,63,64,7,78,78,93,75,100,81,69,81,21,86,37,71,73,43,24,7,30,84,84,20,75,58,10,47,51,13,76,47,0,35
11,62,96,84,60,24,63,28,29,31,70,59,84,91,80,58,35,94,19,83,28,66,65,13,12,43,48,94,84,55,88,61,38,12,42,45,80,71,35,0
