0,44,32,31,69,91,85,40,39,49,72,44,71,60,60,54,13,91,49,51,88,79,100,71,58,35,92,64,26,31,29,65,40,42
44,0,12,25,68,66,65,75,67,63,91,79,71,45,85,87,58,98,10,91,89,96,112,77,72,77,67,38,23,62,33,87,19,82
32,12,0,15,69,74,72,67,60,59,87,70,72,49,79,79,46,98,20,81,90,93,110,77,69,66,75,45,11,54,29,82,21,72
31,25,15,0,83,89,87,70,67,70,97,74,85,64,87,84,44,110,35,82,104,103,122,89,79,67,90,61,7,59,40,91,37,74
69,68,69,83,0,44,32,57,45,25,36,57,2,25,41,57,73,30,60,75,21,37,45,13,22,70,45,40,76,48,43,40,49,68
91,66,74,89,44,0,11,96,83,65,80,97,44,32,85,100,101,66,55,115,54,80,82,56,65,106,0,28,84,84,62,84,54,107
85,65,72,87,32,11,0,86,73,54,68,87,32,25,74,89,94,54,55,105,43,68,71,45,54,97,12,27,81,75,56,73,50,97
40,75,67,70,57,96,86,0,12,32,40,4,59,64,26,14,32,67,75,18,69,48,70,52,37,13,97,76,64,13,44,31,62,11
39,67,60,67,45,83,73,12,0,19,33,13,47,52,21,20,35,57,66,31,57,41,63,40,25,25,84,64,60,7,34,26,52,23
49,63,59,70,25,65,54,32,19,0,27,32,27,36,23,34,50,42,59,50,40,33,52,23,9,44,66,50,63,23,30,25,45,43
72,91,87,97,36,80,68,40,33,27,0,38,35,58,14,32,69,28,86,52,34,7,29,23,19,54,81,73,89,41,58,9,72,49
44,79,70,74,57,97,87,4,13,32,38,0,59,66,23,10,36,65,78,18,67,45,67,51,36,16,98,78,68,16,47,28,65,11
71,71,72,85,2,44,32,59,47,27,35,59,0,28,42,59,76,27,63,77,18,36,43,12,23,72,45,42,78,51,45,40,51,70
60,45,49,64,25,32,25,64,52,36,58,66,28,0,59,70,68,55,36,83,46,60,71,38,39,74,33,14,58,52,30,59,27,75
60,85,79,87,41,85,74,26,21,23,14,23,42,59,0,18,56,42,82,38,46,21,43,32,20,40,86,73,80,29,51,4,67,35
54,87,79,84,57,100,89,14,20,34,32,10,59,70,18,0,46,60,86,20,64,38,60,49,35,25,100,83,78,25,54,22,72,18
13,58,46,44,73,101,94,32,35,50,69,36,76,68,56,46,0,92,62,39,90,77,98,73,59,24,102,75,39,28,38,61,52,32
91,98,98,110,30,66,54,67,57,42,28,65,27,55,42,60,92,0,90,81,11,23,16,21,33,81,66,69,103,64,70,38,78,77
49,10,20,35,60,55,55,75,66,59,86,78,63,36,82,86,62,90,0,92,81,91,105,71,67,78,56,28,31,62,31,84,14,83
51,91,81,82,75,115,105,18,31,50,52,18,77,83,38,20,39,81,92,0,84,59,80,68,53,15,116,95,77,32,61,43,79,9
88,89,90,104,21,54,43,69,57,40,34,67,18,46,46,64,90,11,81,84,0,31,28,17,32,82,54,59,97,63,63,42,70,79
79,96,93,103,37,80,68,48,41,33,7,45,36,60,21,38,77,23,91,59,31,0,22,24,24,61,81,75,96,48,64,16,77,56
100,112,110,122,45,82,71,70,63,52,29,67,43,71,43,60,98,16,105,80,28,22,0,34,42,83,83,85,114,70,81,38,92,78
71,77,77,89,13,56,45,52,40,23,23,51,12,38,32,49,73,21,71,68,17,24,34,0,15,65,57,52,82,46,49,29,58,62
58,72,69,79,22,65,54,37,25,9,19,36,23,39,20,35,59,33,67,53,32,24,42,15,0,50,66,54,72,31,39,19,53,47
35,77,66,67,70,106,97,13,25,44,54,16,72,74,40,25,24,81,78,15,82,61,83,65,50,0,107,84,62,22,49,45,66,7
92,67,75,90,45,0,12,97,84,66,81,98,45,33,86,100,102,66,56,116,54,81,83,57,66,107,0,29,85,85,63,85,54,108
64,38,45,61,40,28,27,76,64,50,73,78,42,14,73,83,75,69,28,95,59,75,85,52,54,84,29,0,56,63,36,73,25,86
26,23,11,7,76,84,81,64,60,63,89,68,78,58,80,78,39,103,31,77,97,96,114,82,72,62,85,56,0,53,33,84,31,68
31,62,54,59,48,84,75,13,7,23,41,16,51,52,29,25,28,64,62,32,63,48,70,46,31,22,85,63,53,0,30,33,48,23
29,33,29,40,43,62,56,44,34,30,58,47,45,30,51,54,38,70,31,61,63,64,81,49,39,49,63,36,33,30,0,54,18,52
65,87,82,91,40,84,73,31,26,25,9,28,40,59,4,22,61,38,84,43,42,16,38,29,19,45,85,73,84,33,54,0,69,40
40,19,21,37,49,54,50,62,52,45,72,65,51,27,67,72,52,78,14,79,70,77,92,58,53,66,54,25,31,48,18,69,0,70
42,82,72,74,68,107,97,11,23,43,49,11,70,75,35,18,32,77,83,9,79,56,78,62,47,7,108,86,68,23,52,40,70,0
