0,59,35,41,26,13,27,63,17,67,14,84,60,31,83,72,44,78,17,22,40,32,63,9,80,20,58,56,43,63,60,38,83,38,23,85,75,21,70,55,41,89,72,49,84,75,48,86,33,83,22,39
59,0,60,26,70,51,75,10,44,53,60,24,5,59,26,53,19,18,69,54,42,37,24,69,26,74,82,66,35,82,96,63,24,45,50,54,66,42,38,79,20,58,31,15,30,55,64,43,62,67,71,20
35,60,0,34,61,24,62,58,26,91,48,83,57,3,87,95,54,77,25,13,65,54,49,38,70,28,92,87,26,97,95,70,78,64,14,104,102,44,87,89,42,108,85,45,91,98,80,99,3,108,57,44
41,26,34,0,60,29,64,24,23,66,47,49,23,34,52,68,24,42,46,29,45,35,21,50,39,51,82,70,10,84,91,60,45,46,25,74,78,31,56,79,9,78,53,11,56,71,65,66,36,82,59,14
26,70,61,60,0,37,5,77,40,55,13,92,72,58,87,61,51,86,41,49,33,33,81,26,94,42,33,36,65,39,33,18,94,30,49,76,59,29,65,30,55,79,70,65,86,64,28,82,59,69,5,52
13,51,24,29,37,0,40,53,6,69,24,75,50,21,76,73,38,69,18,11,42,32,51,21,69,23,67,62,30,72,71,46,74,41,11,84,78,20,68,64,31,88,68,39,78,76,55,82,23,86,34,31
27,75,62,64,5,40,0,82,43,60,17,98,77,59,93,67,56,92,41,50,39,38,85,26,100,41,35,41,68,42,32,23,100,36,51,81,64,34,71,33,60,85,76,69,92,70,32,88,60,74,5,57
63,10,58,24,77,53,82,0,47,64,66,25,6,58,31,63,28,19,71,54,52,46,14,73,17,75,92,76,31,92,105,71,20,54,50,65,76,48,48,88,22,68,41,14,37,65,74,52,60,78,77,25
17,44,26,23,40,6,43,47,0,65,26,69,44,23,70,69,32,63,24,14,39,28,45,26,63,29,68,61,25,72,73,45,67,38,11,79,75,17,63,65,24,84,62,32,72,72,54,77,26,82,37,25
67,53,91,66,55,69,60,64,65,0,56,62,58,89,52,6,41,60,84,79,26,36,76,74,77,87,42,24,76,38,61,37,70,28,76,21,12,48,19,41,56,24,29,61,46,9,29,33,91,17,60,51
14,60,48,47,13,24,17,66,26,56,0,83,61,45,80,61,41,77,31,35,30,25,68,18,83,33,44,42,51,49,47,24,84,28,36,75,63,18,62,41,43,79,65,53,80,64,34,79,47,71,11,41
84,24,83,49,92,75,98,25,69,62,83,0,25,83,12,59,41,6,93,78,61,59,38,94,23,98,99,81,57,97,115,82,10,64,74,54,73,65,43,96,44,56,33,38,19,60,81,37,85,71,94,44
60,5,57,23,72,50,77,6,44,58,61,25,0,57,30,58,22,19,68,52,46,40,19,69,23,73,86,70,32,86,99,66,23,48,48,60,71,43,43,83,19,63,36,12,34,60,68,48,59,72,72,20
31,59,3,34,58,21,59,58,23,89,45,83,57,0,86,92,52,76,22,10,62,52,50,35,70,25,89,84,27,94,92,67,78,62,12,102,99,41,85,86,40,106,83,45,90,95,77,98,2,106,54,43
83,26,87,52,87,76,93,31,70,52,80,12,30,86,0,48,39,14,94,80,55,55,46,93,34,99,90,72,62,88,107,76,22,58,76,42,63,63,32,88,46,44,22,41,7,49,74,25,89,60,90,45
72,53,95,68,61,73,67,63,69,6,61,59,58,92,48,0,43,57,89,83,31,41,77,80,76,92,48,30,79,44,67,43,67,34,80,15,14,53,16,47,58,18,26,62,43,3,36,28,95,14,66,54
44,19,54,24,51,38,56,28,32,41,41,41,22,52,39,43,0,36,56,44,24,18,37,53,45,61,64,49,35,64,77,43,43,26,41,50,54,24,32,60,15,54,30,20,40,46,46,45,55,57,52,10
78,18,77,42,86,69,92,19,63,60,77,6,19,76,14,57,36,0,87,72,56,53,32,88,20,92,95,77,50,94,110,77,10,59,67,54,72,59,41,92,38,57,32,31,20,58,77,38,79,70,88,38
17,69,25,46,41,18,41,71,24,84,31,93,68,22,94,89,56,87,0,18,57,48,66,15,86,4,74,73,43,80,73,55,91,55,22,101,92,36,85,71,49,105,86,56,96,92,65,100,22,100,36,49
22,54,13,29,49,11,50,54,14,79,35,78,52,10,80,83,44,72,18,0,53,42,48,28,68,23,79,74,25,84,82,57,75,52,4,93,89,31,76,76,34,97,75,40,83,86,67,90,12,96,45,36
40,42,65,45,33,42,39,52,39,26,30,61,46,62,55,31,24,56,57,53,0,10,61,48,69,60,39,25,54,40,53,21,65,3,50,44,36,21,31,36,36,48,36,44,53,35,22,49,65,43,37,31
32,37,54,35,33,32,38,46,28,36,25,59,40,52,55,41,18,53,48,42,10,0,53,41,63,52,47,35,44,49,59,25,62,10,40,52,47,12,37,44,27,56,40,36,54,44,30,54,54,54,35,23
63,24,49,21,81,51,85,14,45,76,68,38,19,50,46,77,37,32,66,48,61,53,0,72,20,71,100,86,23,101,111,78,30,63,44,79,89,52,62,97,25,82,55,17,52,79,83,67,52,91,80,30
9,69,38,50,26,21,26,73,26,74,18,94,69,35,93,80,53,88,15,28,48,41,72,0,90,15,60,60,51,66,58,42,93,45,30,93,81,30,78,57,50,97,81,59,93,83,52,95,36,90,21,49
80,26,70,39,94,69,100,17,63,77,83,23,23,70,34,76,45,20,86,68,69,63,20,90,0,91,108,92,43,108,122,89,13,71,64,74,90,65,60,105,39,77,51,30,41,78,91,59,72,90,95,42
20,74,28,51,42,23,41,75,29,87,33,98,73,25,99,92,61,92,4,23,60,52,71,15,91,0,75,75,48,81,73,57,96,58,26,105,95,40,89,73,54,109,90,61,101,95,67,105,25,104,37,54
58,82,92,82,33,67,35,92,68,42,44,99,86,89,90,48,64,95,74,79,39,47,100,60,108,75,0,18,89,7,18,22,104,37,78,63,39,51,60,3,74,66,69,83,87,50,17,76,91,49,38,70
56,66,87,70,36,62,41,76,61,24,42,81,70,84,72,30,49,77,73,74,25,35,86,60,92,75,18,0,79,16,37,18,87,24,72,45,23,43,41,16,61,48,50,69,68,32,8,57,86,33,42,57
43,35,26,10,65,30,68,31,25,76,51,57,32,27,62,79,35,50,43,25,54,44,23,51,43,48,89,79,0,92,98,67,52,55,21,85,88,38,67,86,20,89,63,20,66,81,74,77,29,93,63,24
63,82,97,84,39,72,42,92,72,38,49,97,86,94,88,44,64,94,80,84,40,49,101,66,108,81,7,16,92,0,24,26,103,38,83,58,33,55,57,8,76,61,66,84,84,46,18,72,95,43,44,71
60,96,95,91,33,71,32,105,73,61,47,115,99,92,107,67,77,110,73,82,53,59,111,58,122,73,18,37,98,24,0,33,119,51,83,82,58,60,78,20,85,84,86,94,104,69,33,94,93,68,37,81
38,63,70,60,18,46,23,71,45,37,24,82,66,67,76,43,43,77,55,57,21,25,78,42,89,57,22,18,67,26,33,0,86,18,56,58,41,29,49,19,53,62,56,61,73,46,10,67,69,51,23,48
83,24,78,45,94,74,100,20,67,70,84,10,23,78,22,67,43,10,91,75,65,62,30,93,13,96,104,87,52,103,119,86,0,68,70,64,82,66,51,101,43,66,42,35,29,68,87,47,81,80,95,44
38,45,64,46,30,41,36,54,38,28,28,64,48,62,58,34,26,59,55,52,3,10,63,45,71,58,37,24,55,38,51,18,68,0,50,47,37,20,34,34,38,51,39,46,56,37,20,52,64,45,34,33
23,50,14,25,49,11,51,50,11,76,36,74,48,12,76,80,41,67,22,4,50,40,44,30,64,26,78,72,21,83,83,56,70,50,0,90,87,29,73,75,30,94,71,36,79,83,65,86,14,93,46,32
85,54,104,74,76,84,81,65,79,21,75,54,60,102,42,15,50,54,101,93,44,52,79,93,74,105,63,45,85,58,82,58,64,47,90,0,25,64,17,62,65,4,23,67,36,12,51,17,105,18,80,61
75,66,102,78,59,78,64,76,75,12,63,73,71,99,63,14,54,72,92,89,36,47,89,81,90,95,39,23,88,33,58,41,82,37,87,25,0,58,30,38,68,27,40,74,57,14,31,41,101,10,64,64
21,42,44,31,29,20,34,48,17,48,18,65,43,41,63,53,24,59,36,31,21,12,52,30,65,40,51,43,38,55,60,29,66,20,29,64,58,0,49,48,26,68,51,35,63,56,37,65,43,65,29,23
70,38,87,56,65,68,71,48,63,19,62,43,43,85,32,16,32,41,85,76,31,37,62,78,60,89,60,41,67,57,78,49,51,34,73,17,30,49,0,58,47,21,9,49,27,17,45,17,87,29,69,43
55,79,89,79,30,64,33,88,65,41,41,96,83,86,88,47,60,92,71,76,36,44,97,57,105,73,3,16,86,8,20,19,101,34,75,62,38,48,58,0,71,64,66,80,84,49,14,74,88,48,36,67
