0,109,17,25,29,54,11,92,46,45,14,51,61,100,33,77,56,97,45,66,70,76,74,19,53,89,64,110,12,46,51,51,68,101,37,23,73,89,91,81,51,72,76,56,19,88
109,0,93,107,121,55,101,53,95,65,115,60,65,15,76,35,77,23,106,55,80,53,36,99,62,47,51,2,116,87,91,85,43,7,80,85,60,88,57,62,66,59,35,68,90,59
17,93,0,33,42,37,8,82,47,28,28,34,52,85,17,60,50,80,49,49,65,65,57,22,36,78,47,93,27,33,39,47,54,85,30,10,56,85,81,72,34,62,59,40,2,79
25,107,33,0,13,58,33,79,24,53,15,59,48,96,39,82,39,101,19,76,50,64,77,11,64,77,72,109,18,66,72,31,64,101,27,30,86,67,76,66,63,59,79,70,34,73
29,121,42,13,0,71,40,91,34,66,15,72,62,110,51,95,51,115,26,88,61,77,90,23,76,91,84,123,17,75,80,43,78,115,41,42,97,76,89,78,74,72,92,81,44,86
54,55,37,58,71,0,45,57,55,9,61,8,37,49,21,24,44,44,64,22,57,41,20,47,14,51,15,56,62,39,45,49,22,47,34,30,33,75,58,53,18,42,22,25,34,57
11,101,8,33,40,45,0,90,51,36,25,41,60,93,25,68,56,88,51,55,71,73,65,24,43,86,54,101,23,35,40,53,62,93,36,18,62,91,89,80,40,70,67,45,11,86
92,53,82,79,91,57,90,0,58,65,91,66,31,38,66,59,39,66,68,75,34,17,55,75,72,7,66,56,93,96,102,48,35,52,55,71,85,35,3,13,76,20,55,82,80,6
46,95,47,24,34,55,51,58,0,55,39,60,31,82,43,76,19,94,11,77,26,45,71,27,66,58,70,97,42,77,84,10,52,89,22,38,88,43,55,44,67,39,72,75,46,52
45,65,28,53,66,9,36,65,55,0,55,6,42,58,14,31,47,51,62,23,61,49,28,42,11,59,18,65,55,30,37,50,31,57,32,24,33,80,66,60,12,49,30,21,26,64
14,115,28,15,15,61,25,91,39,55,0,60,60,104,40,86,52,106,34,77,64,75,81,16,64,89,73,116,3,60,65,45,72,107,36,30,85,82,89,79,62,71,83,68,30,86
51,60,34,59,72,8,41,66,60,6,60,0,45,55,20,26,51,46,68,17,65,50,24,48,6,60,12,61,60,30,36,55,31,53,38,30,27,83,67,62,9,51,25,17,31,66
61,65,52,48,62,37,60,31,31,42,60,45,0,51,38,51,12,67,42,59,20,15,46,44,52,29,51,66,62,72,78,20,24,59,24,41,71,37,29,20,54,10,47,62,50,26
100,15,85,96,110,49,93,38,82,58,104,55,51,0,67,34,63,31,93,55,65,38,33,88,58,32,48,17,106,85,89,72,32,14,68,76,62,73,42,47,63,44,32,66,82,43
33,76,17,39,51,21,25,66,43,14,40,20,38,67,0,45,39,65,49,37,55,49,41,28,24,62,33,76,41,35,41,40,36,68,21,9,47,74,66,58,24,47,43,32,14,64
77,35,60,82,95,24,68,59,76,31,86,26,51,34,45,0,62,20,86,20,72,48,5,72,27,52,15,35,86,52,55,68,27,27,56,55,27,86,62,60,31,52,4,32,58,61
56,77,50,39,51,44,56,39,19,47,52,51,12,63,39,62,0,78,30,67,15,26,56,37,57,39,59,79,55,74,81,8,35,71,20,39,78,35,37,27,59,20,57,68,48,34
97,23,80,101,115,44,88,66,94,51,106,46,67,31,65,20,78,0,104,36,86,60,24,91,45,59,34,22,106,68,70,85,42,17,75,75,38,98,69,71,49,64,22,49,78,70
45,106,49,19,26,64,51,68,11,62,34,68,42,93,49,86,30,104,0,85,36,56,80,27,73,69,79,108,37,81,87,21,63,100,30,42,95,50,66,55,73,51,82,82,49,62
66,55,49,76,88,22,55,75,77,23,77,17,59,55,37,20,67,36,85,0,80,61,22,65,12,68,8,55,76,32,35,71,39,47,55,46,11,97,77,73,15,63,22,12,46,76
70,80,65,50,61,57,71,34,26,61,64,65,20,65,55,72,15,86,36,80,0,27,66,50,71,36,71,83,67,90,96,19,44,76,35,55,91,19,30,20,74,21,67,82,64,27
76,53,65,64,77,41,73,17,45,49,75,50,15,38,49,48,26,60,56,61,27,0,43,59,56,13,52,55,78,80,86,35,21,49,39,54,72,38,17,12,60,5,44,67,62,15
74,36,57,77,90,20,65,55,71,28,81,24,46,33,41,5,56,24,80,22,66,43,0,67,26,47,15,36,82,51,56,63,22,28,51,51,31,81,57,55,30,46,1,33,54,56
19,99,22,11,23,47,24,75,27,42,16,48,44,88,28,72,37,91,27,65,50,59,67,0,52,73,61,100,18,55,61,31,56,92,20,18,74,69,74,63,51,55,69,59,23,70
53,62,36,64,76,14,43,72,66,11,64,6,52,58,24,27,57,45,73,12,71,56,26,52,0,65,11,62,63,26,31,61,36,54,44,34,22,89,73,68,4,57,27,10,33,72
89,47,78,77,91,51,86,7,58,59,89,60,29,32,62,52,39,59,69,68,36,13,47,73,65,0,59,49,91,90,96,48,29,45,53,67,78,41,10,16,69,18,48,76,76,11
64,51,47,72,84,15,54,66,70,18,73,12,51,48,33,15,59,34,79,8,71,52,15,61,11,59,0,50,73,36,40,64,31,43,49,43,19,88,68,64,15,54,16,18,44,67
110,2,93,109,123,56,101,56,97,65,116,61,66,17,76,35,79,22,108,55,83,55,36,100,62,49,50,0,117,87,90,87,45,8,81,86,59,91,59,64,66,61,35,67,90,61
12,116,27,18,17,62,23,93,42,55,3,60,62,106,41,86,55,106,37,76,67,78,82,18,63,91,73,117,0,59,64,48,73,108,38,31,84,85,92,81,61,73,84,68,30,89
46,87,33,66,75,39,35,96,77,30,60,30,72,85,35,52,74,68,81,32,90,80,51,55,26,90,36,87,59,0,6,75,61,79,56,38,33,109,97,91,21,79,53,19,32,95
51,91,39,72,80,45,40,102,84,37,65,36,78,89,41,55,81,70,87,35,96,86,56,61,31,96,40,90,64,6,0,82,67,83,63,45,34,116,103,97,27,86,57,22,38,101
