0,45,51,30,96,53,107,65,86,62,54,70,79,89,18,90,33,75,25,24,74,35,98,117,19,34,85,113,70,26,65,45,96,80,46,93,95,82,87,87,48,60,98,74,18,51,47,34,42
45,0,15,17,62,9,65,35,41,43,40,38,55,46,27,63,18,30,26,20,35,16,62,72,31,11,44,68,33,30,46,3,51,46,13,48,61,37,56,42,16,23,54,29,35,11,25,11,23
51,15,0,29,48,10,55,20,41,29,27,50,69,52,37,76,18,30,27,28,23,15,49,70,42,22,34,64,20,43,61,18,46,32,4,45,72,36,68,44,4,9,57,31,36,25,13,23,38
30,17,29,0,78,26,83,49,57,53,47,41,54,58,11,64,19,46,21,8,51,20,78,87,14,7,61,84,49,13,42,16,68,61,25,64,66,53,59,57,28,38,68,45,27,20,34,6,15
96,62,48,78,0,53,26,30,54,37,45,87,108,74,84,110,63,53,70,76,28,61,8,66,90,70,27,56,29,91,104,65,43,16,52,50,101,50,101,60,50,39,70,55,78,68,48,71,85
53,9,10,26,53,0,56,29,34,39,37,40,59,43,36,65,23,23,32,28,25,20,53,64,41,20,34,60,24,39,52,11,42,38,11,40,61,30,58,36,13,15,49,23,41,15,23,20,31
107,65,55,83,26,56,0,45,40,57,64,78,98,58,92,98,73,44,82,84,32,71,18,42,97,76,21,31,36,95,98,67,24,32,60,32,86,38,89,45,59,47,51,46,91,67,62,76,85
65,35,20,49,30,29,45,0,48,15,19,68,88,64,54,93,33,40,40,46,17,31,33,72,61,42,28,63,11,62,81,38,45,14,24,48,87,42,85,52,20,13,65,42,48,44,18,43,59
86,41,41,57,54,34,40,48,0,63,65,39,59,19,68,58,57,11,67,61,31,55,49,30,71,52,27,27,36,67,59,41,16,45,45,8,46,5,49,5,46,38,17,12,76,37,54,52,53
62,43,29,53,37,39,57,15,63,0,8,80,99,78,55,105,34,54,38,48,32,33,42,87,62,46,42,78,27,65,90,47,61,25,30,63,100,57,97,67,27,26,80,56,44,54,19,47,66
54,40,27,47,45,37,64,19,65,8,0,77,96,79,48,103,28,55,31,42,36,27,50,91,55,41,47,83,30,59,86,43,65,32,27,66,99,59,95,68,24,27,82,57,36,51,14,42,61
70,38,50,41,87,40,78,68,39,80,77,0,20,27,52,25,55,35,61,50,59,54,84,62,51,42,61,64,60,45,20,35,55,74,50,48,24,40,18,35,53,54,38,32,68,26,63,41,28
79,55,69,54,108,59,98,88,59,99,96,20,0,42,63,11,71,56,76,63,79,70,104,77,60,57,81,81,81,52,14,52,75,94,68,67,24,60,14,54,72,74,54,53,81,44,81,56,39
89,46,52,58,74,43,58,64,19,78,79,27,42,0,70,40,65,23,73,65,49,63,68,35,71,56,46,38,53,66,47,45,34,64,55,26,27,23,31,14,56,52,11,21,82,38,66,55,50
18,27,37,11,84,36,92,54,68,55,48,52,63,70,0,73,21,57,18,8,60,23,86,99,7,16,70,95,57,11,49,27,79,68,32,75,77,65,69,68,34,46,80,56,19,32,37,16,24
90,63,76,64,110,65,98,93,58,105,103,25,11,40,73,0,80,57,85,72,83,79,106,72,71,66,83,77,85,64,25,60,74,98,75,66,15,61,9,53,78,80,50,54,91,51,88,65,49
33,18,18,19,63,23,73,33,57,34,28,55,71,65,21,80,0,46,9,14,41,2,65,88,28,14,52,82,37,30,60,21,64,47,13,63,79,53,74,59,14,26,72,46,18,29,15,15,34
75,30,30,46,53,23,44,40,11,54,55,35,56,23,57,57,46,0,55,50,26,44,48,42,60,41,25,38,29,57,54,30,23,41,34,18,48,7,48,13,35,28,26,2,64,26,44,41,44
25,26,27,21,70,32,82,40,67,38,31,61,76,73,18,85,9,55,0,13,50,11,73,97,25,19,61,91,46,29,64,28,74,55,22,72,86,62,80,68,23,35,81,55,9,36,22,19,37
24,20,28,8,76,28,84,46,61,48,42,50,63,65,8,72,14,50,13,0,51,15,77,92,14,9,62,88,48,16,50,20,71,60,23,68,74,57,67,62,26,37,74,49,18,27,29,9,23
74,35,23,51,28,25,32,17,31,32,36,59,79,49,60,83,41,26,50,51,0,38,27,55,65,44,12,46,5,65,75,37,28,15,28,31,74,26,74,36,26,14,49,28,59,40,30,45,57
35,16,15,20,61,20,71,31,55,33,27,54,70,63,23,79,2,44,11,15,38,0,63,85,29,14,50,79,35,32,60,19,62,45,11,60,78,50,72,57,12,24,70,44,21,28,14,15,33
98,62,49,78,8,53,18,33,49,42,50,84,104,68,86,106,65,48,73,77,27,63,0,59,92,71,22,48,29,91,101,64,36,18,53,43,95,45,97,54,51,40,64,51,81,67,51,72,84
117,72,70,87,66,64,42,72,30,87,91,62,77,35,99,72,88,42,97,92,55,85,59,0,102,83,44,10,60,97,82,72,26,65,74,25,57,34,64,30,75,65,23,42,106,67,82,83,82
19,31,42,14,90,41,97,61,71,62,55,51,60,71,7,71,28,60,25,14,65,29,92,102,0,21,75,99,63,7,46,31,83,74,38,79,76,68,67,71,40,51,81,59,25,34,44,20,23
34,11,22,7,70,20,76,42,52,46,41,42,57,56,16,66,14,41,19,9,44,14,71,83,21,0,54,79,42,20,46,11,62,54,18,59,67,48,60,52,21,31,64,40,26,18,27,1,19
85,44,34,61,27,34,21,28,27,42,47,61,81,46,70,83,52,25,61,62,12,50,22,44,75,54,0,35,17,74,79,45,18,20,39,23,73,22,74,32,38,26,43,28,70,46,42,55,64
113,68,64,84,56,60,31,63,27,78,83,64,81,38,95,77,82,38,91,88,46,79,48,10,99,79,35,0,52,95,84,68,18,55,69,20,63,30,69,29,69,58,27,39,101,64,75,79,81
70,33,20,49,29,24,36,11,36,27,30,60,81,53,57,85,37,29,46,48,5,35,29,60,63,42,17,52,0,62,75,36,34,13,24,36,77,31,76,40,22,11,54,31,54,39,25,43,56
26,30,43,13,91,39,95,62,67,65,59,45,52,66,11,64,30,57,29,16,65,32,91,97,7,20,74,95,62,0,39,28,80,75,38,75,69,65,60,67,41,51,76,55,31,30,46,19,16
