node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,transfer_capacity,is_dynamic,dynamic_appear_time,order_id
5,25.151303967640082,69.46717295969576,3,0,0,338,506,11,,0.0,-1.0,1
6,76.9485387315587,24.47895190294248,3,0,0,86,236,15,,1.0,-1.0,2
7,4.944743667934725,84.8752700565235,-1,0,0,289,381,16,,0.0,-1.0,3
8,0.9959741204303318,93.7112493921472,-1,0,0,350,467,19,,0.0,-1.0,4
9,62.76198739827059,32.18466352013203,-3,0,0,190,328,17,,1.0,-1.0,5
10,24.64779095767362,0.9005664264475244,-2,0,0,141,238,6,,0.0,331.0,6
11,23.547141701087714,13.77283015171411,-1,0,0,119,270,18,,1.0,-1.0,7
12,61.216622072314564,16.65455885938013,-3,0,0,70,137,13,,0.0,-1.0,8
13,52.86298375366193,59.01164223444708,2,0,0,299,439,9,,1.0,260.0,9
14,29.80416983469145,3.5064949018718705,3,0,0,261,388,7,,0.0,-1.0,10
15,3.72538806141961,2.6347332193917605,-3,0,0,12,130,10,,0.0,-1.0,11
16,73.91246671365462,31.800970481429815,-2,0,0,57,152,12,,0.0,-1.0,12
17,79.63001859676636,43.17328238428492,3,0,0,192,328,6,,0.0,-1.0,13
18,45.29981008299638,51.28826025095737,2,0,0,350,487,10,,1.0,92.0,14
19,71.3031456375104,27.350286582970707,-1,0,0,346,414,9,,0.0,214.0,15
20,12.15873495335269,55.60573351914615,1,0,0,35,210,6,,0.0,-1.0,16
21,32.697762324273924,44.24913136680374,-2,0,0,263,410,8,,1.0,-1.0,17
22,64.69467083373054,49.41257411412706,3,0,0,213,390,16,,0.0,-1.0,18
23,62.02788171008429,54.42000021136278,2,0,0,15,143,6,,0.0,134.0,19
24,73.97963719360992,70.593661771162,3,0,0,154,244,13,,1.0,-1.0,20
25,53.41898918086192,67.89030208597069,-2,0,0,220,280,12,,0.0,-1.0,21
26,87.35596022726128,43.22712877881686,3,0,0,337,418,13,,0.0,-1.0,22
27,41.276307274879365,76.42456208523801,-1,0,0,324,417,11,,1.0,292.0,23
28,58.2553837041994,7.100678022258855,1,0,0,356,526,8,,0.0,-1.0,24
29,89.21120156910814,3.0783102237640136,-2,0,0,217,386,14,,1.0,235.0,25
30,74.8396356209743,75.87941427043128,-2,0,0,111,247,15,,0.0,-1.0,26
31,95.31110852819305,5.4134408402320755,3,0,0,8,153,11,,0.0,-1.0,27
32,59.685686078449095,42.784057062705294,2,0,0,80,223,11,,0.0,368.0,28
33,33.0632954859542,9.031856029907303,1,0,0,299,397,12,,0.0,-1.0,29
34,56.265411967130916,47.90407256746136,-1,0,0,358,521,10,,1.0,-1.0,30
35,10.455445815102426,61.24895070970834,-2,0,0,61,128,5,,1.0,-1.0,31
