0,24,38,40,51,30,51,67,64,46,65,26,21,70,61,61,45,78,42,35,82,67,13,22,49,24,39,67,60,13,67,41,26,73,34,38,29,59,62,22,17,26,72,34,49,66,30,20,18,22,75,65,41
24,0,57,63,36,14,28,43,41,28,45,30,45,48,73,68,24,67,21,39,59,64,30,19,32,48,42,50,52,24,43,61,27,61,34,43,42,56,39,17,8,3,55,36,25,42,27,42,14,42,52,40,56
38,57,0,19,66,55,77,95,87,65,82,63,29,92,27,37,69,78,67,71,109,58,26,61,67,25,74,80,60,33,93,4,37,75,37,72,59,51,88,61,53,57,85,70,82,94,40,20,57,16,99,94,9
40,63,19,0,80,65,87,105,99,78,96,60,22,105,44,56,81,96,78,66,120,77,34,61,80,17,69,95,78,41,104,16,50,92,53,66,52,70,99,62,57,65,101,66,89,104,54,21,59,22,111,104,28
51,36,66,80,0,22,21,37,24,8,16,66,69,27,68,55,16,32,18,75,47,38,48,55,4,70,78,15,22,41,32,70,30,26,28,80,77,32,28,54,43,33,21,73,39,36,26,62,50,59,35,39,60
30,14,55,65,22,0,22,40,34,15,34,43,50,40,66,58,15,53,13,53,54,51,31,33,19,52,56,37,38,23,38,59,18,47,24,57,55,43,33,32,21,11,42,50,29,39,17,45,28,43,46,39,52
51,28,77,87,21,22,0,18,13,14,19,56,72,20,85,74,7,51,9,64,32,59,53,46,17,74,66,28,43,46,16,81,39,46,42,69,70,53,11,44,37,25,31,61,19,17,37,67,42,65,24,19,73
67,43,95,105,37,40,18,0,14,32,27,67,88,17,103,92,26,62,27,73,15,75,71,57,33,91,75,36,58,64,6,100,58,58,61,78,83,70,8,56,51,41,37,71,22,1,56,85,55,84,13,5,92
64,41,87,99,24,34,13,14,0,21,12,69,84,6,92,79,18,47,21,77,23,61,65,59,21,86,79,22,44,57,8,91,49,43,50,82,84,56,7,57,50,38,23,74,28,14,46,79,55,77,12,19,82
46,28,65,78,8,15,14,32,21,0,18,58,65,27,71,59,8,40,10,67,44,45,45,48,4,67,70,21,29,37,28,70,28,35,29,72,70,39,24,46,36,25,26,65,31,31,25,59,43,56,34,34,60
