0,44,44,13,41,18,58,40,21,51,16,55,73,72,62,18,42,7,63,32,66,31,15,68,48,53,68,46,3,26,75,63,50,23,74,48,41,8,29,42,62,44,27,64
44,0,55,37,57,54,92,41,57,42,54,34,35,60,91,49,21,37,49,64,26,70,36,31,76,91,71,33,42,20,75,60,90,68,71,13,59,44,41,6,24,48,37,105
44,55,0,54,5,31,44,14,31,21,60,34,61,33,39,63,36,45,29,76,59,38,55,56,26,48,23,26,46,53,31,20,53,54,30,46,7,36,70,58,53,8,20,66
13,37,54,0,52,31,72,46,35,55,17,56,70,77,76,13,41,9,66,29,62,45,1,65,61,67,76,49,10,16,83,70,64,34,81,44,52,20,16,33,58,52,34,77
41,57,5,52,0,27,39,18,26,26,57,39,65,39,35,60,39,43,35,73,63,32,53,60,21,42,27,30,44,53,35,26,47,50,35,50,2,33,68,60,58,13,21,60
18,54,31,31,27,0,40,33,3,44,30,53,76,63,44,35,44,23,56,46,71,16,33,70,29,37,54,43,21,40,63,52,36,23,62,53,26,11,47,54,65,34,23,51
58,92,44,72,39,40,0,56,36,65,66,78,105,74,11,73,76,63,73,79,102,27,73,99,17,10,55,69,61,81,62,60,18,48,65,87,37,52,87,92,96,53,54,25
40,41,14,46,18,33,56,0,34,11,56,22,48,31,53,57,21,38,23,72,45,44,47,43,39,59,31,12,41,42,37,23,62,56,35,32,20,32,61,45,40,7,12,76
21,57,31,35,26,3,36,34,0,46,33,55,78,63,40,38,47,27,57,49,73,12,36,73,26,33,53,45,25,44,62,51,32,23,61,56,25,15,51,57,68,35,25,47
51,42,21,55,26,44,65,11,46,0,67,13,39,21,60,67,21,48,11,82,39,56,56,35,48,69,28,8,51,48,32,18,73,67,29,30,28,44,69,47,33,12,23,87
16,54,60,17,57,30,66,56,33,67,0,70,87,88,73,8,56,19,78,16,79,39,18,81,59,59,83,62,15,34,91,79,54,20,90,60,56,24,24,51,75,60,43,66
55,34,34,56,39,53,78,22,55,13,70,0,26,26,74,69,15,50,14,85,25,66,57,21,60,81,40,10,55,45,42,29,84,75,38,21,41,50,68,40,20,25,30,99
73,35,61,70,65,76,105,48,78,39,87,26,0,45,100,83,31,67,36,99,9,91,70,5,87,107,64,35,72,55,64,53,109,96,59,26,67,70,77,41,11,52,53,124
72,60,33,77,39,63,74,31,63,21,88,26,45,0,66,88,40,69,11,104,48,71,78,42,57,80,21,29,72,69,19,13,85,86,14,47,41,64,91,66,44,28,44,98
62,91,39,76,35,44,11,53,40,60,73,74,100,66,0,79,74,67,67,87,98,34,77,95,15,21,46,65,66,83,53,52,30,56,55,84,33,55,92,93,93,48,53,37
18,49,63,13,60,35,73,57,38,67,8,69,83,88,79,0,54,19,78,16,75,46,13,78,65,67,86,61,16,28,93,80,62,29,92,57,60,27,16,45,71,62,44,74
42,21,36,41,39,44,76,21,47,21,56,15,31,40,74,54,0,37,29,70,26,59,42,26,59,77,49,12,41,30,54,39,79,64,50,10,41,38,52,25,21,28,22,94
7,37,45,9,43,23,63,38,27,48,19,50,67,69,67,19,37,0,59,34,60,38,10,62,52,59,67,42,4,19,75,61,57,30,73,41,43,11,25,35,55,43,25,71
