node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time
0,78.59252762089135,61.7931559846298,0,0,1,0.0,1000.0,0
1,34.18472854980921,87.38749555210184,0,1,0,0.0,1000.0,13
2,1.2907227980991975,22.669065207492366,0,1,0,0.0,1000.0,5
3,56.689279624953606,35.1542260049698,0,1,0,0.0,1000.0,14
4,61.037749531832766,2.4110193408666825,0,1,0,0.0,1000.0,13
5,11.645893048171253,12.709624021843924,0,1,0,0.0,1000.0,8
6,18.928364591600943,45.93314408005428,0,1,0,0.0,1000.0,13
7,75.21286995435712,90.5538837928901,0,1,0,0.0,1000.0,11
8,83.5372530284246,19.688787177568358,5,0,0,138.1452630226526,233.73602302574443,27
9,44.11505522306324,19.9411597758535,5,0,0,110.94636065647086,147.8545862264573,28
10,26.44718166671908,50.354698151188614,2,0,0,82.15776199992236,156.2257288428053,17
11,6.810902472352254,21.81743295932732,-2,0,0,115.92381944562733,147.92348282792958,11
12,93.53781613071173,46.6116292658489,-3,0,0,193.560547529697,273.04832358249286,25
13,44.53865259778722,1.45671547512789,1,0,0,78.62942589880304,129.95258534950815,29
14,24.739974705834577,86.62924359821812,0,0,0,123.50582301246232,172.20633089901455,19
15,16.462842825866876,41.51249395347211,1,0,0,22.472896389797125,82.35167881874038,21
16,1.4330905867001253,47.83354816705558,-4,0,0,125.54908297946727,213.82029764656642,28
17,2.1021106726217154,81.96095530657999,-3,0,0,64.98455888132825,156.84115951375483,23
18,82.48537674871037,78.77421883023699,0,0,0,146.0486668715736,220.1370097761706,10
19,28.33640688911182,83.7237218221818,-3,0,0,147.93657955262162,233.04139846507013,28
20,54.29981326052693,37.380810886700246,-4,0,0,162.0936434430932,216.63220170121684,10
21,62.5329959704233,1.2341046060374006,-3,0,0,104.37686563158863,140.49446261533495,26
22,14.296087760075215,74.22935381702628,-1,0,0,138.41011060794898,181.00897451290763,12
23,24.4161608716153,59.800911732874965,2,0,0,109.71768301093769,175.96423663815244,25
24,38.510260282302966,85.48057787992614,-3,0,0,79.20019327712305,121.17107517878264,21
25,95.24153059966436,88.35647283701904,1,0,0,189.85462124912337,299.01875595318194,17
26,27.061999469359666,19.416286904608228,-1,0,0,198.3065551654773,247.05494026624393,28
27,47.4434893620735,0.7334150836180275,1,0,0,96.76050797212945,164.41556597617947,22
28,2.5809392863181735,55.329063962300005,5,0,0,69.97087683617089,121.91305123008705,16
29,52.0449404165286,99.458198903526,1,0,0,63.002101436684924,113.21632104342456,28
30,20.184183536375812,25.810392916046844,2,0,0,50.90810858433223,123.48058388520408,25
31,11.35406423262867,91.75430096537447,-2,0,0,139.86789325052862,199.6183834580948,22
32,77.78112444584508,82.23391114568474,3,0,0,159.24872189127743,255.40098864836153,25
33,90.27637879645087,52.48999867258382,-5,0,0,26.63642513350468,80.15639674318922,26
34,45.11931914507237,33.03914736656165,3,0,0,36.55023319748718,95.26428988738877,18
35,58.92146143478555,45.42783967898225,0,0,0,181.60301787499483,233.4350618216391,15
36,45.15655866055751,93.69278637311389,5,0,0,116.96556226115817,231.69824363670403,12
