node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time
0,28.15096207723755,24.423370036407853,0,0,1,0.0,1000.0,0
1,56.035197401996186,2.1738838063707355,0,1,0,0.0,1000.0,14
2,52.057054429917336,39.177174201200316,0,1,0,0.0,1000.0,12
3,57.71222699144422,70.24175281503646,0,1,0,0.0,1000.0,12
4,63.4091945079839,98.46443693733663,0,1,0,0.0,1000.0,9
5,13.826534387687106,42.97370089297785,3,0,0,90.21785749336631,202.19695892594626,13
6,42.483073664331116,41.705320370292064,-4,0,0,115.28111029072667,216.5613916424443,12
7,66.37983920426683,48.982806054672245,1,0,0,143.23290763552222,185.42060411912675,11
8,51.74325598129631,43.23559921467647,2,0,0,28.94212722730398,131.9528774834262,14
9,99.16994610185625,92.75613488190422,3,0,0,143.48071108104205,258.3775668331508,21
10,30.772418936437095,11.159392476666719,1,0,0,47.78093913351531,81.5448852742972,25
11,83.97647240386028,99.71702514257245,2,0,0,120.56150645335188,239.3007479487112,17
12,29.26088940396455,35.778492584176625,1,0,0,172.43059165862437,282.4523398720616,26
13,94.16331814852029,71.11295180030899,1,0,0,179.01334458724284,244.37891343646461,22
14,29.563833177963616,58.10464912839151,5,0,0,83.1572124138366,167.254652299226,29
15,94.4229579364256,81.18131069457786,-5,0,0,48.92325481045321,146.07504285193102,23
16,74.18327137286596,73.69963117270224,-2,0,0,50.455791915367286,133.26162938044496,20
17,17.802032429227033,82.46812392279365,4,0,0,95.01579601004877,196.41262291293492,27
18,27.611863244345813,93.03666579015295,2,0,0,80.9821628539688,128.83569144026194,14
19,36.4639991013783,85.76603970422565,4,0,0,102.29350800852347,198.34634133441654,12
20,26.623349451780143,51.45269365822405,2,0,0,71.02635280514326,137.67113966718452,11
21,10.688529548906056,66.0118902996174,-4,0,0,156.90112045924346,203.58297827420992,11
22,83.60792751668383,71.8447281302416,4,0,0,163.66304233085432,251.3399146082583,21
23,52.32585129386573,4.51158786014595,5,0,0,131.22223009563342,180.1637873871225,26
24,93.34410071708584,70.54895485786346,-1,0,0,111.38502047804131,151.1254186869407,23
25,74.5864238365333,79.46805755108072,-3,0,0,66.70247073257336,116.40978217209548,12
26,74.77434259276107,44.11161640983337,4,0,0,170.78969260290873,216.28717667122663,10
27,73.36218292879468,62.50267878103289,-1,0,0,53.1790484054524,122.63863445198967,20
28,85.40163336687866,80.24598153373704,-5,0,0,54.78297412598074,102.77154184443067,24
29,4.1374382467259885,37.888709033260525,-3,0,0,186.93039054144413,217.7016195144108,12
30,3.4716152183894566,10.207492476609792,-5,0,0,38.29868198616047,83.35580618554397,26
