0,50,54,54,30,60,99,57,88,96,52,53,71,96,12,94,94,31,65,43,38,56,62,90,61,41,42,41,54,92,19,51,41,85,87,6,34,101,90,57,66,16,78
50,0,62,59,21,9,49,89,44,75,42,51,20,55,40,79,43,62,56,27,47,89,41,39,50,24,67,24,77,50,62,1,24,47,64,53,26,86,39,46,16,34,36
54,62,0,3,58,68,93,37,70,49,22,12,73,69,58,43,91,29,19,78,18,38,32,87,21,38,20,74,21,68,43,64,37,59,45,49,38,49,84,21,66,49,60
54,59,3,0,56,65,90,40,66,47,18,9,70,66,58,41,87,30,16,76,17,41,28,84,18,35,23,72,24,65,44,61,34,56,42,50,36,48,81,18,63,48,57
30,21,58,56,0,30,71,77,64,85,44,50,42,74,18,87,65,48,60,19,40,76,49,61,54,25,56,16,68,69,44,22,26,64,75,33,21,94,61,50,37,15,55
60,9,68,65,30,0,40,97,38,75,47,57,11,51,49,81,34,70,60,32,54,97,44,30,54,31,75,30,85,45,71,8,31,44,64,62,34,87,30,51,9,43,32
99,49,93,90,71,40,0,128,27,77,71,81,28,38,89,87,6,105,78,69,85,129,62,9,73,64,106,69,114,33,108,48,64,41,67,101,69,91,10,72,33,83,33
57,89,37,40,77,97,128,0,106,84,57,48,105,107,68,74,125,29,56,96,43,2,68,121,58,66,22,93,15,105,38,91,66,96,81,51,63,80,119,58,98,63,97
88,44,70,66,64,38,27,106,0,49,49,58,29,13,81,59,28,86,53,71,65,107,38,27,48,48,85,68,91,7,93,44,48,13,40,88,54,63,22,48,29,72,10
96,75,49,47,85,75,77,84,49,0,43,44,72,40,95,12,78,77,31,101,59,85,35,76,34,60,70,97,68,43,90,76,59,37,11,93,65,13,72,38,68,84,47
52,42,22,18,44,47,71,57,49,43,0,9,51,50,51,42,69,39,15,63,18,58,12,65,9,20,36,59,42,48,49,44,19,40,34,50,23,50,62,5,45,41,39
53,51,12,9,50,57,81,48,58,44,9,0,61,58,54,40,78,33,12,69,15,49,20,75,10,28,29,66,33,57,46,53,27,48,37,49,29,47,72,9,54,44,48
71,20,73,70,42,11,28,105,29,72,51,61,0,43,61,79,23,79,62,43,61,105,45,19,56,38,82,41,91,37,81,19,38,37,61,73,42,85,19,53,6,54,25
96,55,69,66,74,51,38,107,13,40,50,58,43,0,90,51,40,89,50,82,68,108,38,39,48,55,87,80,91,6,98,56,54,11,32,95,61,53,35,49,42,80,19
12,40,58,58,18,49,89,68,81,95,51,54,61,90,0,94,84,39,66,31,40,66,60,80,61,36,49,28,62,85,30,41,36,79,85,17,30,101,80,57,56,10,71
94,79,43,41,87,81,87,74,59,12,42,40,79,51,94,0,87,71,28,104,55,76,38,86,33,62,63,100,60,54,85,81,61,46,19,90,65,7,81,37,75,83,56
94,43,91,87,65,34,6,125,28,78,69,78,23,40,84,87,0,101,76,63,82,125,60,3,71,59,102,62,110,35,103,42,60,41,68,96,64,91,6,70,28,77,32
31,62,29,30,48,70,105,29,86,77,39,33,79,89,39,71,101,0,46,67,21,27,51,97,44,41,11,64,23,87,14,63,40,78,71,24,36,78,95,42,73,34,76
65,56,19,16,60,60,78,56,53,31,15,12,62,50,66,28,76,46,0,78,27,58,16,74,6,35,39,74,40,50,58,58,34,41,25,61,38,35,70,10,56,55,44
