0,62,89,52,70,68,63,43,36,56,62,49,8,59,69,40,16,65,10,83,31,84,51,81,75,62,44,8,28,58,21,59,7,13,58,56,79,61
62,0,32,10,64,80,109,92,85,18,70,94,53,10,48,57,47,58,55,79,45,61,54,73,44,100,76,68,45,16,63,82,69,49,56,10,33,2
89,32,0,40,62,83,125,111,104,33,74,111,81,30,44,71,77,58,85,74,77,50,63,68,35,112,90,94,77,31,85,90,96,78,60,43,17,32
52,10,40,0,59,73,100,82,75,15,64,85,43,10,45,48,37,53,46,75,38,60,47,69,43,91,67,58,37,14,53,74,59,39,50,11,36,9
70,64,62,59,0,22,72,64,60,45,15,60,65,53,18,30,69,6,74,16,83,20,19,11,26,55,40,68,80,47,52,33,71,67,11,70,44,61
68,80,83,73,22,0,52,50,47,62,9,44,67,70,39,30,73,24,75,20,89,41,26,24,48,35,27,64,85,64,47,14,67,70,24,84,66,77
63,109,125,100,72,52,0,19,26,95,57,15,68,102,85,54,77,71,73,73,94,92,63,76,94,17,35,54,90,98,48,39,56,73,67,109,109,107
43,92,111,82,64,50,19,0,7,79,50,8,48,86,75,40,58,63,54,70,74,84,51,72,83,23,24,35,71,82,29,35,37,54,57,91,96,91
36,85,104,75,60,47,26,7,0,72,47,13,41,78,69,34,51,58,47,67,67,79,45,68,78,27,20,28,64,75,21,33,30,46,52,83,90,83
56,18,33,15,45,62,95,79,72,0,52,80,48,8,30,41,45,39,53,61,50,45,36,55,28,84,60,60,48,3,52,64,62,45,37,25,24,16
62,70,74,64,15,9,57,50,47,52,0,46,60,60,30,23,66,16,69,21,81,35,16,21,40,40,26,59,77,54,42,18,62,63,14,75,57,68
49,94,111,85,60,44,15,8,13,80,46,0,54,87,72,39,63,59,60,64,80,80,49,67,81,15,21,41,76,83,33,29,43,59,54,94,95,92
8,53,81,43,65,67,68,48,41,48,60,54,0,51,63,37,9,60,8,79,26,78,46,77,68,65,45,15,22,50,22,58,16,5,54,48,71,52
59,10,30,10,53,70,102,86,78,8,60,87,51,0,37,49,46,47,55,68,48,51,44,63,34,91,68,64,47,6,57,72,66,47,45,18,26,8
69,48,44,45,18,39,85,75,69,30,30,72,63,37,0,35,64,14,71,31,75,15,23,25,9,70,51,70,72,31,55,48,72,63,17,56,27,45
40,57,71,48,30,30,54,40,34,41,23,39,37,49,35,0,43,26,45,43,58,47,12,41,44,42,19,37,55,44,21,25,40,40,20,59,56,55
16,47,77,37,69,73,77,58,51,45,66,63,9,46,64,43,0,63,8,84,17,80,51,81,68,75,54,25,13,47,31,66,24,4,58,40,69,46
65,58,58,53,6,24,71,63,58,39,16,59,60,47,14,26,63,0,68,22,76,21,14,17,24,56,38,64,74,41,47,33,66,61,6,64,41,55
10,55,85,46,74,75,73,54,47,53,69,60,8,55,71,45,8,68,0,88,21,86,55,86,75,73,53,19,17,55,30,67,18,7,62,48,77,55
83,79,74,75,16,20,73,70,67,61,21,64,79,68,31,43,84,22,88,0,98,25,33,6,38,56,47,80,95,62,63,35,83,82,26,86,57,76
31,45,77,38,83,89,94,74,67,50,81,80,26,48,75,58,17,76,21,98,0,91,65,94,77,92,71,40,3,51,48,83,39,21,71,35,74,45
84,61,50,60,20,41,92,84,79,45,35,80,78,51,15,47,80,21,86,25,91,0,35,19,17,75,60,84,88,45,68,53,87,79,27,70,33,59
51,54,63,47,19,26,63,51,45,36,16,49,46,44,23,12,51,14,55,33,65,35,0,30,32,49,28,49,62,39,33,28,52,48,7,58,46,52
81,73,68,69,11,24,76,72,68,55,21,67,77,63,25,41,81,17,86,6,94,19,30,0,32,59,48,79,91,57,62,38,82,79,23,80,50,71
75,44,35,43,26,48,94,83,78,28,40,81,68,34,9,44,68,24,75,38,77,17,32,32,0,80,60,76,75,29,62,57,79,67,27,53,18,42
62,100,112,91,55,35,17,23,27,84,40,15,65,91,70,42,75,56,73,56,92,75,49,59,80,0,23,55,88,87,43,22,57,71,52,101,95,98
44,76,90,67,40,27,35,24,20,60,26,21,45,68,51,19,54,38,53,47,71,60,28,48,60,23,0,39,67,63,23,14,42,50,33,77,74,74
8,68,94,58,68,64,54,35,28,60,59,41,15,64,70,37,25,64,19,80,40,84,49,79,76,55,39,0,37,63,17,53,3,21,57,63,83,67
28,45,77,37,80,85,90,71,64,48,77,76,22,47,72,55,13,74,17,95,3,88,62,91,75,88,67,37,0,49,44,79,35,17,68,36,72,45
58,16,31,14,47,64,98,82,75,3,54,83,50,6,31,44,47,41,55,62,51,45,39,57,29,87,63,63,49,0,55,67,65,48,40,24,22,14
21,63,85,53,52,47,48,29,21,52,42,33,22,57,55,21,31,47,30,63,48,68,33,62,62,43,23,17,44,55,0,37,20,27,41,61,72,62
59,82,90,74,33,14,39,35,33,64,18,29,58,72,48,25,66,33,67,35,83,53,28,38,57,22,14,53,79,67,37,0,56,63,30,84,73,79
7,69,96,59,71,67,56,37,30,62,62,43,16,66,72,40,24,66,18,83,39,87,52,82,79,57,42,3,35,65,20,56,0,21,60,64,85,68
13,49,78,39,67,70,73,54,46,45,63,59,5,47,63,40,4,61,7,82,21,79,48,79,67,71,50,21,17,48,27,63,21,0,56,43,69,48
58,56,60,50,11,24,67,57,52,37,14,54,54,45,17,20,58,6,62,26,71,27,7,23,27,52,33,57,68,40,41,30,60,56,0,61,43,53
56,10,43,11,70,84,109,91,83,25,75,94,48,18,56,59,40,64,48,86,35,70,58,80,53,101,77,63,36,24,61,84,64,43,61,0,43,12
79,33,17,36,44,66,109,96,90,24,57,95,71,26,27,56,69,41,77,57,74,33,46,50,18,95,74,83,72,22,72,73,85,69,43,43,0,31
61,2,32,9,61,77,107,91,83,16,68,92,52,8,45,55,46,55,55,76,45,59,52,71,42,98,74,67,45,14,62,79,68,48,53,12,31,0
