node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,transfer_capacity,is_dynamic,dynamic_appear_time
0,22.74482540647996,0.3121651356409627,0,0,1,0,480,0,,,
1,30.351012487811147,10.860740234649258,0,1,0,0,480,7,23.0,,
2,47.2793345301583,67.7127488573902,0,1,0,0,480,13,15.0,,
3,87.4505295038077,74.92171650908982,0,1,0,0,480,5,28.0,,
4,93.85855957785051,5.3898290393788795,0,1,0,0,480,8,25.0,,
5,1.217983541654144,66.13381138362126,0,1,0,0,480,13,20.0,,
6,28.935241022224623,25.350101610577312,3,0,0,131,271,12,,0.0,-1.0
7,33.08870876937943,26.979605789236416,-1,0,0,119,296,12,,0.0,-1.0
8,51.14364063015873,44.01484472241325,3,0,0,135,297,12,,0.0,-1.0
9,51.242855137665636,67.27136115004362,-1,0,0,86,221,15,,0.0,-1.0
10,38.71305089711483,25.13076871421568,2,0,0,240,326,6,,1.0,-1.0
11,16.62005368087455,34.94741195326255,1,0,0,82,248,9,,0.0,-1.0
12,74.1806475246172,75.67049101114695,3,0,0,188,328,16,,0.0,-1.0
13,66.69053866842103,23.402817530687457,-1,0,0,186,291,12,,0.0,-1.0
14,58.80862458546977,57.0689661576848,-1,0,0,3,142,17,,0.0,258.0
15,48.42661981097255,54.997898638386424,1,0,0,151,246,6,,0.0,-1.0
16,49.17906326236681,56.54563660741082,3,0,0,344,421,16,,0.0,-1.0
17,71.55059546211288,10.962819440343974,-1,0,0,206,310,17,,0.0,49.0
18,74.96257521490237,13.58861501275942,-2,0,0,302,480,7,,1.0,-1.0
19,6.6627998410374705,97.60796862214676,3,0,0,13,76,10,,0.0,-1.0
20,95.69917688704415,6.043654494056405,-2,0,0,282,348,7,,0.0,365.0
21,44.32534414749622,18.624493829977474,-3,0,0,315,453,12,,0.0,-1.0
22,48.53448971344181,83.01772429995874,3,0,0,80,157,8,,1.0,-1.0
23,95.06117747428902,63.42526534515373,1,0,0,287,454,13,,1.0,220.0
24,35.390566721181706,60.332556564459836,-2,0,0,272,444,5,,0.0,-1.0
25,31.200130610845033,90.98236408320604,-2,0,0,327,399,11,,0.0,371.0
26,87.04004631058369,55.8231750279661,1,0,0,22,186,7,,0.0,-1.0
27,32.47989153803606,29.338967558297835,-3,0,0,146,299,11,,0.0,-1.0
28,3.341799470505946,81.58208510252952,-2,0,0,294,466,6,,1.0,306.0
29,45.038321303900794,32.513292840026445,1,0,0,26,87,5,,0.0,-1.0
30,47.11103549977539,81.8737990454652,-1,0,0,238,310,18,,0.0,259.0
31,12.461420770752119,85.76559882418273,-3,0,0,27,150,11,,0.0,-1.0
32,89.7508835108354,94.67079150338881,1,0,0,40,199,16,,0.0,-1.0
33,39.74879924226278,21.714040403767186,1,0,0,45,160,19,,0.0,-1.0
34,37.36408184666985,33.291209623140325,3,0,0,135,249,9,,0.0,-1.0
35,17.615391250286006,60.726667010148795,3,0,0,177,263,12,,1.0,-1.0
