node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,transfer_capacity,is_dynamic,dynamic_appear_time
0,18.34347898661638,77.96910002727692,0,0,1,0,480,0,,,
1,59.6850157946487,44.583275285359115,0,1,0,0,480,6,10.0,,
2,9.997491581800288,45.92488919658672,0,1,0,0,480,11,14.0,,
3,33.37086111390219,14.286681792194077,0,1,0,0,480,7,21.0,,
4,65.08884729488528,5.641157902710026,3,0,0,34,158,7,,0.0,286.0
5,72.19987722668247,93.85527090157501,2,0,0,217,395,19,,0.0,-1.0
6,0.07787658410143283,99.22115592912175,-2,0,0,41,177,7,,0.0,-1.0
7,61.74815096277165,61.16531604882809,1,0,0,95,158,18,,0.0,-1.0
8,0.7066305219717406,2.3062425041415757,-1,0,0,28,123,17,,0.0,-1.0
9,52.477466025838915,39.98609717152555,3,0,0,283,408,14,,1.0,-1.0
10,4.666566321361543,97.37555188414592,3,0,0,283,370,16,,0.0,360.0
11,23.277134043030422,9.06064345328208,-2,0,0,347,495,11,,1.0,-1.0
12,61.838600933308726,38.24619912671628,-1,0,0,120,295,17,,1.0,-1.0
13,98.32308858067881,46.67628932479799,-1,0,0,136,257,9,,0.0,-1.0
14,85.99404067363206,68.03075385877797,-1,0,0,159,314,12,,1.0,-1.0
15,45.0499251969543,1.3264961159866528,-3,0,0,51,122,18,,0.0,130.0
16,94.22017556848527,56.32882178455393,-3,0,0,80,198,5,,1.0,-1.0
17,38.54165025399161,1.5966252220214194,2,0,0,223,379,5,,0.0,-1.0
18,23.0893825622149,24.102546602601173,1,0,0,217,308,10,,0.0,-1.0
19,68.32635188254582,60.99966577826209,-1,0,0,183,259,19,,1.0,-1.0
20,83.31949117361643,17.336465350777207,-2,0,0,197,342,15,,1.0,230.0
21,39.10606075732408,18.223608778806234,1,0,0,186,315,17,,1.0,-1.0
22,75.53614103176525,42.51558744912447,1,0,0,345,471,19,,0.0,-1.0
23,20.794166286818882,56.77003278199915,1,0,0,127,225,6,,1.0,-1.0
24,3.1313292455558583,84.22847745949986,-3,0,0,150,240,18,,0.0,-1.0
25,44.975413336976565,39.51502360018144,-2,0,0,111,286,16,,0.0,283.0
26,92.66588657937942,72.72719958564208,1,0,0,36,127,15,,0.0,-1.0
27,32.65407688058354,57.04439744053994,-1,0,0,303,442,7,,1.0,-1.0
28,52.083426002582364,96.11720243493491,-3,0,0,115,249,5,,0.0,369.0
29,84.45338486781515,74.73201101373809,3,0,0,226,397,18,,1.0,413.0
30,53.969213238907976,58.67511656638482,3,0,0,337,462,10,,0.0,190.0
31,96.5255307264138,60.70342476866847,1,0,0,288,361,9,,0.0,-1.0
32,27.599918202254337,29.62735057040824,-1,0,0,127,219,16,,0.0,-1.0
33,16.52669390630025,1.5636406741193931,3,0,0,237,326,10,,1.0,-1.0
34,42.340148070636964,39.48815181755697,-1,0,0,26,183,9,,0.0,-1.0
35,29.348817471803812,1.4079822715084456,-3,0,0,316,423,7,,0.0,46.0
36,19.884240408880515,71.134195274865,1,0,0,219,308,17,,0.0,409.0
37,79.01755405312056,60.59599747810114,-3,0,0,36,119,17,,0.0,128.0
38,92.63008785133489,65.10770255019445,1,0,0,115,237,17,,0.0,285.0
39,91.49596755437808,85.00385777897993,-1,0,0,127,204,13,,0.0,352.0
