0,103,27,60,15,98,113,14,48,53,54,69,89,61,75,108,99,107,44,4,19,6,77,61,82,30,47,9,56,90,48,75,100,16,67,37
103,0,76,92,95,20,22,109,69,68,51,57,20,77,62,9,32,14,78,107,85,109,28,74,65,84,92,94,91,13,75,44,22,98,49,88
27,76,0,55,23,71,87,33,27,33,27,47,62,50,57,81,75,81,29,31,9,32,50,48,65,24,45,17,52,63,35,50,74,24,42,34
60,92,55,0,44,99,90,74,81,86,67,95,90,15,34,92,70,87,84,62,60,65,81,18,36,32,12,57,3,85,22,93,76,71,87,22
15,95,23,44,0,92,102,29,50,56,49,70,83,46,60,99,87,97,49,18,21,21,72,46,67,15,32,14,41,83,33,74,89,27,66,22
98,20,71,99,92,0,42,101,56,54,43,40,9,85,73,29,50,35,65,101,78,103,20,81,77,84,96,88,97,15,79,28,40,89,34,90
113,22,87,90,102,42,0,121,86,86,65,77,41,74,56,13,19,8,95,117,97,119,46,71,56,89,92,104,89,32,76,65,13,110,68,91
14,109,33,74,29,101,121,0,46,51,58,68,93,75,87,114,109,114,40,12,23,10,82,74,94,43,61,18,70,95,61,76,108,11,68,51
48,69,27,81,50,56,86,46,0,6,22,21,50,73,74,76,79,78,9,51,29,51,40,70,82,51,71,39,77,55,59,30,75,35,22,61
53,68,33,86,56,54,86,51,6,0,24,16,48,78,78,75,81,78,11,56,35,57,39,75,85,57,77,45,83,54,64,26,75,40,19,67
54,51,27,67,49,43,65,58,22,24,0,27,35,56,54,57,57,58,30,58,35,59,23,53,61,43,60,44,64,37,45,26,53,47,19,52
69,57,47,95,70,40,77,68,21,16,27,0,36,84,80,65,75,69,28,72,50,73,30,81,88,68,87,60,92,44,72,12,69,57,9,78
89,20,62,90,83,9,41,93,50,48,35,36,0,76,64,28,44,33,59,93,70,94,11,72,69,75,87,79,88,9,70,24,36,82,29,81
61,77,50,15,46,85,74,75,73,78,56,84,76,0,19,77,55,72,77,65,57,68,67,3,23,31,19,57,14,70,14,81,61,70,76,24
75,62,57,34,60,73,56,87,74,78,54,80,64,19,0,60,36,54,81,79,66,81,57,17,7,45,39,68,33,57,27,74,43,80,71,41
108,9,81,92,99,29,13,114,76,75,57,65,28,77,60,0,26,6,85,112,91,114,36,73,62,87,93,98,91,21,76,53,17,104,57,90
99,32,75,70,87,50,19,109,79,81,57,75,44,55,36,26,0,20,88,103,85,106,45,52,37,73,74,91,70,35,59,65,9,99,66,73
107,14,81,87,97,35,8,114,78,78,58,69,33,72,54,6,20,0,87,111,90,113,38,69,56,85,89,98,86,24,73,57,11,104,60,87
44,78,29,84,49,65,95,40,9,11,30,28,59,77,81,85,88,87,0,46,27,46,49,75,88,53,74,36,81,64,63,38,84,29,30,63
4,107,31,62,18,101,117,12,51,56,58,72,93,65,79,112,103,111,46,0,23,2,81,64,85,33,50,13,59,94,51,79,104,17,71,40
19,85,9,60,21,78,97,23,29,35,35,50,70,57,66,91,85,90,27,23,0,24,59,56,74,28,49,10,57,72,43,56,84,14,48,38
6,109,32,65,21,103,119,10,51,57,59,73,94,68,81,114,106,113,46,2,24,0,83,67,88,36,53,15,62,96,54,80,106,16,72,43
77,28,50,81,72,20,46,82,40,39,23,30,11,67,57,36,45,38,49,81,59,83,0,63,63,64,76,68,78,14,59,20,38,70,22,70
61,74,48,18,46,81,71,74,70,75,53,81,72,3,17,73,52,69,75,64,56,67,63,0,21,31,21,56,17,66,13,77,58,68,72,25
82,65,65,36,67,77,56,94,82,85,61,88,69,23,7,62,37,56,88,85,74,88,63,21,0,52,43,76,36,62,34,81,45,87,78,47
30,84,24,32,15,84,89,43,51,57,43,68,75,31,45,87,73,85,53,33,28,36,64,31,52,0,21,25,29,73,17,70,76,39,62,10
47,92,45,12,32,96,92,61,71,77,60,87,87,19,39,93,74,89,74,50,49,53,76,21,43,21,0,45,9,83,17,86,78,59,80,10
9,94,17,57,14,88,104,18,39,45,44,60,79,57,68,98,91,98,36,13,10,15,68,56,76,25,45,0,54,80,42,66,91,13,58,35
56,91,52,3,41,97,89,70,77,83,64,92,88,14,33,91,70,86,81,59,57,62,78,17,36,29,9,54,0,83,19,90,76,68,84,19
90,13,63,85,83,15,32,95,55,54,37,44,9,70,57,21,35,24,64,94,72,96,14,66,62,73,83,80,83,0,66,32,26,84,36,78
48,75,35,22,33,79,76,61,59,64,45,72,70,14,27,76,59,73,63,51,43,54,59,13,34,17,17,42,19,66,0,70,63,55,65,14
75,44,50,93,74,28,65,76,30,26,26,12,24,81,74,53,65,57,38,79,56,80,20,77,81,70,86,66,90,32,70,0,58,65,8,78
100,22,74,76,89,40,13,108,75,75,53,69,36,61,43,17,9,11,84,104,84,106,38,58,45,76,78,91,76,26,63,58,0,98,60,77
16,98,24,71,27,89,110,11,35,40,47,57,82,70,80,104,99,104,29,17,14,16,70,68,87,39,59,13,68,84,55,65,98,0,57,48
67,49,42,87,66,34,68,68,22,19,19,9,29,76,71,57,66,60,30,71,48,72,22,72,78,62,80,58,84,36,65,8,60,57,0,71
37,88,34,22,22,90,91,51,61,67,52,78,81,24,41,90,73,87,63,40,38,43,70,25,47,10,10,35,19,78,14,78,77,48,71,0
