node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,transfer_capacity,is_dynamic,dynamic_appear_time
0,10.547369995663058,65.6780104724294,0,0,1,0,480,0,,,
1,82.21031606002255,38.04200075075623,0,1,0,0,480,11,12.0,,
2,77.56118509253275,96.44766539008116,0,1,0,0,480,8,24.0,,
3,20.376645912768907,52.33296311947413,0,1,0,0,480,10,24.0,,
4,28.713795808457554,79.28544190338394,0,1,0,0,480,9,12.0,,
5,57.75933658811575,63.45824175503038,0,1,0,0,480,13,23.0,,
6,79.79141596158941,39.59704726624549,1,0,0,141,300,16,,0.0,281.0
7,91.50900684070432,53.302886724614,2,0,0,206,347,7,,1.0,-1.0
8,15.7954822835348,69.58991181688025,-1,0,0,90,247,12,,0.0,-1.0
9,79.32613504382545,31.67616770675267,2,0,0,327,448,7,,0.0,113.0
10,85.7179256998753,90.61432547657664,-3,0,0,280,379,12,,0.0,179.0
11,27.690448737780894,98.3521472715222,-3,0,0,82,251,7,,1.0,-1.0
12,14.071152804875842,20.201566840248997,1,0,0,172,302,18,,1.0,-1.0
13,18.422483923802613,89.39897100078704,-3,0,0,274,380,8,,0.0,346.0
14,65.42925523249619,15.210428322227287,1,0,0,285,353,5,,0.0,-1.0
15,44.032341836834895,61.529802506980204,-1,0,0,308,466,13,,0.0,225.0
16,8.34640849893833,88.24163684073388,-1,0,0,67,218,12,,1.0,-1.0
17,80.36035354415351,50.52067735766382,3,0,0,119,233,17,,1.0,-1.0
18,96.71266152591704,41.77609792750997,1,0,0,34,104,18,,1.0,-1.0
19,98.41103190364979,66.79199988036271,2,0,0,303,382,9,,0.0,-1.0
20,63.467127325394145,16.5954895295785,2,0,0,200,320,13,,0.0,245.0
21,88.1927758304644,42.74896879206152,-3,0,0,7,111,11,,0.0,-1.0
22,16.223340578247935,1.260751997575904,1,0,0,173,279,19,,0.0,122.0
23,55.975568363838256,52.739962212267635,3,0,0,231,311,7,,0.0,208.0
24,71.93536223691585,89.02580530178021,1,0,0,310,440,16,,0.0,-1.0
25,7.9406584643029525,73.14964903403623,2,0,0,66,211,16,,1.0,-1.0
26,18.741194409758222,85.8177053157164,-3,0,0,256,387,11,,0.0,239.0
27,81.90635138616561,54.07937549855444,-3,0,0,60,131,10,,0.0,-1.0
28,71.02427986233116,31.43501131837484,1,0,0,92,260,5,,0.0,-1.0
29,47.116789893281464,82.16368977104716,2,0,0,339,454,5,,0.0,-1.0
30,45.92651971732139,35.77982653254418,3,0,0,189,256,15,,1.0,-1.0
31,49.421244725029986,82.82492524372184,2,0,0,244,352,18,,0.0,-1.0
32,33.520804737087275,17.37615931357438,-3,0,0,264,411,9,,0.0,306.0
33,71.20140203307808,82.59782127080818,-1,0,0,58,156,11,,1.0,-1.0
34,10.063747852353334,23.98741127559447,-1,0,0,146,216,17,,1.0,-1.0
35,14.19719897609939,34.79414115821666,1,0,0,18,153,12,,1.0,297.0
36,45.035097890541266,74.88263369633064,2,0,0,239,331,17,,1.0,37.0
37,65.11475848816741,62.092856747843115,-3,0,0,346,451,11,,1.0,206.0
38,35.23749466096544,84.144755308476,1,0,0,337,414,6,,0.0,111.0
39,47.128716739816454,97.91049380151546,2,0,0,146,316,16,,0.0,361.0
40,63.41421382957368,12.626474156450273,-2,0,0,242,316,13,,1.0,-1.0
41,67.6177562075434,32.5104015431699,-3,0,0,201,326,7,,0.0,-1.0
42,68.63271966860974,6.964114816240574,-2,0,0,50,227,13,,0.0,113.0
43,17.48814371759594,85.57372589057863,3,0,0,154,330,6,,0.0,379.0
44,22.71795570235149,83.704112524294,-2,0,0,80,180,18,,0.0,-1.0
