0,76,73,16,22,47,73,81,6,76,79,36,45,24,74,33,22,71,89,87,72,80,64,47,65,7,21,72,69,40,46,42,53,62,41,31,35,54,30,48,74,66,82,21,21
76,0,58,63,67,35,2,17,73,6,52,81,70,81,28,44,89,12,14,33,28,7,75,30,52,82,79,16,12,56,36,55,52,45,73,68,52,29,65,69,31,15,33,80,74
73,58,0,72,51,38,56,45,67,64,10,49,99,59,82,48,69,46,57,36,81,54,113,48,9,73,59,42,65,33,68,31,90,15,99,88,39,36,44,30,85,64,89,61,56
16,63,72,0,28,39,60,71,17,62,75,46,32,37,58,25,37,60,77,79,55,68,51,35,63,24,33,61,54,40,30,42,37,59,30,18,33,45,35,52,58,51,66,33,31
22,67,51,28,0,33,64,67,16,69,58,19,60,14,73,23,22,59,77,70,71,69,79,38,44,21,11,58,63,18,46,21,62,42,58,46,16,40,8,26,75,60,82,12,7
47,35,38,39,33,0,32,35,42,38,38,46,61,47,48,13,55,26,44,40,47,36,74,10,29,50,44,25,34,21,30,21,52,23,61,52,17,7,30,36,51,32,57,45,40
73,2,56,60,64,32,0,18,70,7,51,78,68,79,28,41,86,10,17,32,28,8,74,27,50,79,76,14,11,53,34,52,51,43,71,65,49,26,63,66,31,14,34,77,72
81,17,45,71,67,35,18,0,77,24,37,78,84,81,46,48,90,11,12,15,46,11,91,35,40,85,79,9,29,52,48,51,68,35,86,79,51,27,64,62,49,31,51,80,75
6,73,67,17,16,42,70,77,0,73,73,31,49,19,73,29,20,67,85,82,71,77,68,43,59,8,16,67,67,33,45,36,55,56,45,34,29,49,24,42,74,63,81,16,15
76,6,64,62,69,38,7,24,73,0,59,84,66,83,21,46,90,18,20,39,21,14,70,31,57,82,81,22,8,59,33,59,47,51,69,65,55,33,68,73,24,11,26,82,76
79,52,10,75,58,38,51,37,73,59,0,58,100,67,78,50,77,40,50,26,77,47,113,48,13,79,67,36,60,39,67,37,89,16,100,90,43,35,50,39,81,60,85,68,63
36,81,49,46,19,46,78,78,31,84,58,0,79,12,91,40,21,71,89,77,89,82,97,53,45,32,15,69,79,25,65,26,81,46,76,64,29,52,16,19,92,77,100,16,15
45,70,99,32,60,61,68,84,49,66,100,79,0,69,51,51,68,72,85,96,49,77,19,53,89,53,65,75,58,70,35,71,19,84,5,14,62,66,67,84,49,54,56,65,64
24,81,59,37,14,47,79,81,19,83,67,12,69,0,87,37,10,73,91,83,85,83,88,52,53,19,3,72,78,29,60,31,73,53,65,54,30,54,17,29,88,75,96,3,7
74,28,82,58,73,48,28,46,73,21,78,91,51,87,0,51,92,38,41,61,2,35,51,38,74,81,84,42,17,69,28,69,31,67,56,54,63,46,75,84,3,17,8,85,80
33,44,48,25,23,13,41,48,29,46,50,40,51,37,51,0,44,37,56,54,48,47,66,14,39,37,35,38,40,20,25,21,45,34,50,40,13,21,24,36,52,37,59,35,30
22,89,69,37,22,55,86,90,20,90,77,21,68,10,92,44,0,81,99,92,90,91,87,59,63,15,10,81,84,39,64,41,75,63,64,53,39,62,27,39,93,81,101,9,15
71,12,46,60,59,26,10,11,67,18,40,71,72,73,38,37,81,0,18,24,37,11,80,24,39,75,71,3,21,45,37,44,57,33,75,68,42,19,56,57,41,22,45,71,66
89,14,57,77,77,44,17,12,85,20,50,89,85,91,41,56,99,18,0,25,41,8,90,42,53,94,89,19,27,63,51,62,67,48,88,82,61,37,74,74,44,30,44,90,85
87,33,36,79,70,40,32,15,82,39,26,77,96,83,61,54,92,24,25,0,61,26,105,44,34,90,81,20,44,53,60,51,81,31,98,90,53,33,65,59,64,46,66,83,77
72,28,81,55,71,47,28,46,71,21,77,89,49,85,2,48,90,37,41,61,0,35,49,36,72,79,82,41,16,67,25,67,29,66,53,52,61,45,73,82,3,16,10,82,78
80,7,54,68,69,36,8,11,77,14,47,82,77,83,35,47,91,11,8,26,35,0,83,33,49,85,81,12,20,56,42,55,60,43,80,74,53,30,67,68,39,22,40,82,77
64,75,113,51,79,74,74,91,68,70,113,97,19,88,51,66,87,80,90,105,49,83,0,65,103,72,84,84,62,86,45,88,23,98,23,33,79,78,85,101,48,60,52,84,82
47,30,48,35,38,10,27,35,43,31,48,53,53,52,38,14,59,24,42,44,36,33,65,0,39,52,49,25,26,30,19,30,41,33,54,45,24,13,37,46,40,23,47,50,45
