0,71,102,97,112,54,51,54,78,59,43,112,71,112,22,49,7,79,89,81,63,100,51,41,23,105,92,68,22,72,67,96,65,92,54,40,75,81,85,97,21,86,91,90,66,74,91,79,56,123,116,97,68,70,37,43,53,107,83,101,69,8,95,87,79,22,40,106,44,18,46,93,92,52,88,41,101,78,41,39,40,63
71,0,36,52,71,71,80,27,86,17,77,65,54,55,49,48,78,10,96,49,20,44,20,30,64,42,76,22,73,18,35,34,16,75,81,31,57,58,92,84,56,82,20,97,24,86,21,58,72,69,56,77,30,21,37,77,72,58,22,80,15,63,28,28,45,61,78,51,46,54,43,87,90,33,97,30,63,22,46,35,35,69
102,36,0,31,47,83,94,48,88,42,94,37,55,22,80,63,109,26,95,43,38,17,53,63,88,7,67,34,98,51,41,8,36,66,93,63,55,52,91,75,82,78,21,96,37,90,16,54,82,36,20,65,38,32,64,94,84,31,48,67,50,93,7,16,40,86,97,20,65,83,61,81,86,52,96,61,44,51,66,70,71,76
97,52,31,0,19,63,75,45,61,46,76,15,32,19,79,50,103,44,67,19,40,14,58,66,78,25,37,35,87,70,30,24,41,36,73,66,31,25,63,44,76,49,47,67,35,65,42,28,61,25,27,34,30,34,62,77,64,9,71,36,67,89,32,25,19,77,80,14,54,79,51,51,56,45,68,63,13,73,56,76,78,53
112,71,47,19,0,70,81,63,61,64,85,10,42,27,96,63,117,63,63,31,58,30,77,84,91,40,33,54,98,90,46,42,60,33,79,83,38,32,61,37,90,47,65,63,53,66,60,34,68,22,35,29,48,52,78,85,71,15,90,28,87,104,50,44,33,90,89,26,67,94,65,47,52,61,65,81,11,92,70,95,96,59
54,71,83,63,70,0,11,44,24,53,15,74,30,82,51,23,56,72,35,44,52,72,57,54,30,82,41,53,33,85,42,75,56,41,10,53,32,38,31,45,37,33,84,36,49,20,81,35,2,88,89,47,46,55,41,15,1,72,93,50,80,49,78,67,45,32,19,76,26,43,28,39,38,37,34,51,59,90,27,63,65,10
51,80,94,75,81,11,0,53,29,63,7,86,42,94,53,32,52,83,39,56,62,84,64,60,29,93,51,63,29,93,53,86,66,51,3,59,44,50,35,54,38,41,95,40,60,24,92,47,13,99,101,57,57,65,47,8,10,84,101,60,88,48,90,78,56,32,11,88,34,45,37,47,44,47,37,58,71,98,34,67,70,22
54,27,48,45,63,44,53,0,61,9,50,61,31,58,34,21,60,30,71,33,10,46,16,21,40,51,56,13,49,41,17,41,13,55,53,20,35,38,66,64,34,58,42,72,12,60,40,38,44,69,62,58,15,16,17,50,44,54,49,62,37,45,41,32,30,38,52,52,19,35,16,65,67,6,71,18,52,46,19,32,33,42
78,86,88,61,61,24,29,61,0,70,36,69,34,81,74,41,80,85,11,45,66,74,76,75,55,85,28,65,57,102,52,80,70,28,25,74,32,36,6,27,61,15,95,12,62,5,91,34,22,83,89,33,57,67,63,36,25,69,109,35,98,73,86,74,48,56,41,76,46,68,48,18,15,54,10,72,53,107,48,85,87,19
59,17,42,46,64,53,63,9,70,0,59,61,38,55,38,30,66,21,80,37,6,43,12,21,48,46,62,10,58,32,21,36,6,62,63,21,42,44,75,70,41,66,33,81,11,69,32,44,54,68,58,64,17,12,22,59,54,54,39,68,28,50,35,28,34,46,61,50,28,41,25,72,75,16,80,19,55,37,29,30,31,51
43,77,94,76,85,15,7,50,36,59,0,89,44,95,46,30,44,80,46,57,59,85,60,54,22,94,56,61,21,88,52,86,63,57,11,53,46,53,43,60,31,47,92,47,58,31,90,50,17,102,102,62,56,64,42,0,13,86,97,66,83,40,89,77,58,24,4,89,31,37,34,53,51,44,45,52,74,94,30,61,63,26
112,65,37,15,10,74,86,61,69,61,89,0,45,17,95,64,118,56,72,32,55,21,73,81,93,30,41,50,101,83,45,34,56,41,84,81,42,36,69,46,91,55,57,72,50,73,52,38,73,13,24,37,46,48,77,89,76,7,83,37,81,104,42,37,33,92,93,17,68,94,66,55,61,60,74,78,16,85,71,92,93,64
71,54,55,32,42,30,42,31,34,38,44,45,0,51,57,22,76,51,43,13,34,42,47,51,49,52,24,32,56,71,18,46,37,24,40,50,4,10,38,32,49,28,61,44,29,35,57,8,28,58,58,28,23,33,41,44,31,42,76,32,67,63,52,40,15,49,48,46,27,54,25,34,36,26,43,47,30,75,30,62,64,21
112,55,22,19,27,82,94,58,81,55,95,17,51,0,92,67,118,45,86,38,50,12,68,77,95,14,55,45,104,72,45,21,50,55,92,76,50,45,82,61,91,68,43,86,46,84,38,47,80,13,8,52,44,43,75,95,83,12,70,53,70,103,28,28,37,93,99,6,70,93,67,70,75,59,87,74,29,73,72,86,87,73
22,49,80,79,96,51,53,34,74,38,46,95,57,92,0,36,29,57,86,65,42,80,28,18,24,84,81,47,31,51,50,74,44,81,55,17,62,67,81,88,14,79,68,87,46,71,69,65,52,104,96,85,49,49,17,46,50,89,61,89,47,14,73,66,62,21,44,87,31,8,32,86,86,34,85,19,85,56,28,17,20,56
49,48,63,50,63,23,32,21,41,30,30,64,22,67,36,0,54,50,53,32,29,56,34,33,28,64,44,31,36,62,22,56,33,44,32,32,26,32,48,51,27,43,62,54,28,40,59,30,23,76,73,49,25,33,21,30,23,60,70,53,57,41,58,47,31,27,33,61,5,32,6,50,50,14,52,30,52,67,8,44,46,22
7,78,109,103,117,56,52,60,80,66,44,118,76,118,29,54,0,86,91,86,70,106,58,48,26,112,96,74,23,80,73,102,72,95,55,47,80,86,87,101,27,89,98,92,73,76,98,84,59,129,123,101,74,77,44,44,55,113,90,105,76,15,101,93,85,26,40,112,49,25,52,96,94,59,89,48,106,85,47,46,47,66
79,10,26,44,63,72,83,30,85,21,80,56,51,45,57,50,86,0,94,44,20,35,28,38,70,32,71,20,79,27,33,24,17,71,82,39,54,53,89,80,62,78,12,95,23,86,12,54,72,59,45,72,28,18,43,80,73,49,27,75,24,70,18,19,40,67,82,41,49,61,46,84,87,35,95,37,56,28,50,45,45,68
89,96,95,67,63,35,39,71,11,80,46,72,43,86,86,53,91,94,0,52,76,80,87,86,66,91,30,75,67,113,61,87,80,31,35,85,40,43,4,26,73,17,104,1,72,14,100,41,33,86,93,34,66,76,74,46,36,73,119,36,108,84,94,82,55,67,50,81,58,79,59,16,11,65,2,83,56,118,60,96,99,30
81,49,43,19,31,44,56,33,45,37,57,32,13,38,65,32,86,44,52,0,32,29,49,54,61,40,26,28,68,68,16,35,34,26,54,54,13,9,48,35,59,35,52,53,26,48,47,11,42,44,45,27,20,28,47,57,45,28,71,30,64,73,41,29,3,60,61,32,36,63,34,40,44,31,53,51,19,71,39,65,67,35
63,20,38,40,58,52,62,10,66,6,59,55,34,50,42,29,70,20,76,32,0,38,18,26,50,41,57,4,60,37,16,32,3,56,62,26,37,39,71,65,44,62,32,77,5,66,30,39,52,62,53,59,12,7,26,60,53,48,42,62,32,54,31,23,28,48,62,44,29,45,25,68,71,15,76,24,49,41,29,36,37,49
100,44,17,14,30,72,84,46,74,43,85,21,42,12,80,56,106,35,80,29,38,0,56,65,83,11,51,33,92,62,33,12,38,50,83,64,42,37,76,58,79,62,35,80,34,77,30,39,71,24,16,49,32,31,63,85,74,14,61,50,60,91,20,16,27,82,88,6,59,81,55,65,70,47,81,62,27,63,61,74,75,64
51,20,53,58,77,57,64,16,76,12,60,73,47,68,28,34,58,28,87,49,18,56,0,10,44,57,72,23,53,28,32,48,17,72,65,10,52,55,82,80,35,74,40,88,23,75,40,54,58,80,70,75,29,25,18,60,57,66,37,78,23,42,45,39,45,41,60,62,30,33,28,81,83,21,86,9,67,33,29,18,19,57
41,30,63,66,84,54,60,21,75,21,54,81,51,77,18,33,48,38,86,54,26,65,10,0,37,67,75,31,45,34,38,57,27,75,61,1,55,59,82,83,27,76,50,88,31,73,50,58,55,89,79,78,35,33,13,54,54,75,44,82,30,32,55,49,51,34,55,71,28,24,27,83,84,24,86,3,73,40,27,11,13,56
23,64,88,78,91,30,29,40,55,48,22,93,49,95,24,28,26,70,66,61,50,83,44,37,0,90,69,54,9,71,50,81,53,69,32,36,53,59,62,74,10,63,82,67,51,51,81,57,33,104,100,74,51,56,26,22,29,88,81,78,67,18,82,72,59,3,20,89,24,16,28,69,68,36,64,36,80,77,22,41,43,39
105,42,7,25,40,82,93,51,85,46,94,30,52,14,84,64,112,32,91,40,41,11,57,67,90,0,62,37,99,58,41,9,40,62,92,67,53,48,87,70,85,74,29,92,39,88,24,50,81,28,13,60,38,34,67,94,83,24,55,62,56,96,14,18,37,88,97,13,66,86,62,77,82,53,93,65,38,58,68,75,76,74
