0,59,70,35,64,67,18,23,91,20,7,64,89,52,58,32,80,32,13,7,55,81,44,73,72,63,45,71,58,96,51,80,89,12,69,56,54,60,81,30,70,26,39,81,56,52,78,69,71,80,112,64,66,64,39,54,72,48,19,96,44,86,44,67,68,61,16,31,59,25,37,62,96,81,39,25,70,37,87,56,65
59,0,11,49,28,52,56,51,32,43,57,32,56,10,15,31,36,29,57,55,30,28,32,24,13,45,24,32,2,38,54,35,29,47,10,5,6,56,24,32,51,33,22,23,10,41,47,17,47,21,56,72,68,50,61,59,19,66,61,36,44,36,28,15,47,18,43,49,65,50,41,12,46,43,20,37,50,41,32,20,21
70,11,0,61,36,51,68,63,26,53,69,40,60,18,24,40,39,41,67,66,32,18,43,16,2,54,35,37,13,26,58,27,20,58,9,17,17,57,12,41,59,44,34,11,21,43,53,10,55,13,44,74,69,50,67,62,21,71,70,26,49,35,40,20,45,17,54,56,67,62,53,20,35,47,31,46,48,47,20,30,18
35,49,61,0,37,82,17,11,72,40,27,36,56,48,39,42,53,23,45,27,63,77,19,71,62,30,25,45,47,87,73,82,74,26,55,44,43,80,73,40,37,28,28,73,40,67,46,65,38,65,105,90,90,80,67,78,52,76,51,82,63,62,21,48,81,61,27,55,83,9,7,45,95,52,33,39,84,55,81,34,66
64,28,36,37,0,79,52,45,36,56,59,4,29,35,13,48,16,32,68,57,57,54,20,51,36,18,19,7,26,57,78,63,40,51,27,24,26,82,45,48,22,41,27,46,18,66,19,45,18,33,76,97,94,77,81,83,18,88,73,48,67,24,19,16,75,47,48,67,89,44,30,16,71,18,32,51,78,62,55,9,50
67,52,51,82,79,0,77,76,76,47,71,83,108,43,65,40,88,60,55,69,21,43,73,37,53,93,66,84,53,61,19,33,69,62,59,55,53,11,53,42,100,55,57,51,61,15,98,41,97,64,68,27,20,2,35,19,70,32,52,71,22,86,70,67,5,34,59,35,22,78,77,64,47,95,51,45,5,29,49,70,32
18,56,68,17,52,77,0,6,84,30,10,51,74,51,50,38,69,26,30,11,61,82,32,75,70,47,36,60,54,94,64,84,84,15,64,51,50,73,80,35,54,25,34,79,50,62,64,70,56,75,112,79,81,75,55,69,64,64,37,91,56,76,33,59,77,63,18,45,73,8,22,55,99,68,36,32,80,48,87,47,68
23,51,63,11,45,76,6,0,78,31,16,44,67,47,44,36,62,21,34,15,59,78,25,71,64,41,30,53,49,89,65,80,78,16,59,46,45,73,75,34,48,22,29,74,44,61,57,65,49,69,107,81,81,74,58,69,58,67,40,86,55,70,26,53,76,60,18,46,75,2,15,49,95,61,32,32,79,48,82,40,64
91,32,26,72,36,76,84,78,0,76,88,40,47,42,33,64,27,59,90,85,58,35,53,39,24,53,48,32,33,26,84,47,8,78,22,35,37,84,24,65,55,65,51,26,34,70,44,35,50,12,43,101,96,76,93,89,20,98,94,13,75,18,51,24,71,44,74,81,94,77,65,28,46,36,52,70,73,73,32,37,44
20,43,53,40,56,47,30,31,76,0,23,58,84,34,47,13,71,24,14,21,34,62,40,53,55,61,37,63,43,78,34,60,73,15,54,41,39,42,63,11,69,15,28,62,44,33,73,51,68,64,93,50,50,45,27,38,59,36,17,79,25,75,38,54,48,41,13,15,43,32,38,50,76,74,25,6,50,18,68,47,45
