node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,order_id,is_dynamic,dynamic_appear_time,transfer_capacity
0,53.6424551333452,80.518997747133,0,0,1,0,480,0,-1,0.0,-1.0,
1,31.936119720634892,32.97039085120007,0,1,0,0,480,8,-1,0.0,-1.0,10.0
2,15.049196271239563,65.2258146028608,0,1,0,0,480,13,-1,0.0,-1.0,15.0
3,70.8891844295079,13.842682261763883,0,1,0,0,480,6,-1,0.0,-1.0,21.0
4,25.411344131814218,15.427131737003986,0,1,0,0,480,11,-1,0.0,-1.0,15.0
5,74.7676996999029,20.90977296359089,0,1,0,0,480,8,-1,0.0,-1.0,25.0
59,84.09070993289987,76.31086723910305,-3,0,0,321,396,7,1,,,
6,15.224656459035725,6.985170748658809,3,0,0,298,454,6,1,,,
14,96.22466871609839,90.84423476574017,-2,0,0,244,315,14,2,,,
10,39.82047075609159,45.5406920476522,2,0,0,70,185,12,2,,,
43,97.80410824660773,58.576095823464,-3,0,0,10,149,5,3,,,
11,91.93054565263097,75.89211613300641,3,0,0,316,413,5,3,,,
47,61.98265952907015,93.4463175307368,-4,0,0,53,231,13,4,,,
12,34.104130335018525,15.431458229709028,4,0,0,105,195,14,4,,,
16,3.095968120497594,83.75204006260843,-2,0,0,192,271,13,5,,,
20,45.550441333625905,1.1073542465420805,2,0,0,42,217,6,5,,,
51,45.24780298988751,56.82495379537984,-2,0,0,128,295,11,6,,,
21,66.87336494609887,33.230255821851905,2,0,0,132,203,18,6,,,
53,96.56593564854587,66.61943799452291,-3,0,0,102,269,13,7,,,
22,65.63241524373352,92.64616695553327,3,0,0,297,389,13,7,,,
96,28.100254683942104,55.31125391739765,-3,0,0,117,254,11,8,,,
23,59.1643314661078,32.808500236360985,3,0,0,255,323,11,8,,,
18,68.89252343743941,53.97868342560576,-2,0,0,118,221,7,9,,,
25,98.72970293420887,61.53630504533943,2,0,0,313,397,8,9,,,
58,27.446935352253455,90.28060194916459,-3,0,0,287,439,11,10,,,
