0,57,57,42,32,57,82,19,38,49,86,86,96,91,77,49,39,23,77,76,83,54,60,73,52,80,37,11,35,19,20,11,37,21,52,57,27,52,35,68,40,31,91,35,66,71,82,9,64,58,55,20,14,29,21,77,29,9,64,59,95,11,54,56,44,15,41,94,49,7,57,55,28,96,97,86,31,39,33,35,38,25,8,9,50,25,29,73,63,17,28,75,53,71,70,30,53,47,48,45,49,35,10,29
57,0,59,57,33,7,40,56,28,11,30,29,76,72,61,65,41,60,20,20,34,10,78,52,55,25,80,46,38,60,38,45,50,35,11,83,63,83,22,38,17,29,33,27,42,36,55,65,73,62,32,59,43,35,73,75,62,66,54,24,75,58,80,81,30,70,21,38,14,61,20,82,28,63,75,28,78,63,24,44,63,45,65,65,56,32,78,62,60,49,55,59,18,72,68,37,94,36,71,27,26,60,51,32
57,59,0,15,34,65,48,72,35,47,84,75,41,36,24,14,22,77,68,65,57,66,21,25,5,82,44,56,26,40,45,50,19,51,65,30,35,34,48,31,55,60,82,38,26,38,34,65,14,3,27,39,52,65,53,20,31,59,13,80,40,47,28,28,29,57,40,91,64,53,40,30,46,49,43,76,49,91,47,78,23,32,62,58,6,53,50,18,6,67,29,22,72,15,13,68,50,81,21,32,75,24,61,63
42,57,15,0,26,62,57,59,29,45,85,78,56,52,39,8,15,64,70,67,64,62,22,38,10,82,31,43,19,25,34,37,7,40,61,26,20,26,41,40,49,51,85,31,35,46,47,50,22,15,31,24,40,55,37,35,16,44,26,74,56,32,22,24,27,41,36,93,59,38,42,25,37,62,58,79,34,79,39,67,9,19,47,43,9,43,36,33,21,54,14,37,66,28,28,58,40,72,13,30,67,9,48,53
32,33,34,26,0,37,49,42,6,22,63,59,67,62,48,35,12,47,50,48,52,36,48,43,29,59,46,27,7,28,14,21,18,18,35,52,30,50,14,35,23,26,65,6,34,39,50,42,47,36,22,27,22,31,42,54,28,39,36,48,66,29,48,49,11,41,12,71,33,33,26,50,12,64,67,59,46,59,13,44,30,12,40,38,29,19,46,45,38,35,21,46,40,49,47,34,60,47,39,13,41,27,32,28
57,7,65,62,37,0,47,53,33,17,28,31,83,80,68,71,46,57,23,24,41,4,84,60,62,23,83,46,43,63,39,46,55,36,6,89,66,88,24,46,17,27,34,31,50,44,63,64,80,69,40,62,43,33,75,82,65,67,61,17,82,60,85,86,36,71,26,37,9,62,28,87,30,71,83,30,81,59,26,40,68,49,65,66,62,32,81,69,67,47,59,67,11,79,75,34,98,30,76,33,20,65,50,30
82,40,48,57,49,47,0,88,44,37,48,34,41,39,33,61,46,93,32,29,11,51,69,26,48,50,88,75,48,75,62,70,54,64,52,79,73,82,51,17,52,64,42,47,22,11,21,91,60,51,28,74,70,71,89,52,70,89,36,64,40,78,76,76,38,90,41,52,54,82,25,78,55,24,39,37,90,101,52,82,66,59,90,88,50,62,91,38,45,81,64,33,59,54,49,73,97,76,68,36,66,65,80,67
19,56,72,59,42,53,88,0,46,52,81,85,109,105,90,67,52,5,76,76,87,49,79,85,67,75,56,15,48,38,28,22,53,24,47,77,46,71,37,77,39,26,88,42,77,79,93,18,82,74,64,39,20,20,40,93,48,25,78,49,108,30,73,75,53,32,47,90,44,26,63,74,33,106,110,84,50,20,36,19,56,40,21,26,66,25,48,87,78,7,45,89,45,88,86,20,72,34,67,53,39,53,11,23
38,28,35,29,6,33,44,46,0,16,57,53,64,60,46,38,13,51,44,42,46,33,51,39,30,54,52,31,10,34,18,26,22,21,31,55,35,55,13,31,20,26,59,4,31,34,47,47,48,37,18,33,26,33,48,54,34,45,35,45,63,35,52,53,7,47,7,65,30,39,20,54,13,60,65,53,51,61,12,45,35,18,46,44,30,21,52,44,38,39,27,44,37,50,46,36,66,46,43,7,40,32,36,29
49,11,47,45,22,17,37,52,16,0,40,37,68,64,52,53,29,57,28,26,35,19,66,44,44,37,69,40,26,50,29,38,38,29,18,72,52,71,15,31,14,26,42,16,34,30,48,58,62,51,22,49,36,33,63,64,51,58,44,33,67,49,68,69,18,61,9,48,19,52,13,70,21,58,68,37,68,63,16,44,51,34,58,57,44,26,68,52,50,45,44,50,25,62,57,36,83,40,59,15,31,48,45,30
86,30,84,85,63,28,48,81,57,40,0,15,90,88,79,93,70,85,16,20,37,32,105,71,82,6,110,75,67,90,67,75,79,64,34,111,93,112,52,57,45,56,10,57,62,52,69,93,99,88,57,89,72,60,103,96,91,95,76,34,89,88,108,109,58,100,50,8,37,90,44,110,58,72,88,12,108,84,54,65,92,75,94,95,83,61,108,82,84,75,84,78,36,96,91,61,124,52,99,55,44,89,79,58
86,29,75,78,59,31,34,85,53,37,15,0,76,74,66,85,63,89,8,10,23,36,96,58,73,18,105,76,62,87,66,74,72,64,38,103,88,105,51,45,46,58,7,53,51,39,56,94,89,78,47,86,72,64,101,85,87,95,65,43,75,87,100,101,51,98,46,17,41,89,35,103,57,57,74,2,105,90,53,71,86,71,94,94,74,61,105,70,74,78,80,66,42,85,80,65,118,60,91,48,50,83,80,61
96,76,41,56,67,83,41,109,64,68,90,76,0,4,18,54,57,114,73,70,52,86,53,24,45,91,85,93,61,81,81,87,59,85,86,64,76,71,76,37,81,91,83,68,34,39,20,105,43,41,47,80,89,97,94,27,72,99,31,101,0,88,64,63,56,98,66,93,87,93,55,65,78,21,3,78,90,126,76,110,65,70,102,98,47,86,91,23,34,103,70,20,93,33,30,100,87,108,60,57,99,65,99,94
91,72,36,52,62,80,39,105,60,64,88,74,4,0,14,50,52,110,71,67,51,83,50,20,41,88,81,89,56,77,76,83,54,81,83,60,72,66,72,34,77,86,81,64,30,36,18,100,39,37,43,75,84,93,89,23,68,95,26,97,4,83,60,59,52,93,62,91,83,89,52,61,73,21,6,76,85,122,72,105,60,66,98,94,42,81,87,18,30,98,65,16,90,29,26,96,83,104,56,53,96,61,94,90
77,61,24,39,48,68,33,90,46,52,79,66,18,14,0,38,38,96,62,59,44,70,41,8,28,79,69,75,42,63,62,69,40,66,70,52,59,57,59,22,64,73,74,50,18,27,13,86,31,25,29,62,70,79,76,19,55,81,12,85,17,69,50,50,38,80,49,84,71,75,40,52,59,25,19,68,73,107,58,92,48,52,84,80,29,67,75,6,18,84,52,1,77,22,17,82,74,91,45,40,83,48,80,76
49,65,14,8,35,71,61,67,38,53,93,85,54,50,38,0,24,71,77,74,69,71,13,39,12,90,30,51,28,30,43,45,16,49,69,18,23,20,50,44,58,60,92,40,39,50,49,56,15,12,37,29,48,64,40,30,20,49,27,83,54,38,15,16,35,46,45,100,68,44,49,17,46,63,56,86,35,86,48,76,11,28,53,48,11,52,37,32,20,62,21,36,75,23,24,67,36,81,7,38,76,13,55,61
39,41,22,15,12,46,46,52,13,29,70,63,57,52,38,24,0,57,55,52,52,46,37,34,17,66,42,36,4,28,24,30,9,29,45,42,27,42,26,30,34,38,70,16,28,35,43,48,35,24,18,27,32,43,42,42,24,44,26,59,56,32,38,39,11,44,20,77,44,37,28,40,24,57,58,64,43,70,25,56,22,13,46,43,16,31,44,35,26,46,18,36,51,37,35,46,54,59,29,15,53,20,41,40
23,60,77,64,47,57,93,5,51,57,85,89,114,110,96,71,57,0,80,80,92,53,83,90,72,78,59,21,53,42,33,27,58,30,51,81,50,75,42,82,43,30,92,47,82,84,98,20,87,79,69,43,25,24,42,98,53,28,83,52,113,34,77,79,58,35,52,93,47,30,68,78,38,111,115,88,53,16,41,21,61,45,23,29,71,30,51,92,83,12,50,94,49,93,91,23,75,35,71,59,41,58,16,27
77,20,68,70,50,23,32,76,44,28,16,8,73,71,62,77,55,80,0,3,22,28,89,54,66,17,97,67,53,79,57,65,64,56,29,96,80,97,42,40,37,50,14,45,45,35,53,85,83,71,40,77,63,56,92,80,78,86,60,37,72,78,93,94,43,90,38,22,33,81,28,95,48,56,72,8,96,82,44,63,78,62,85,85,67,53,96,65,68,69,71,62,34,79,74,57,110,53,84,40,43,75,71,53
76,20,65,67,48,24,29,76,42,26,20,10,70,67,59,74,52,80,3,0,19,28,85,50,63,20,94,66,51,76,56,64,62,54,30,93,78,94,40,36,36,49,17,42,42,31,49,84,79,68,37,75,62,55,90,76,76,85,56,39,69,76,90,90,41,88,35,26,33,79,25,92,47,53,68,11,94,83,42,64,75,60,84,84,64,51,94,62,64,69,69,58,35,76,70,57,107,54,81,37,44,72,70,52
83,34,57,64,52,41,11,87,46,35,37,23,52,51,44,69,52,92,22,19,0,45,78,37,57,39,94,75,52,79,63,72,60,63,46,87,79,90,50,25,49,62,30,48,31,19,33,92,70,60,33,78,70,68,93,63,76,91,46,57,52,81,85,85,41,93,41,40,49,85,25,87,55,34,50,25,95,98,51,78,73,63,91,90,58,62,96,49,55,80,70,44,53,65,59,71,105,71,76,39,61,71,80,65
54,10,66,62,36,4,51,49,33,19,32,36,86,83,70,71,46,53,28,28,45,0,84,62,62,26,81,43,43,61,37,43,55,33,2,88,65,87,22,49,14,24,38,30,52,47,66,61,81,69,41,60,40,28,72,83,64,64,63,14,85,58,84,86,37,68,26,40,5,59,31,87,28,74,85,34,79,54,25,35,67,47,62,63,62,29,78,71,69,43,57,69,7,81,76,30,96,25,76,34,15,64,47,26
