0,28,25,61,76,26,22,0,86,31,68,28,80,45,92,41,99,33,63,83,29,55,43,78,32,51,74,24,34,53,42,42,20,56,51,86,61,64,32,37,34,43,63,38,67,58,26,47,32,14,7,18,5,13,76,28,62,46,36,80,71,75,88,42,53,47,13,58,22,18,65,74,53,46,40,56,17,56,46,83
28,0,50,33,48,8,46,29,76,47,75,18,59,51,79,39,84,30,80,72,33,30,44,64,50,69,60,46,52,51,55,39,30,59,32,65,38,37,16,9,51,61,39,61,42,54,44,19,57,40,21,45,29,23,49,11,38,24,12,67,53,71,72,25,28,21,42,50,33,29,37,47,27,47,43,71,37,35,19,74
25,50,0,80,98,44,35,24,84,17,52,54,88,35,92,40,100,37,40,82,54,70,39,78,14,29,76,38,49,48,25,42,23,46,62,94,74,87,46,59,51,21,76,13,80,54,44,65,7,11,31,7,29,26,90,53,75,59,60,82,78,68,92,68,68,64,16,56,45,23,84,90,69,41,36,35,37,68,69,78
61,33,80,0,26,35,79,62,69,72,88,45,40,67,67,53,70,48,101,65,61,15,59,56,76,92,52,79,84,61,77,51,57,71,28,44,20,25,34,25,81,85,19,89,19,60,76,14,87,72,54,76,63,53,19,39,19,23,31,57,39,73,56,41,16,16,74,54,64,57,4,15,13,61,59,91,69,24,23,71
76,48,98,26,0,54,89,76,95,93,114,51,63,92,91,77,93,71,124,91,65,41,83,81,97,114,78,87,89,86,100,76,77,96,54,66,46,12,56,38,86,107,45,109,43,86,83,35,105,89,69,93,75,71,38,48,44,48,39,82,64,99,80,40,42,40,89,80,71,76,24,33,39,86,83,115,78,50,29,96
26,8,44,35,54,0,46,26,70,40,67,24,56,43,73,31,79,22,72,66,38,29,36,59,43,61,55,47,54,43,47,31,23,51,28,62,36,44,9,16,53,54,37,55,41,46,46,21,51,36,20,40,28,18,50,18,36,21,20,61,48,64,67,33,27,21,39,43,36,22,39,48,27,39,35,63,38,32,26,68
22,46,35,79,89,46,0,22,108,48,86,37,102,65,115,63,121,56,75,106,27,76,65,100,47,64,97,3,14,74,58,64,41,76,73,108,82,76,54,53,16,57,84,47,88,80,10,66,38,26,26,28,18,35,96,41,83,67,50,103,94,96,111,50,73,67,19,80,19,40,83,93,73,67,62,70,10,78,60,105
0,29,24,62,76,26,22,0,86,31,68,29,80,45,93,41,99,33,63,84,30,56,43,78,32,51,74,23,34,53,41,42,20,56,52,86,62,65,32,38,34,43,64,38,68,58,26,48,31,13,7,18,6,13,76,29,62,46,37,81,72,75,89,43,53,48,13,58,23,18,66,75,54,46,40,56,17,57,47,83
86,76,84,69,95,70,108,86,0,67,47,94,34,48,11,45,18,52,72,3,108,55,44,13,70,71,17,110,120,35,61,44,67,39,45,35,48,94,60,78,120,70,50,83,52,29,112,67,87,85,84,85,91,73,58,88,50,54,86,12,30,19,21,100,56,61,92,28,105,68,71,63,58,42,48,64,103,46,84,6
31,47,17,72,93,40,48,31,67,0,37,56,73,18,76,25,83,24,33,65,61,60,23,62,4,21,60,51,63,31,10,27,17,29,50,79,62,84,37,56,64,13,65,18,69,37,56,59,20,21,35,20,37,25,80,54,64,49,59,65,64,51,76,69,58,55,29,40,54,17,76,80,60,24,20,25,48,56,66,61
