node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,order_id,is_dynamic,dynamic_appear_time,transfer_capacity
0,69.35895904018845,94.53648914811268,0,0,1,0,480,0,-1,0.0,-1.0,
1,1.9782356080236596,26.07681578812826,0,1,0,0,480,13,-1,0.0,-1.0,14.0
2,76.49656918637233,17.339383488962103,0,1,0,0,480,14,-1,0.0,-1.0,24.0
3,11.14551188158961,4.618471144688485,0,1,0,0,480,8,-1,0.0,-1.0,22.0
4,50.24899951803915,76.77336513707256,0,1,0,0,480,8,-1,0.0,-1.0,20.0
5,96.17345646927113,26.7485949235037,0,1,0,0,480,6,-1,0.0,-1.0,18.0
23,30.0027141592752,81.46954644136001,-3,0,0,149,222,12,1,,,
7,5.544030144465772,33.13596517246592,3,0,0,326,452,17,1,,,
22,34.52913256576286,79.10602604755789,-2,0,0,254,420,6,2,,,
8,64.30799904961604,16.816602357360644,2,0,0,149,226,18,2,,,
64,76.64302539233951,29.608450690178667,-2,0,0,337,494,8,3,,,
9,63.18767510068915,97.19490375882148,2,0,0,45,207,19,3,,,
79,68.77916093334923,51.511493687855804,-4,0,0,229,404,6,4,,,
10,86.41999195019898,35.68348545829877,4,0,0,170,333,17,4,,,
35,96.98233378530044,8.492838530256252,-3,0,0,203,357,19,5,,,
12,85.99008903831616,99.38270722288742,3,0,0,186,349,14,5,,,
11,42.14962834427052,41.93207002809276,-4,0,0,349,423,15,6,,,
15,86.00458002180676,84.14108487371142,4,0,0,288,349,15,6,,,
72,34.046178284804874,66.87484019957928,-4,0,0,7,101,6,7,,,
17,11.966177707506576,93.78729837169388,4,0,0,89,260,9,7,,,
57,78.43773501288496,72.29266380726857,-4,0,0,211,290,15,8,,,
20,39.29470803681785,30.238137208477077,4,0,0,131,226,10,8,,,
60,59.61340178734042,24.914780570994154,-4,0,0,353,489,19,9,,,
21,38.95909976972691,30.897270854268,4,0,0,125,223,11,9,,,
18,94.32343632666425,25.44412678607295,-3,0,0,208,279,13,10,,,
24,56.79221786437571,78.04447715819217,3,0,0,54,231,18,10,,,
86,57.301187699426315,97.93529136745035,-3,0,0,175,320,9,11,,,
25,91.88906504534707,13.842495050784919,3,0,0,264,335,5,11,,,
