0,37,40,24,41,66,33,55,43,19,47,42,34,58,61,73,52,46,71,68,28,57,20,24,42,63,44,35,18,43,31,7,63,47,73,52,34,57,54,48,45,58,38,41,72,43,52,53,74,76,41,57,29,6,44,19,16,37,11,46,56,38,29,21,42,26,79,30,69,54,36,47,44,24,80,79,49,45,48,28,20,70,42,86,81,45,41,36,25,60,87,41,20
37,0,74,41,45,95,71,50,32,28,84,78,64,76,98,81,89,81,72,104,11,85,55,53,60,100,80,58,55,80,30,33,97,70,74,87,40,79,89,33,67,61,73,75,88,67,90,79,109,86,75,74,60,41,77,46,45,42,36,53,89,35,31,16,23,12,108,43,103,64,6,77,75,61,103,113,84,79,34,47,53,99,60,94,86,8,77,74,59,61,117,56,38
40,74,0,37,50,29,21,64,64,47,20,7,51,39,29,60,17,6,69,29,68,24,38,23,33,29,38,26,24,31,53,48,22,26,69,50,47,31,14,68,26,57,40,44,51,23,31,23,34,62,45,40,47,41,50,50,49,48,38,47,55,55,51,59,68,62,40,39,28,48,71,11,9,18,47,38,11,5,68,33,43,31,33,71,71,81,37,25,41,61,48,38,38
24,41,37,0,17,53,43,33,27,13,53,43,56,37,65,49,54,44,47,67,38,43,41,14,20,66,60,16,28,55,16,30,58,28,49,70,12,38,51,31,26,34,56,60,50,25,62,37,70,53,60,35,51,30,64,43,41,14,13,21,74,19,13,30,31,29,67,5,65,30,36,37,35,32,62,74,48,42,31,6,43,58,20,62,57,46,57,48,46,36,75,18,4
41,45,50,17,0,58,60,15,17,24,68,57,74,33,80,36,67,57,30,78,47,48,59,29,20,80,77,24,46,73,15,46,68,32,32,88,7,39,63,20,30,17,74,78,43,31,78,41,80,41,78,30,69,47,82,60,58,3,30,8,92,9,15,40,26,36,71,12,75,19,38,46,45,49,61,83,61,54,19,18,61,63,20,49,42,48,74,65,64,19,79,14,21
66,95,29,53,58,0,51,67,75,66,45,34,81,29,45,47,35,29,62,33,91,10,67,43,37,42,66,37,52,58,68,74,21,26,61,77,59,19,26,78,28,56,69,73,33,28,54,16,29,47,75,32,77,69,79,79,77,58,61,51,83,66,66,82,82,83,13,52,26,45,90,19,22,48,19,30,31,27,77,47,73,5,38,54,57,100,65,53,71,60,22,43,57
33,71,21,43,60,51,0,75,70,47,14,16,31,59,28,79,22,22,84,38,61,46,20,31,48,31,18,40,16,12,58,38,38,44,85,30,55,52,28,75,44,72,19,23,71,41,19,44,46,81,24,59,27,30,29,34,34,57,37,60,35,62,55,54,71,59,60,48,41,64,69,33,30,11,69,51,21,23,74,42,26,52,48,91,89,78,16,4,22,76,67,52,42
55,50,64,33,15,67,75,0,18,37,83,71,89,39,94,34,81,71,21,92,55,58,73,44,32,94,92,38,61,88,25,59,81,43,24,103,21,48,76,17,41,14,89,93,46,43,93,52,93,38,93,36,84,61,97,74,71,18,44,17,108,17,26,50,27,44,80,27,88,23,44,59,58,64,67,95,75,68,16,33,76,73,32,44,36,51,90,80,79,12,88,26,36
43,32,64,27,17,75,70,18,0,24,80,70,77,51,93,51,81,71,40,94,37,65,63,41,38,94,85,40,54,82,12,45,84,49,42,95,17,57,78,4,47,30,80,84,60,48,89,59,96,55,84,47,72,49,87,61,58,17,34,26,99,9,15,33,9,27,89,24,91,36,25,62,61,59,79,100,75,69,4,31,64,80,37,62,55,32,82,75,68,30,97,32,28
19,28,47,13,24,66,47,37,24,0,59,51,53,50,73,59,62,53,55,76,25,56,39,24,33,74,61,29,31,59,12,22,69,41,57,71,17,51,61,28,39,42,56,60,63,38,67,50,81,64,60,47,48,25,63,37,35,20,10,31,74,19,10,17,24,16,80,16,75,41,24,49,47,37,75,85,57,52,29,19,40,71,32,72,66,34,58,52,44,44,88,30,9
47,84,20,53,68,45,14,83,80,59,0,13,42,60,14,81,10,16,89,24,75,43,34,39,53,16,22,45,29,14,68,52,27,46,90,32,64,51,19,85,46,78,27,30,71,43,10,43,33,83,31,61,39,44,36,48,48,66,49,67,38,72,66,68,83,72,51,56,29,68,82,31,29,22,64,38,13,19,84,50,40,44,53,92,91,92,21,12,35,81,58,58,53
42,78,7,43,57,34,16,71,70,51,13,0,47,47,23,68,11,5,76,25,70,30,35,28,40,23,32,33,24,24,58,49,22,33,77,43,53,38,12,74,33,65,35,39,58,30,23,30,32,69,40,48,43,42,45,49,47,55,41,54,49,61,56,62,73,65,43,45,26,55,75,18,16,18,53,37,6,7,74,39,41,35,40,79,78,85,31,19,38,69,50,45,43
34,64,51,56,74,81,31,89,77,53,42,47,0,84,54,102,52,53,103,67,52,75,16,50,70,58,24,61,32,29,65,33,69,70,105,25,68,79,59,82,69,90,16,15,98,66,40,73,76,105,14,84,5,27,13,17,19,71,44,78,26,72,63,49,75,56,91,62,71,85,65,62,60,34,99,81,53,54,82,59,13,83,70,115,111,72,22,29,11,93,98,72,53
