node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,order_id,is_dynamic,dynamic_appear_time,transfer_capacity
0,98.59138858269728,35.44095670143326,0,0,1,0,480,0,-1,0.0,-1.0,
1,5.565890675716623,19.490016166584866,0,1,0,0,480,6,-1,0.0,-1.0,14.0
2,89.7851833814862,69.93791901477088,0,1,0,0,480,6,-1,0.0,-1.0,19.0
3,79.02008240385598,12.416820567279263,0,1,0,0,480,11,-1,0.0,-1.0,24.0
4,13.498698870750792,11.2246007544896,0,1,0,0,480,14,-1,0.0,-1.0,16.0
45,60.12944098995162,26.600270353976796,-3,0,0,121,214,6,1,,,
6,64.31517453797217,51.616636618325906,3,0,0,313,457,11,1,,,
24,73.88569348829111,62.16614583933278,-4,0,0,280,351,19,2,,,
7,54.43899118738537,19.543535839126825,4,0,0,26,171,6,2,,,
61,97.83844644587232,52.59335146728108,-4,0,0,117,251,17,3,,,
9,99.34722762576287,2.675890649272905,4,0,0,33,207,9,3,,,
75,17.30536877858835,81.15700780746833,-3,0,0,112,280,18,4,,,
10,5.0156540715862175,32.46474198916813,3,0,0,44,135,9,4,,,
12,47.19350137913282,1.7977331176192934,-2,0,0,196,326,15,5,,,
14,19.43584694494286,69.42545630195254,2,0,0,278,402,11,5,,,
16,13.379933799932264,45.550854903192494,-4,0,0,194,320,19,6,,,
15,78.53911750171771,85.03341994722832,4,0,0,69,223,10,6,,,
18,11.696038184614832,50.25002450183943,-4,0,0,282,420,8,7,,,
17,94.70814499038457,77.20835424443078,4,0,0,194,304,13,7,,,
26,92.56145840098307,51.48297815580215,-4,0,0,287,458,5,8,,,
19,92.23805818388388,44.003880552318584,4,0,0,200,285,10,8,,,
54,40.67668959916402,89.86872272774067,-3,0,0,296,414,11,9,,,
20,83.74176088409688,49.584372118855725,3,0,0,330,399,11,9,,,
80,75.28254699056728,27.4496443453197,-2,0,0,260,345,8,10,,,
21,10.681167724575369,14.785492605950735,2,0,0,282,443,6,10,,,
23,89.36140998704342,65.01980459432566,-3,0,0,125,187,6,11,,,
22,4.667575280817971,19.53147405755645,3,0,0,223,308,6,11,,,
78,11.430755388435632,14.358527013193424,-4,0,0,44,109,7,12,,,
28,38.39299883884766,85.41253148922391,4,0,0,233,345,9,12,,,
8,63.52460934539895,4.310053445833118,-3,0,0,234,297,16,13,,,
29,86.23440603168562,23.267021035779557,3,0,0,172,303,10,13,,,
51,69.39275814876244,38.183556489576254,-3,0,0,74,215,6,14,,,
30,9.48396923501621,97.56201157158642,3,0,0,21,92,5,14,,,
11,83.16253557695383,25.718921177674293,-4,0,0,50,145,17,15,,,
31,42.58968641355669,0.2220322010195508,4,0,0,304,379,13,15,,,
44,42.00462751309336,45.164102726773756,-2,0,0,43,211,10,16,,,
34,91.5170628945463,94.01358200548685,2,0,0,93,160,18,16,,,
48,20.683158106514533,82.60113504996211,-3,0,0,17,156,19,17,,,
37,80.03185685992503,41.71296891728799,3,0,0,211,373,12,17,,,
77,92.93680900023314,65.76356228668494,-3,0,0,349,437,17,18,,,
40,17.657720156498446,47.7351715524499,3,0,0,80,243,15,18,,,
59,85.59344323601495,65.21829541174655,-4,0,0,208,269,15,19,,,
41,39.558994087279956,48.617230612867104,4,0,0,297,474,12,19,,,
33,77.60882474480341,94.29421182236386,-3,0,0,20,81,9,20,,,
42,94.00265220310551,65.73889355635731,3,0,0,272,355,12,20,,,
74,40.905538131262546,10.851718721390814,-2,0,0,149,232,14,21,,,
43,29.03093818420006,17.2908712317845,2,0,0,60,127,16,21,,,
64,71.91893476094225,58.74328588843919,-2,0,0,13,102,11,22,,,
46,76.75092470968168,9.846024547938159,2,0,0,354,474,18,22,,,
