0,35,68,33,25,14,76,18,81,41,93,48,85,83,58,84,85,67,85,23,63,28,37,78,60,81,106,64,28,68,84,24,38,42,83,52,62,16,15,66,75,25,62,82,64,48,69,76,20,18,86,32,46,87,31,56,59,89,86,81,38,59,30,52,64,81,50,30,39,83,60,28,38,36,93,40,69,1,38,41,14,68,53,79,77
35,0,53,14,30,48,40,28,46,37,66,29,78,71,74,79,68,82,79,37,31,55,2,48,31,71,85,79,7,59,49,22,16,20,89,37,46,25,50,45,45,12,72,48,75,67,39,43,15,26,77,53,41,67,35,39,61,81,83,92,40,23,48,29,46,47,41,7,10,48,68,53,7,4,65,6,34,35,39,31,50,47,60,43,75
68,53,0,41,43,82,65,74,56,28,33,24,26,18,55,29,16,58,28,47,38,63,55,33,31,19,38,57,53,11,54,72,69,33,51,16,7,51,76,12,33,49,45,50,48,57,31,43,55,72,24,55,22,20,38,14,28,30,33,58,32,59,51,24,8,49,19,50,63,53,40,60,46,49,37,57,47,67,32,26,81,11,35,56,30
33,14,41,0,17,47,48,33,50,22,60,17,64,58,60,65,57,68,65,25,30,45,17,44,27,58,76,65,12,45,52,31,30,9,74,24,34,17,46,35,42,8,58,50,60,54,35,43,15,31,64,41,26,57,21,26,46,68,68,77,26,33,36,20,35,48,27,9,25,51,53,42,10,11,60,20,37,32,24,16,48,37,45,48,61
25,30,43,17,0,38,66,35,67,15,70,26,60,58,44,60,60,53,61,8,46,28,32,57,41,56,81,50,23,42,68,36,42,23,63,28,37,10,33,42,55,17,44,65,47,37,49,59,19,33,61,24,21,62,7,32,36,64,62,64,14,51,18,31,40,64,24,23,39,67,40,25,27,27,71,36,54,24,14,17,38,44,32,65,53
14,48,82,47,38,0,88,24,94,54,107,62,97,96,64,96,98,73,97,35,77,32,49,92,74,93,120,70,41,80,97,32,48,56,91,66,75,31,11,80,89,39,71,95,72,53,83,90,33,25,98,38,59,101,44,70,70,100,97,88,51,71,38,66,78,94,63,43,50,96,69,33,52,49,107,52,82,14,51,55,3,82,63,92,88
76,40,65,48,66,88,0,65,15,66,56,49,91,81,106,94,73,113,93,74,27,94,38,36,34,83,79,111,47,75,20,58,43,45,114,56,60,64,91,52,35,52,101,22,104,102,34,24,56,63,89,90,66,67,69,54,86,94,98,119,71,17,85,44,56,22,65,46,38,19,96,91,39,40,51,35,17,75,70,58,90,54,88,11,95
18,28,74,33,35,24,65,0,73,50,93,51,95,91,75,95,91,84,96,37,58,46,28,76,58,90,110,81,23,76,77,7,23,43,98,57,67,25,32,69,73,25,78,76,80,66,66,71,18,2,95,49,55,91,43,60,72,99,98,97,50,48,46,54,68,75,58,25,26,76,74,46,34,30,92,30,62,19,49,48,27,71,67,70,89
81,46,56,50,67,94,15,73,0,64,41,45,81,71,103,84,61,109,83,75,21,95,45,24,28,73,65,107,53,67,4,67,53,44,107,51,52,67,95,43,23,56,96,7,100,101,24,12,61,71,78,90,62,55,68,48,80,84,89,113,69,26,85,40,48,8,60,51,48,4,91,92,43,45,36,43,13,81,68,55,96,44,84,3,86
41,37,28,22,15,54,66,50,64,0,57,18,44,42,40,44,44,47,45,19,42,36,40,49,35,40,66,44,33,26,64,50,53,21,52,15,22,25,47,30,47,28,35,60,38,37,42,53,32,48,45,29,5,48,9,19,23,48,47,54,5,54,24,24,26,59,9,32,48,63,30,33,32,33,59,43,51,40,4,8,53,31,22,63,39
