0,2,45,25,76,27,69,55,48,79,41,63,9,38,85,35,60,53,50,41,65,78,12,24,26,82,68,65,35,73,83,102,61,63,33,96,83,70,77,90,80,76,18,64,60,89,51,81,78,19,42,63,23,32,72,50,58,42,27,68,61,16,24,68,86,33,30,78,41,81,99,31,93,35,50
2,0,46,28,78,28,70,54,50,78,42,61,11,38,87,36,61,54,51,40,64,78,15,26,27,82,68,63,37,74,83,102,60,62,33,97,84,69,76,89,80,74,20,64,61,89,52,81,80,21,43,63,25,35,73,51,59,41,26,68,63,17,24,68,86,35,31,78,43,82,99,33,94,34,52
45,46,0,31,33,26,29,48,17,76,19,72,47,22,42,10,18,10,21,34,58,65,38,21,19,42,53,74,15,31,63,70,51,67,31,63,38,78,63,63,56,84,46,45,16,61,13,60,39,52,19,42,21,30,28,8,28,52,52,32,16,56,34,50,50,11,15,56,21,36,64,25,54,43,6
25,28,31,0,55,32,60,64,25,92,39,80,21,39,64,20,49,41,47,48,75,86,13,13,16,73,75,83,16,62,88,100,70,78,41,93,68,87,85,90,82,94,16,68,47,89,42,85,55,22,41,66,15,6,58,39,55,58,48,62,45,29,36,73,81,24,23,81,17,64,95,7,85,48,34
76,78,33,55,0,59,36,75,30,102,49,102,75,54,8,41,31,31,46,65,83,86,66,51,50,43,76,104,40,33,80,75,77,95,63,66,23,107,85,75,71,113,72,67,26,71,37,77,10,78,49,64,53,51,25,32,48,83,85,44,19,84,67,71,55,44,48,73,38,16,67,48,52,75,27
27,28,26,32,59,0,43,31,39,60,14,50,34,10,68,22,35,30,23,16,42,54,29,19,17,55,43,52,27,47,57,74,37,46,8,69,60,56,52,62,53,63,39,37,36,61,26,55,65,43,15,36,17,37,48,27,31,28,25,40,41,44,8,42,58,16,13,51,37,59,71,32,66,18,32
69,70,29,60,36,43,0,44,44,67,29,71,74,33,41,40,11,19,20,40,50,50,66,49,46,12,40,74,45,5,44,42,44,64,43,34,21,75,49,39,34,81,74,33,15,35,18,41,46,80,28,30,49,60,11,21,16,58,66,8,21,84,50,36,22,37,40,36,50,25,35,55,24,52,29
55,54,48,64,75,31,44,0,65,29,28,27,64,26,82,50,44,44,29,15,11,23,60,51,48,50,14,29,56,49,29,54,6,20,23,52,65,31,22,39,29,37,70,14,48,39,38,28,84,73,28,16,48,68,54,44,27,18,34,36,55,72,31,16,45,43,42,27,66,68,54,63,56,21,53
48,50,17,25,30,39,44,65,0,94,36,88,46,39,38,16,33,26,39,51,75,83,37,24,24,55,71,90,12,44,81,86,69,83,46,78,45,94,81,80,73,100,41,63,28,78,30,78,30,48,37,60,26,21,38,24,46,67,63,48,24,54,46,68,66,22,25,74,8,40,80,18,67,57,15
79,78,76,92,102,60,67,29,94,0,58,21,89,55,108,79,70,72,56,44,18,19,87,79,77,69,26,21,85,72,30,58,25,16,51,60,88,17,20,43,38,19,96,34,75,46,66,32,111,99,57,37,77,97,78,72,53,36,53,59,82,95,57,31,59,72,71,35,95,92,62,92,71,44,81
