0,65,0,58,22,20,74,80,16,41,56,15,24,92,50,63,67,51,34,49,28,24,17,4,71,23,67,61,69,66,34,84,78,51,15,11,70,45,75,74,89,59,61,35,14,59,46,61,65,35,60,63,12,13,18,24,77,56,48,79,13,79,28,53,11,79,84,60,69,32,36,65,23,55,18,43,18,56,57,76,46
65,0,65,52,47,50,26,29,52,42,15,71,43,37,65,4,35,27,39,20,83,79,48,61,18,70,43,15,13,1,52,49,23,59,70,66,22,65,16,26,35,63,17,63,51,7,68,33,6,87,24,37,54,57,82,68,37,56,70,30,73,31,71,13,67,16,50,53,13,75,72,23,42,56,82,70,53,16,85,43,73
0,65,0,58,23,20,74,80,16,41,56,14,25,93,50,64,67,52,35,50,28,24,18,5,71,23,67,61,69,67,34,84,79,51,14,11,71,45,76,75,90,60,61,35,15,60,46,62,66,35,61,64,12,13,18,24,78,56,48,79,13,79,28,53,11,79,84,61,69,32,36,65,24,55,17,43,19,57,57,76,46
58,52,58,0,59,60,37,81,58,19,59,51,37,51,18,47,81,25,28,35,86,82,52,54,69,77,87,37,65,53,24,98,76,11,72,50,36,21,47,77,49,11,64,28,46,54,92,20,47,92,28,81,55,61,75,40,30,5,25,82,71,83,82,42,50,53,99,90,65,86,87,31,43,90,74,28,39,35,37,91,95
22,47,23,59,0,2,63,58,6,40,35,35,21,80,58,47,44,43,31,37,35,32,8,20,49,22,44,48,48,49,39,61,57,56,23,30,59,54,60,52,77,64,40,46,17,41,32,54,49,40,50,41,11,10,36,40,69,59,59,57,26,57,25,38,31,63,61,39,48,29,29,54,15,35,36,55,25,44,71,53,35
20,50,20,60,2,0,65,61,3,41,38,33,22,82,58,50,47,45,32,39,33,29,8,18,52,20,47,50,51,52,39,64,60,56,20,28,61,54,63,55,80,65,43,45,16,44,32,56,52,37,53,43,8,7,33,39,71,60,58,60,23,60,23,40,29,66,64,41,51,27,27,56,16,37,33,54,25,46,70,56,35
74,26,74,37,63,65,0,53,66,37,40,75,49,18,54,21,62,22,40,26,97,93,60,69,43,85,69,15,39,26,49,75,47,47,83,71,3,56,12,51,15,48,43,58,59,32,90,17,20,103,13,63,65,70,92,67,12,42,61,55,85,56,88,26,72,18,76,78,39,92,91,9,51,80,92,62,57,19,74,69,94
80,29,80,81,58,61,53,0,64,69,25,90,64,58,93,34,19,55,63,46,90,87,63,77,11,76,26,44,16,28,77,23,5,87,80,85,50,91,41,5,58,91,20,88,69,27,65,62,34,91,53,23,68,68,95,90,65,85,97,2,84,4,75,39,86,37,24,41,15,78,73,52,60,47,94,96,74,45,112,20,69
16,52,16,58,6,3,66,64,0,40,41,29,21,83,56,52,50,45,31,40,31,27,6,14,56,19,50,51,54,54,37,67,63,55,17,25,62,51,65,58,81,63,46,42,13,46,35,56,54,36,53,47,5,4,30,35,71,58,56,63,21,63,23,42,25,68,67,45,54,28,28,57,15,40,30,52,22,47,68,59,36
41,42,41,19,40,41,37,69,40,0,44,38,19,55,23,38,66,16,9,22,68,64,33,36,57,59,70,30,53,44,11,84,65,18,54,35,35,22,44,64,52,25,50,21,28,41,73,22,39,74,24,65,36,42,59,30,37,19,28,70,54,70,63,30,36,49,84,73,53,68,69,29,24,71,58,27,22,26,42,76,76
