0,22,95,42,43,69,24,37,51,41,6,55,22,17,16,67,40,77,31,74,29,80,27,63,45,44,16,42,79,27,78,30,27,42,27,85,40,54,56,58,19,50,17,44,87,31,51,63,18,50,74,36,22,52,57,32,45,61,18,77,25,46,36,79,30,29,35,58,29,35,72,28,5,69,32,61
22,0,96,60,65,48,34,58,35,22,29,67,40,35,27,52,49,59,27,57,13,77,39,84,62,64,34,22,76,25,82,34,5,31,49,84,59,35,46,36,40,46,40,60,88,9,30,69,30,27,80,51,37,72,54,49,39,72,8,68,47,65,32,77,13,38,35,47,21,18,51,27,20,55,33,41
95,96,0,73,96,93,71,87,72,85,92,53,80,110,78,65,57,78,122,70,84,21,68,93,69,81,110,85,22,118,19,65,100,68,97,13,80,83,56,93,108,50,95,66,7,91,88,33,113,97,26,67,75,83,41,75,57,46,88,43,87,79,127,20,84,66,128,56,116,81,94,69,99,61,126,88
42,60,73,0,23,95,27,14,70,69,35,20,20,49,33,80,23,94,73,88,57,68,24,28,4,8,49,70,66,69,53,35,65,58,27,69,7,79,64,86,43,52,30,7,67,64,79,40,56,82,47,11,22,14,51,10,52,28,52,77,19,7,77,65,59,26,76,66,71,61,97,41,47,79,73,87
43,65,96,23,0,108,40,10,85,80,36,43,28,41,43,97,44,111,69,106,67,91,40,22,27,15,41,81,89,65,77,51,70,74,17,92,16,92,82,98,34,71,25,30,90,72,91,63,50,91,70,31,34,18,72,25,70,51,59,98,19,18,73,88,69,43,69,84,70,73,111,55,47,98,67,100
69,48,93,95,108,0,68,99,25,27,74,92,79,83,65,27,75,19,69,24,40,71,71,123,95,101,83,27,70,69,88,60,46,36,94,79,97,15,38,12,88,50,85,91,86,38,17,81,78,22,90,84,74,109,58,86,46,93,51,50,88,102,73,73,39,68,77,38,63,34,2,54,67,31,77,8
24,34,71,27,40,68,0,31,45,42,20,33,12,39,8,56,16,70,54,65,30,58,4,54,28,32,38,43,57,50,54,10,40,33,31,63,29,52,42,59,36,32,25,25,64,37,52,39,42,54,50,17,6,41,36,17,30,38,26,60,22,33,59,57,32,5,59,44,50,34,71,14,28,57,56,60
37,58,87,14,10,99,31,0,76,72,30,35,19,39,34,87,34,101,66,96,59,81,30,26,18,9,39,72,79,62,68,41,64,64,15,83,7,83,72,89,32,61,21,21,81,65,82,54,48,83,61,21,25,16,62,14,60,42,51,88,11,12,70,78,60,33,67,74,66,64,102,45,42,88,64,91
51,35,72,70,85,25,45,76,0,14,54,66,56,68,43,16,49,26,62,22,23,51,46,99,70,77,67,15,50,61,65,35,37,11,73,59,73,11,16,21,71,26,65,66,65,26,15,57,65,24,66,59,50,85,34,62,20,68,34,35,66,77,67,52,23,43,70,16,55,16,27,30,51,20,69,17
41,22,85,69,80,27,42,72,14,0,46,70,52,56,37,31,51,37,48,35,13,64,45,96,70,75,56,0,63,46,75,35,22,17,66,72,71,13,29,17,60,35,57,67,77,12,10,64,52,13,75,58,47,83,44,59,28,73,23,50,61,76,52,65,11,43,56,30,41,7,30,28,40,34,55,19
