0,71,52,56,60,47,34,41,66,60,22,39,28,50,38,37,45,33,35,63,24,70,13,28,69,58,67,44,21,43,36,63,44,67,46,58,67,49,39,60,51,31,22,22,18,34,44,31,82,24,55,59,38,51,33,78,48,24,20,26,78,31,22,34,52,26,25,56,29,40,31,3,46,74,65,32,86,32,60,20,77,26,67,48,58,76
71,0,32,30,20,43,51,88,8,21,93,37,46,41,59,51,57,39,96,16,48,11,80,99,18,48,72,65,90,46,57,24,61,24,39,13,20,40,42,15,27,40,72,81,56,74,103,48,10,96,37,33,33,21,56,71,60,83,90,98,18,79,84,65,36,93,70,37,72,38,102,68,105,24,6,79,18,58,78,51,16,95,14,26,28,18
52,32,0,45,12,50,50,83,24,12,70,13,24,51,27,51,62,21,85,38,28,39,64,81,44,61,83,33,66,51,57,44,64,15,45,28,44,7,13,33,6,28,62,54,45,70,93,22,41,75,50,7,25,16,55,87,27,55,66,78,28,49,57,63,47,78,41,7,42,39,84,49,95,51,26,49,39,28,85,38,28,79,40,12,44,27
56,30,45,0,38,14,26,61,31,39,79,40,40,11,62,24,28,34,72,13,41,20,61,79,15,18,42,70,78,18,31,7,32,46,11,19,12,50,45,14,39,29,48,73,38,47,78,46,37,79,7,50,25,28,30,43,68,75,77,81,47,75,75,39,6,71,66,51,69,16,82,53,80,18,28,76,48,58,48,36,45,75,17,32,2,46
60,20,12,38,0,47,50,86,11,0,80,21,32,46,40,51,60,27,90,28,35,28,71,89,34,56,80,45,76,49,57,35,63,8,42,19,35,20,24,24,9,31,66,65,49,72,98,32,28,84,45,13,26,11,55,81,40,67,76,87,17,61,68,64,42,85,53,17,54,37,92,57,100,41,14,62,27,40,83,43,17,86,29,12,37,16
47,43,50,14,47,0,13,47,43,47,70,41,38,2,61,11,14,34,58,26,37,34,49,67,29,12,33,69,69,4,17,21,18,55,4,30,26,54,47,27,45,27,36,66,28,33,64,45,51,69,8,56,26,35,17,38,69,68,68,70,58,71,68,25,7,59,61,57,65,11,70,44,66,31,40,72,61,56,36,29,57,63,31,38,16,58
34,51,50,26,50,13,0,37,49,50,56,38,32,16,54,3,13,29,45,37,29,45,35,53,41,24,37,62,56,9,7,33,15,59,14,37,38,52,42,35,45,21,22,54,16,22,52,39,60,55,22,57,24,38,5,46,63,56,54,56,64,60,55,14,20,45,51,56,55,13,56,31,54,44,47,61,69,48,35,18,63,49,41,38,28,63
41,88,83,61,86,47,37,0,86,86,51,70,60,50,77,37,34,61,16,73,56,81,29,35,77,50,42,84,54,43,30,69,30,94,50,74,74,83,72,73,79,54,21,62,38,14,18,66,97,44,55,90,59,74,31,56,88,63,51,42,101,72,60,22,55,25,66,89,70,50,36,40,20,79,84,73,106,71,31,44,100,30,78,73,64,100
66,8,24,31,11,43,49,86,0,12,87,30,39,42,51,49,57,32,92,19,42,17,75,94,24,50,74,57,84,46,56,27,61,17,38,12,25,32,34,16,19,35,68,74,52,72,100,41,17,90,39,25,28,14,54,74,52,76,84,93,15,71,77,64,36,89,62,28,64,36,97,62,102,30,3,72,20,50,79,47,14,91,19,19,30,15
60,21,12,39,0,47,50,86,12,0,79,21,32,47,39,51,60,26,90,29,35,29,71,89,35,57,80,45,76,49,58,36,64,8,42,20,35,19,23,25,8,32,66,64,49,72,98,31,29,84,46,12,26,12,55,82,39,66,76,87,18,61,68,64,42,85,52,16,53,38,92,57,100,42,15,61,28,39,83,43,17,86,30,12,38,16
22,93,70,79,80,70,56,51,87,79,0,58,47,73,48,59,66,54,38,85,45,92,23,20,92,80,86,51,5,66,57,85,64,85,69,81,90,65,56,82,70,53,39,19,41,51,45,48,104,9,78,76,60,72,55,98,57,19,3,12,98,30,15,53,75,27,32,73,33,63,22,26,46,97,87,31,107,44,77,43,97,23,90,68,81,96
39,37,13,40,21,41,38,70,30,21,58,0,11,43,23,40,51,9,71,37,14,41,51,68,44,53,74,30,54,41,46,41,54,27,37,29,43,13,5,32,12,16,49,43,32,57,79,10,48,62,44,20,15,17,43,79,28,45,55,65,39,41,47,51,40,65,32,19,34,30,71,36,82,51,31,42,49,20,74,25,39,66,40,11,40,37
28,46,24,40,32,38,32,60,39,32,47,11,0,40,22,34,45,7,60,41,3,47,39,57,48,51,69,31,44,37,38,44,47,38,35,35,47,23,12,37,23,11,39,35,22,48,68,7,56,51,43,31,16,25,35,76,31,37,44,54,50,35,38,42,39,53,25,29,28,27,60,25,71,55,39,36,59,17,67,15,49,54,45,20,42,48
50,41,51,11,46,2,16,50,42,47,73,43,40,0,63,14,16,35,61,25,39,32,52,70,27,10,33,71,72,7,19,19,20,55,5,29,24,55,48,25,45,28,39,69,31,35,67,47,49,72,5,57,27,35,20,36,70,71,71,73,57,73,70,27,5,62,64,58,67,13,73,46,69,28,39,74,59,58,37,31,56,66,29,38,14,57
38,59,27,62,40,61,54,77,51,39,48,23,22,63,0,57,68,28,73,60,24,63,51,64,67,74,92,8,44,60,60,64,69,42,57,51,66,20,17,55,31,34,56,29,42,67,82,15,68,56,65,31,37,39,57,99,10,31,45,59,56,22,33,63,61,65,16,27,16,50,67,37,84,74,52,22,67,6,89,36,56,64,63,33,63,54
37,51,51,24,51,11,3,37,49,51,59,40,34,14,57,0,11,31,47,36,32,44,38,56,40,21,34,65,59,6,6,32,13,59,13,37,37,54,45,35,46,24,24,57,19,23,53,41,60,57,20,58,26,39,6,43,66,59,57,58,65,63,58,14,18,47,54,58,58,13,58,33,55,43,47,64,69,51,33,21,63,51,41,40,27,64
45,57,62,28,60,14,13,34,57,60,66,51,45,16,68,11,0,43,47,41,43,49,43,60,43,15,23,76,66,11,9,35,4,69,18,44,40,65,56,41,57,35,28,67,29,21,52,53,65,63,21,68,36,48,12,32,77,69,65,64,73,73,67,14,21,50,65,69,68,22,62,42,54,44,54,75,75,62,23,32,71,55,45,50,30,72
33,39,21,34,27,34,29,61,32,26,54,9,7,35,28,31,43,0,63,34,9,40,44,62,41,46,66,36,51,33,37,37,45,34,29,27,40,22,13,30,19,7,40,42,23,48,71,12,49,57,37,28,9,18,34,72,35,44,51,60,44,42,45,42,33,58,32,27,35,22,65,30,74,48,32,43,53,23,65,17,44,59,38,14,35,43
35,96,85,72,90,58,45,16,92,90,38,71,60,61,73,47,47,63,0,82,56,91,22,20,87,63,59,79,42,53,41,79,44,98,60,82,84,83,72,81,82,58,24,52,40,26,8,65,106,30,66,92,64,79,41,72,84,53,39,27,107,64,50,33,65,11,60,90,63,58,20,36,11,90,91,65,113,68,47,46,106,15,87,77,74,105
63,16,38,13,28,26,37,73,19,29,85,37,41,25,60,36,41,34,82,0,42,8,69,88,7,31,55,67,83,30,42,7,45,36,23,9,6,44,42,4,32,32,59,76,45,59,89,46,24,87,21,41,26,21,42,55,64,78,83,89,34,77,79,51,19,81,67,44,69,24,91,59,92,14,16,77,35,57,61,42,32,84,4,26,11,34
