0,69,51,98,107,36,80,80,75,48,12,33,67,31,92,73,111,78,54,48,28,43,85,85,22,29,73,91,47,47,46,87,78,63,48,16,26,72,34,69,49,81,31,53,80,19,62,21,61,10,94,48,54,25,61,47,43,47,113,0,46,66,60,58,75,22,83,89,71,71,75,87,51,19,73,99,33,11,13,17,84,89,62,79,75,23,69,32,37,102,52,28,25,42,33,66,72
69,0,18,57,73,87,65,98,96,51,56,62,69,60,54,108,72,42,78,24,69,29,78,98,46,88,92,69,40,75,35,42,41,80,79,53,52,102,45,68,97,81,38,67,110,88,104,48,7,60,54,26,54,55,20,35,26,78,76,68,39,35,60,92,75,79,34,47,10,102,42,78,85,88,78,78,90,79,66,51,83,65,21,58,97,51,54,37,48,61,17,62,47,36,42,82,71
51,18,0,62,76,70,60,87,84,39,38,45,59,44,57,94,77,43,65,9,53,14,72,88,29,70,80,68,28,61,23,47,42,68,65,35,35,88,28,60,80,74,20,55,97,70,88,31,10,42,58,16,43,38,20,22,8,63,80,51,26,32,50,78,66,61,40,51,21,88,41,73,70,70,69,77,72,61,48,33,76,63,19,55,85,34,48,19,33,66,2,45,30,21,27,70,63
98,57,62,0,16,94,31,72,74,52,90,71,48,71,6,93,15,20,69,57,80,59,41,68,84,101,70,24,51,72,52,15,21,64,75,84,72,84,64,45,97,49,76,59,91,117,96,85,59,88,4,78,48,74,77,51,66,74,18,99,52,32,47,84,47,95,23,10,47,86,23,40,80,111,52,29,100,110,88,84,48,21,43,25,75,92,33,70,61,3,64,75,89,56,87,63,45
107,73,76,16,0,98,30,67,70,59,100,77,48,78,19,90,7,33,70,70,86,71,36,62,95,105,66,19,61,74,63,31,34,63,77,95,81,81,73,45,98,44,89,62,87,125,95,96,75,97,19,92,54,82,93,62,79,77,6,108,62,45,50,83,44,101,39,26,63,84,35,34,81,118,49,18,104,118,96,95,43,20,57,28,71,104,38,82,70,13,78,81,101,67,100,62,44
36,87,70,94,98,0,67,50,45,43,43,26,49,26,88,38,103,77,29,62,17,57,66,57,51,9,44,79,50,23,53,87,77,38,21,42,35,39,42,52,13,60,55,35,45,40,26,49,80,35,90,74,46,31,87,54,62,21,104,36,50,68,47,24,55,14,87,88,84,36,74,69,20,29,52,84,6,40,26,44,63,77,72,70,44,55,60,51,39,97,72,25,57,51,63,41,54
80,65,60,31,30,67,0,42,43,31,75,48,18,49,26,62,36,25,39,52,56,50,13,38,72,75,39,12,37,43,41,33,26,33,46,69,54,53,47,15,67,19,67,31,60,96,65,72,63,70,28,76,25,54,80,40,60,46,37,80,38,29,20,53,16,71,39,30,55,55,24,13,50,89,21,19,73,90,67,70,19,10,44,7,44,80,12,59,43,32,63,52,78,44,79,32,14
80,98,87,72,67,50,42,0,5,48,82,49,29,51,68,24,74,65,26,77,51,73,31,7,84,60,7,49,59,33,64,74,66,19,31,78,62,15,62,30,43,23,83,32,19,90,33,83,94,74,70,99,44,60,108,64,83,32,74,81,60,64,37,26,26,62,79,72,90,18,63,33,30,79,21,49,56,88,67,79,24,51,76,49,6,92,46,76,56,73,89,54,91,65,96,16,28
75,96,84,74,70,45,43,5,0,45,77,45,28,47,69,20,77,65,21,75,47,71,33,12,80,55,4,51,56,28,61,75,66,16,26,73,58,11,58,30,37,25,80,29,17,84,28,79,91,69,71,96,41,56,105,62,80,27,76,76,57,63,36,21,27,57,79,73,89,14,63,36,25,74,22,52,51,83,62,75,27,52,75,50,1,88,46,73,53,75,87,49,87,62,92,13,29
48,51,39,52,59,43,31,48,45,0,43,18,22,19,45,57,63,34,27,29,28,25,38,50,41,49,41,43,11,25,16,44,34,29,29,38,22,50,16,23,49,37,38,16,59,65,53,41,46,38,47,51,6,23,59,16,35,28,65,49,12,24,13,41,30,43,43,45,45,51,30,40,35,59,31,50,48,59,36,38,40,40,31,30,46,50,20,30,11,55,41,22,48,17,50,31,27
12,56,38,90,100,43,75,82,77,43,0,32,64,30,83,79,103,69,55,36,31,32,81,86,9,39,74,86,39,49,37,77,69,63,51,5,21,76,27,66,56,79,18,51,84,31,68,8,49,8,85,35,49,21,48,38,30,50,106,12,38,57,55,62,72,30,73,80,59,75,67,83,54,32,72,94,43,22,17,5,82,82,51,73,77,12,63,20,31,93,39,27,13,33,21,66,69
33,62,45,71,77,26,48,49,45,18,32,0,33,2,64,50,82,52,23,37,9,32,51,54,34,30,42,60,24,17,27,62,52,31,20,28,13,46,17,36,35,48,35,19,54,48,43,34,55,24,66,53,23,11,64,28,39,19,83,33,24,42,27,33,41,24,61,63,58,45,49,54,25,41,40,66,30,43,20,29,51,57,45,48,45,42,38,29,13,74,48,4,42,25,46,34,39
67,69,59,48,48,49,18,29,28,22,64,33,0,35,42,46,54,37,21,50,40,47,17,29,63,58,24,29,32,26,37,46,37,16,28,59,43,37,39,3,49,15,60,14,45,81,48,63,65,58,44,73,16,42,80,37,57,28,55,67,33,35,9,35,8,55,50,45,61,39,34,20,32,73,9,34,56,77,53,60,18,28,47,23,29,72,17,53,33,50,62,38,70,39,73,16,5
31,60,44,71,78,26,49,51,47,19,30,2,35,0,65,52,83,53,25,36,9,31,53,56,32,30,44,61,23,19,26,62,53,33,22,26,11,48,15,38,36,50,33,21,56,47,44,32,54,23,67,51,24,9,63,27,37,21,84,32,23,42,28,35,43,23,61,64,58,47,49,55,27,40,42,68,30,41,18,27,53,58,45,49,47,40,39,27,13,74,46,3,40,24,44,36,41
92,54,57,6,19,88,26,68,69,45,83,64,42,65,0,88,20,14,63,51,74,53,37,64,78,94,65,21,44,65,46,11,14,58,69,78,66,79,57,40,91,44,70,53,87,110,90,79,55,81,2,73,42,67,73,45,60,68,23,92,45,26,40,78,42,89,20,6,43,81,16,36,74,105,47,28,93,103,81,78,44,18,37,19,70,86,27,64,55,9,58,68,83,50,81,58,40
73,108,94,93,90,38,62,24,20,57,79,50,46,52,88,0,97,83,30,85,47,80,53,31,84,47,23,71,68,33,72,92,83,30,29,76,63,9,66,48,26,46,85,41,7,78,13,83,103,70,90,103,55,60,114,73,88,31,97,74,68,79,51,17,46,52,96,91,102,6,80,56,24,67,41,72,43,78,61,78,47,72,88,68,18,90,63,79,61,95,97,53,91,72,96,30,47
111,72,77,15,7,103,36,74,77,63,103,82,54,83,20,97,0,34,76,72,91,73,43,69,98,111,73,25,64,80,66,30,35,70,83,98,85,88,77,51,104,51,91,68,94,129,102,99,74,101,19,93,59,86,92,65,80,83,3,111,65,47,56,90,51,106,38,25,62,90,37,41,87,123,56,25,109,122,100,98,50,26,58,33,78,106,43,84,74,11,79,86,103,70,102,69,51
