0,52,11,14,78,67,25,6,69,54,113,37,66,86,102,101,79,49,10,74,85,5,75,108,56,53,54,71,82,46,93,13,46,92,92,63,91,102,116,88,71,64,55,52,68,86,94,69,70,64,76,42,70,62,97,17,90,88,11,43,84,61,96,71,84,76,100,106,97,17,73,25,41,67,108,6,24,29,22,64,72,29,81,43,104,86,102,110,46
52,0,43,39,72,33,32,57,87,15,101,55,14,99,80,82,70,80,56,104,50,52,72,83,25,56,82,64,99,61,88,39,61,63,73,19,58,87,93,92,22,73,3,23,50,100,72,27,80,95,33,63,48,90,97,39,62,81,54,64,78,65,67,50,63,28,84,81,68,43,35,38,16,62,87,56,47,40,57,88,25,53,108,57,90,48,95,93,6
11,43,0,3,68,55,14,14,63,43,103,29,57,80,91,90,69,46,13,72,74,14,65,96,45,44,51,61,77,38,84,9,38,80,81,52,79,91,105,80,60,56,46,40,57,80,83,57,63,62,65,36,59,59,88,16,79,79,11,36,74,52,85,60,73,66,89,95,86,7,62,13,30,57,97,13,15,19,18,59,61,22,78,35,94,75,92,99,37
14,39,3,0,68,52,11,18,65,39,103,30,53,81,90,89,69,49,17,75,71,16,65,95,42,44,53,61,78,40,84,7,39,78,80,49,77,90,103,81,57,57,42,37,55,81,82,54,64,65,62,37,57,62,89,14,77,78,15,38,74,52,83,58,72,62,88,94,84,8,59,12,27,56,96,17,16,18,21,62,57,24,81,36,93,72,92,98,33
78,72,68,68,0,43,59,75,34,57,35,41,72,34,31,27,4,52,70,57,44,82,3,38,48,24,46,7,39,34,16,75,34,35,22,59,41,25,42,22,66,20,71,49,23,36,27,53,22,56,56,39,28,49,25,81,35,10,68,39,6,17,38,26,22,66,24,38,38,61,49,55,59,11,35,74,53,49,58,43,61,49,57,35,27,48,25,33,68
67,33,55,52,43,0,41,69,68,18,67,47,29,75,47,49,41,72,65,90,19,69,44,49,11,38,70,36,78,49,58,57,48,30,40,16,25,54,59,65,22,52,31,15,20,77,38,10,58,84,14,53,15,78,69,60,28,50,62,53,48,43,34,18,30,22,51,47,35,50,7,43,29,36,53,67,48,40,59,73,17,51,92,46,57,19,64,59,32
25,32,14,11,59,41,0,28,62,29,94,26,44,76,79,79,60,50,25,75,60,28,57,84,31,36,53,52,75,35,76,16,35,67,70,39,65,81,93,74,47,52,34,26,45,77,71,43,58,65,51,35,46,61,82,22,66,70,23,36,65,45,72,47,61,52,79,83,73,11,48,7,17,48,86,27,15,11,25,60,47,23,80,31,84,61,84,89,25
6,57,14,18,75,69,28,0,64,57,111,34,71,81,101,100,78,43,5,68,87,11,73,107,59,51,49,70,77,43,91,19,43,92,91,67,92,100,115,85,75,61,60,54,68,81,94,71,66,58,79,38,71,56,93,24,91,86,7,39,81,59,97,71,84,80,98,106,98,18,76,26,45,65,108,1,22,29,18,58,75,26,75,40,102,88,99,108,51
69,87,63,65,34,68,62,64,0,74,61,35,92,17,64,59,39,25,59,23,75,74,30,71,67,31,17,36,13,26,38,72,26,68,56,80,73,55,74,25,88,15,87,66,49,16,61,77,11,23,82,27,56,17,34,79,68,40,58,26,35,24,72,54,56,90,56,72,72,57,75,55,71,33,67,63,48,50,46,10,85,41,24,30,56,79,45,63,81
54,15,43,39,57,18,29,57,74,0,85,45,18,85,65,67,55,72,55,93,37,55,57,68,9,43,72,49,86,50,73,42,50,49,58,9,44,72,78,77,17,60,14,8,35,87,57,15,67,85,22,53,32,80,82,44,47,65,52,54,63,51,53,34,48,22,68,66,53,40,22,33,12,47,72,56,41,33,52,77,17,46,97,46,74,36,80,77,13
