0,69,64,39,34,37,43,68,66,50,17,69,13,34,90,61,70,27,88,32,30,84,69,25,58,57,101,61,69,106,99,62,24,59,10,65,64,67,62,51,42,37,34,31,59,60,89,97,23,21,63,57,64,8,62,24,48,47,7,21,56,100,51,18,66,75,79,72,18,77,91,37,48,69,49,55,80,51,21,47,6,97,16
69,0,76,39,36,33,34,31,20,19,51,13,77,44,31,68,91,46,48,38,44,31,8,43,11,30,58,13,8,65,47,27,93,27,73,57,23,4,86,71,33,32,60,40,50,77,31,59,81,49,10,22,18,65,71,73,72,23,61,90,59,53,62,51,8,20,51,57,60,91,75,37,76,4,81,14,95,22,89,70,74,45,62
64,76,0,80,69,54,46,49,90,69,63,87,58,43,72,8,15,73,53,69,74,64,70,59,68,90,61,80,83,63,70,92,74,89,57,21,54,79,14,12,78,62,30,53,26,5,71,54,50,68,79,84,59,57,4,42,16,72,62,80,17,65,16,64,68,95,40,27,47,15,33,76,18,80,21,65,19,56,78,17,62,68,49
39,39,80,0,11,27,36,55,28,22,23,33,51,36,68,73,91,11,78,11,9,65,43,22,31,18,90,27,36,96,82,23,62,20,47,69,48,35,84,69,6,19,51,26,61,78,68,88,59,17,30,20,44,39,76,55,68,16,32,56,65,86,64,22,41,37,74,73,41,95,94,4,70,37,74,30,99,33,56,66,46,80,41
34,36,69,11,0,16,26,47,32,17,16,35,44,25,63,62,80,9,69,1,8,59,39,11,26,25,81,27,36,88,76,30,58,26,40,58,40,34,73,58,10,8,41,15,50,67,62,80,51,12,29,23,37,31,64,45,57,13,26,54,53,78,52,15,36,41,64,62,31,84,83,6,59,36,63,24,88,25,53,55,40,73,32
37,33,54,27,16,0,9,32,38,17,21,38,44,12,52,46,66,24,54,17,23,47,32,13,22,36,67,30,36,73,63,39,61,36,40,42,27,33,60,44,24,8,29,6,34,52,52,64,47,23,30,31,26,32,49,39,44,18,30,59,37,64,37,22,29,45,48,46,26,69,67,23,47,35,52,19,73,13,58,42,41,60,28
43,34,46,36,26,9,0,24,44,23,30,42,48,10,47,38,59,33,46,27,33,40,30,21,24,44,58,34,39,64,56,46,65,43,44,32,21,35,53,38,33,17,25,14,24,45,46,55,49,32,34,38,22,36,41,39,38,26,36,65,29,56,30,30,28,50,39,36,28,61,57,32,42,37,47,20,65,11,64,36,46,53,31
68,31,49,55,47,32,24,0,49,34,54,44,72,34,25,41,65,56,22,48,55,17,23,45,28,55,34,40,39,41,31,54,90,53,67,28,7,35,61,47,50,38,44,38,22,51,24,33,71,56,37,48,13,61,44,61,49,39,61,90,33,32,38,55,22,51,20,26,52,63,44,52,54,35,60,26,67,22,89,48,70,28,55
66,20,90,28,32,38,44,49,0,21,49,7,77,50,51,81,104,39,68,34,36,51,27,43,22,12,78,9,12,85,67,7,90,9,73,73,41,15,98,82,23,32,67,43,65,89,51,79,83,44,11,8,35,64,85,76,82,20,58,85,72,73,74,47,27,8,70,73,62,105,93,29,86,16,90,24,109,33,85,80,72,65,64
50,19,69,22,17,17,23,34,21,0,32,21,59,29,46,61,82,26,56,19,25,43,21,24,9,22,68,13,20,74,60,23,74,20,54,54,27,17,76,60,16,13,46,22,45,68,46,67,63,30,13,15,22,46,64,56,60,5,42,71,51,64,53,31,19,28,54,55,42,84,76,19,64,19,69,8,88,14,70,59,55,58,44
17,51,63,23,16,21,30,54,49,32,0,52,28,22,74,57,72,12,76,14,14,69,52,8,40,41,88,43,52,94,85,46,41,42,24,57,49,50,64,51,26,19,32,15,50,60,74,85,35,6,45,40,48,15,59,31,48,29,9,38,50,86,47,1,49,57,68,63,18,77,83,20,50,51,52,38,81,34,38,47,23,82,18
69,13,87,33,35,38,42,44,7,21,52,0,79,50,43,79,102,43,62,37,40,44,21,45,18,19,72,8,5,78,60,15,93,16,75,69,36,9,96,80,28,34,67,43,61,87,44,73,84,48,8,13,30,66,82,77,80,22,61,89,69,66,72,51,21,7,64,69,64,102,88,34,84,9,89,21,106,31,89,79,75,58,65
