0,22,65,32,64,13,56,22,64,72,69,70,30,37,27,25,14,13,85,69,56,20,25,20,67,45,29,84,71,40,61,82,56,57,61,39,32,26,52,12,72,11,13,20,21,64,31,53,24,60,56,32,25,25,53,37,44,11,68,16,86,98,10,56,70,71,74,68,71,24,65,66,37,63,33,49,73,30,42,63,77,17,14
22,0,66,51,81,34,75,21,78,92,79,93,41,58,50,48,23,10,107,90,72,7,17,42,84,66,22,105,92,63,83,104,73,71,71,57,53,4,73,34,92,20,34,25,29,85,17,73,46,77,78,48,44,42,75,60,66,34,91,19,106,119,22,59,87,93,96,90,81,45,86,82,58,84,56,62,93,20,64,86,99,21,9
65,66,0,92,54,75,60,84,45,124,29,104,95,65,78,73,51,69,94,118,47,72,49,75,57,99,44,89,117,83,105,100,52,40,25,99,64,64,98,67,76,55,73,84,44,75,83,108,64,55,82,96,55,88,86,77,86,69,96,50,91,97,75,10,62,97,92,115,29,81,78,51,64,110,80,33,77,86,88,96,95,49,68
32,51,92,0,71,18,59,37,75,41,87,49,18,38,17,21,44,41,76,40,66,45,57,16,73,16,61,77,42,25,35,68,63,71,81,7,34,55,26,24,69,42,19,29,49,60,51,22,29,66,45,9,38,9,38,27,26,23,52,48,78,92,28,82,74,55,62,40,90,10,59,75,38,35,20,67,70,46,21,46,65,49,41
64,81,54,71,0,63,13,87,9,87,28,58,84,33,54,50,57,76,39,79,9,82,69,57,3,68,67,35,76,49,65,46,8,14,29,76,37,82,62,56,21,60,62,82,52,23,95,76,43,4,37,79,39,73,43,45,51,58,47,62,36,43,73,46,8,47,39,75,31,62,27,5,33,71,51,24,22,94,55,50,42,60,76
13,34,75,18,63,0,53,26,65,58,74,59,21,32,16,16,26,24,79,56,57,30,39,8,66,32,43,78,57,29,48,73,55,60,67,25,27,39,39,8,67,24,1,20,31,59,39,40,20,59,47,20,25,12,43,28,32,6,59,29,79,93,14,65,68,61,66,55,77,10,58,67,32,50,22,54,68,36,29,53,69,30,25
56,75,60,59,13,53,0,78,20,75,39,46,73,21,42,38,51,69,35,66,13,75,65,46,14,55,64,32,64,37,52,39,8,21,37,64,26,77,49,46,17,54,52,73,48,14,87,63,33,8,24,68,31,62,30,32,38,48,36,57,33,44,64,51,14,37,31,62,41,50,17,18,21,58,39,27,19,86,42,38,34,55,69
22,21,84,37,87,26,78,0,86,76,91,84,22,58,42,43,34,14,105,77,79,13,36,35,90,53,41,104,79,56,72,100,78,80,83,41,53,25,62,31,93,30,27,7,41,85,14,59,45,83,74,31,47,27,69,54,58,30,85,33,106,119,13,76,92,88,92,77,93,35,85,89,57,72,49,72,94,9,55,79,96,34,15
64,78,45,75,9,65,20,86,0,95,18,67,87,38,58,53,55,75,49,87,9,81,65,60,11,74,63,44,84,55,73,56,12,7,19,81,40,79,69,57,31,59,64,83,49,32,93,82,46,12,45,83,40,76,51,50,57,59,56,59,46,52,74,37,17,57,49,83,21,65,36,6,37,79,56,17,32,93,61,58,52,57,75
72,92,124,41,87,58,75,76,95,0,112,35,54,60,48,52,83,82,72,9,86,86,98,53,88,27,101,75,13,41,22,60,82,94,107,35,60,97,26,62,74,82,59,69,87,68,91,18,60,83,50,45,69,50,44,47,38,62,46,87,76,89,69,114,86,48,58,14,115,48,64,93,60,16,45,94,75,85,36,40,59,88,83
