0,42,17,41,25,27,27,30,32,49,52,26,63,51,52,52,62,19,88,33,44,50,57,17,14,17,18,38,49,49,66,11,40,58,64,18,20,11,10,72,64,15,46,18,42,63,63,32,20,29,34,28,27,42,11,67,51,26,60,52,46,33,49,39,45,39,76,33,36,42,50,38,60,38,12,24,70,35,82,48,60,58,67,57,43,68,51,68
42,0,59,76,19,17,25,30,73,74,82,68,23,67,22,66,91,53,73,75,38,71,17,47,47,43,60,22,78,83,96,53,79,49,95,49,61,30,49,55,65,41,24,27,61,28,29,53,48,69,64,68,64,65,48,33,46,59,92,56,78,9,8,35,78,4,53,45,62,31,21,34,48,73,42,36,49,45,68,47,35,49,65,78,34,59,87,27
17,59,0,29,42,44,44,46,17,44,44,9,81,50,67,53,53,23,97,15,55,47,74,20,19,28,3,55,41,37,56,6,23,67,54,20,10,29,15,83,69,24,63,35,42,81,79,34,28,13,29,12,22,40,18,83,61,26,48,58,36,51,66,50,34,57,89,39,33,55,68,49,71,28,24,35,83,42,91,57,74,68,72,52,55,76,37,86
41,76,29,0,57,59,68,71,37,21,16,30,100,33,76,37,24,52,89,27,55,27,86,28,29,56,32,78,14,8,27,31,13,63,24,27,39,49,43,79,56,34,87,59,29,102,87,27,56,16,14,17,50,24,46,90,57,55,19,49,8,70,81,52,6,72,88,37,19,59,90,52,68,3,51,42,82,40,84,53,78,63,61,29,57,69,10,103
25,19,42,57,0,2,22,29,57,56,63,51,42,51,27,51,72,40,71,57,28,54,32,28,28,32,43,28,59,64,77,35,61,42,76,30,45,14,33,53,54,22,35,17,44,45,38,35,37,51,45,49,51,47,34,42,37,47,73,43,59,14,24,24,59,15,55,29,44,23,35,22,43,54,29,18,49,29,65,36,38,42,56,61,25,53,68,46
27,17,44,59,2,0,22,29,59,58,65,53,40,52,25,51,74,42,70,59,28,55,30,30,30,34,45,27,61,66,79,37,63,41,78,32,47,16,35,52,54,24,34,18,45,44,36,37,39,53,47,51,52,48,35,40,37,49,75,44,61,13,22,24,61,13,54,30,45,22,34,22,42,56,31,19,48,30,64,36,36,42,56,62,24,52,70,44
27,25,44,68,22,22,0,6,54,73,78,51,40,71,44,71,88,30,92,58,51,72,42,41,39,20,43,11,74,76,92,38,67,64,91,42,42,19,29,75,77,36,19,9,63,38,54,53,24,56,60,55,42,65,27,57,59,35,86,65,72,15,33,46,71,25,75,49,60,45,24,45,65,65,21,38,70,50,87,58,57,65,78,79,47,75,78,46
30,30,46,71,29,29,6,0,54,78,83,52,43,76,51,77,92,29,99,59,58,78,48,46,43,19,44,12,79,80,96,40,69,71,95,47,42,24,30,81,83,41,18,14,68,39,60,59,22,59,64,57,40,70,28,63,66,33,90,72,77,21,39,53,75,31,82,55,65,52,24,51,72,69,21,44,76,57,94,65,64,71,85,85,54,82,82,49
32,73,17,37,57,59,54,54,0,57,54,8,94,65,84,68,62,25,114,11,72,61,89,38,36,34,15,65,51,45,64,23,26,85,61,38,12,43,25,100,85,41,73,47,58,92,95,50,32,21,43,21,16,55,26,99,78,24,55,75,46,65,81,68,43,71,106,56,48,72,78,66,88,38,33,53,100,60,109,74,91,85,89,65,72,93,42,99
49,74,44,21,56,58,73,78,57,0,10,49,97,13,67,17,16,66,70,47,43,6,80,32,35,67,48,83,8,20,22,44,35,47,22,31,55,54,56,62,36,37,90,64,14,102,77,20,69,35,15,36,67,9,59,80,42,71,21,32,14,71,76,42,16,70,72,28,13,49,92,43,52,20,62,38,67,30,65,38,66,48,41,8,47,51,26,99
