0,68,69,60,51,7,34,38,51,38,23,43,30,53,68,39,8,44,38,24,48,53,17,55,13,80,70,64,10,40,19,35,41,51,12,60,13,36,48,43,73,18,52,49,54,21,65,26,41,35,69,53,40,7,70,20,44,9,47,38,7,46,54,66,68,13,31,54,71,53,18,56,8,69,50,57,55,57,85,22,68,34,58,17
68,0,28,20,78,66,34,33,33,39,73,60,89,57,2,46,72,61,74,73,81,23,81,14,79,15,24,41,75,42,67,70,54,87,79,41,58,58,58,78,30,59,78,73,43,79,5,42,80,42,73,60,39,71,30,88,44,60,46,31,64,78,27,29,13,59,64,22,49,18,76,44,71,33,60,17,42,78,23,90,63,42,48,52
69,28,0,11,95,64,42,48,18,55,82,43,96,35,26,33,75,43,88,82,97,16,85,22,82,41,52,67,71,30,60,57,71,102,76,17,64,73,39,93,58,67,58,54,22,86,23,42,94,34,48,38,56,69,58,88,28,63,66,33,63,60,14,2,41,56,52,16,21,20,70,22,69,61,80,40,65,97,50,91,36,56,72,58
60,20,11,0,84,57,31,36,14,44,72,42,87,37,18,30,66,43,78,72,86,7,77,10,74,34,42,56,65,25,54,54,60,91,69,21,54,62,39,82,48,57,59,55,23,76,14,34,83,28,53,40,45,62,48,81,26,54,55,23,55,60,8,10,32,49,49,6,29,9,64,24,62,51,69,30,54,86,44,83,42,45,61,48
51,78,95,84,0,57,54,47,83,40,28,89,35,97,80,79,44,90,13,27,5,79,42,74,46,82,64,45,61,78,69,84,24,10,60,96,41,22,92,9,62,35,101,97,91,35,79,59,12,71,115,97,39,58,59,55,82,45,32,64,56,96,82,94,70,60,80,79,107,75,69,93,58,56,19,61,38,7,81,53,111,39,35,44
7,66,64,57,57,0,33,39,46,40,30,35,38,46,66,33,16,37,45,31,55,50,24,53,19,79,71,66,8,34,11,27,46,58,12,54,17,41,41,50,74,23,44,41,48,28,62,23,48,30,61,46,42,5,71,24,38,13,51,35,1,39,49,61,68,7,23,51,64,50,13,50,5,71,55,57,58,63,84,27,61,37,62,20
34,34,42,31,54,33,0,10,29,16,40,42,56,46,35,28,37,44,46,40,55,25,47,23,45,46,39,39,41,26,36,46,31,60,45,41,24,31,43,51,42,25,59,54,38,46,31,12,52,20,65,47,18,37,40,54,30,25,29,10,31,56,28,40,35,27,39,26,53,22,44,40,38,41,41,24,33,56,51,55,58,15,39,18
38,33,48,36,47,39,10,0,37,7,39,52,56,56,35,39,40,54,41,39,50,31,49,27,48,43,32,29,48,36,45,55,23,55,51,50,27,25,54,46,34,25,69,64,47,46,32,21,47,31,75,58,9,44,31,57,40,29,20,19,37,66,35,46,30,35,49,32,61,27,52,49,44,32,32,19,23,49,46,58,68,8,29,21
51,33,18,14,83,46,29,37,0,44,66,27,80,24,32,15,58,28,74,66,84,10,68,19,64,48,53,62,53,12,41,40,60,89,58,12,48,60,24,79,58,51,44,40,11,69,27,26,80,16,41,26,46,50,57,70,11,46,57,18,45,45,6,15,43,38,34,11,24,16,52,12,51,59,70,38,58,86,57,73,32,44,65,42
38,39,55,44,40,40,16,7,44,0,34,58,51,63,41,45,38,59,35,34,43,39,46,34,46,47,33,26,48,42,48,59,16,48,51,57,25,18,59,39,35,22,74,69,54,42,39,26,41,37,81,64,2,44,31,56,46,28,13,26,38,71,43,54,34,37,53,39,68,34,53,56,45,31,25,23,18,41,49,56,75,3,23,20
23,73,82,72,28,30,40,39,66,34,0,65,17,74,74,58,16,66,15,0,25,65,15,64,19,82,67,54,33,58,42,58,27,27,32,77,18,20,69,19,67,14,75,72,72,9,71,40,17,51,91,74,35,30,64,28,62,21,37,49,30,70,67,80,68,35,54,66,89,63,41,74,31,63,32,58,45,35,83,27,89,31,46,23
43,60,43,42,89,35,42,52,27,58,65,0,74,12,59,14,51,1,77,65,88,37,60,46,55,75,77,81,39,18,25,14,70,91,43,27,47,68,6,82,82,53,17,13,21,64,55,31,82,22,26,10,60,38,80,57,16,44,71,35,35,17,34,40,69,29,13,38,34,42,34,21,38,81,81,61,75,93,84,60,26,56,81,45
30,89,96,87,35,38,56,56,80,51,17,74,0,84,90,69,22,75,24,16,30,80,13,80,18,99,84,70,36,70,49,64,43,30,33,90,32,37,79,26,84,30,81,78,84,10,88,54,23,64,100,84,52,35,81,22,74,33,53,64,38,75,82,94,85,44,61,81,101,78,44,86,35,79,46,75,61,43,100,19,99,48,61,38
53,57,35,37,97,46,46,56,24,63,74,12,84,0,56,18,62,11,86,75,97,34,71,43,66,72,77,84,51,20,37,26,77,100,55,18,56,75,5,91,82,62,22,19,14,75,51,37,91,26,18,2,65,50,80,69,16,53,76,37,46,25,30,33,67,40,25,35,22,40,46,13,50,83,87,61,79,101,81,72,14,61,85,53
68,2,26,18,80,66,35,35,32,41,74,59,90,56,0,46,73,60,76,74,83,22,82,14,80,16,26,44,75,41,67,70,56,88,79,39,59,59,57,80,32,60,77,72,42,80,4,43,82,41,71,58,41,71,32,89,43,60,48,31,65,77,26,27,15,59,64,20,46,17,76,43,72,36,62,19,44,80,25,90,61,43,51,53
39,46,33,30,79,33,28,39,15,45,58,14,69,18,46,0,47,15,69,58,79,24,57,32,52,62,62,67,39,4,26,24,59,83,44,21,39,57,14,74,67,44,32,27,15,59,41,19,73,8,36,19,47,37,65,57,5,37,58,20,32,31,21,30,54,25,19,25,31,28,36,17,37,67,69,46,62,83,69,60,31,43,68,35
8,72,75,66,44,16,37,40,58,38,16,51,22,62,73,47,0,53,30,16,41,60,10,60,7,83,72,62,17,48,27,43,38,43,16,68,13,31,56,35,73,16,60,57,62,12,69,32,33,42,78,62,40,14,70,17,51,12,45,43,15,55,61,73,71,22,40,60,79,59,25,64,15,69,45,59,53,50,87,18,77,35,56,20
44,61,43,43,90,37,44,54,28,59,66,1,75,11,60,15,53,0,79,67,90,38,62,47,57,76,78,83,40,20,27,15,72,93,45,27,49,70,5,84,83,55,16,12,21,66,56,33,83,23,24,9,62,40,81,59,17,45,73,36,37,17,34,40,70,31,14,39,33,43,35,21,40,83,82,62,77,95,85,62,24,58,83,46
38,74,88,78,13,45,46,41,74,35,15,77,24,86,76,69,30,79,0,14,10,72,29,68,33,81,64,47,48,68,56,72,22,14,47,87,30,16,81,5,63,24,89,85,82,22,74,49,5,61,103,86,35,45,60,42,72,33,32,56,44,84,75,86,68,48,67,72,98,68,56,84,45,58,22,58,39,20,81,40,100,33,38,33
24,73,82,72,27,31,40,39,66,34,0,65,16,75,74,58,16,67,14,0,24,65,16,64,19,82,67,54,33,58,43,59,27,27,32,78,19,20,70,19,67,15,76,72,72,9,71,40,17,52,92,75,35,30,64,28,62,21,37,49,30,70,68,80,69,35,54,66,89,63,41,74,31,63,32,58,45,34,83,27,89,31,46,24
48,81,97,86,5,55,55,50,84,43,25,88,30,97,83,79,41,90,10,24,0,81,38,77,43,87,68,50,58,78,67,83,27,5,57,97,40,24,92,5,67,35,100,96,92,31,82,60,8,72,114,97,42,55,63,51,82,44,36,65,54,95,84,96,74,59,78,81,108,77,66,94,56,61,23,65,43,13,85,49,111,41,40,43
53,23,16,7,79,50,25,31,10,39,65,37,80,34,22,24,60,38,72,65,81,0,70,9,67,38,43,54,58,19,47,48,55,85,62,20,48,56,35,76,48,50,55,50,21,70,17,27,77,21,51,36,40,55,47,74,20,47,51,16,48,55,4,14,33,42,43,1,30,6,57,22,55,50,64,28,51,81,46,76,41,40,58,41
17,81,85,77,42,24,47,49,68,46,15,60,13,71,82,57,10,62,29,16,38,70,0,70,5,92,79,68,22,58,35,50,42,39,20,78,22,36,65,33,81,23,68,65,72,7,79,43,30,52,86,71,47,21,77,12,61,22,51,53,24,62,71,83,79,31,48,71,89,69,30,74,22,76,48,68,59,50,95,11,86,42,61,29
55,14,22,10,74,53,23,27,19,34,64,46,80,43,14,32,60,47,68,64,77,9,70,0,68,30,33,45,61,27,52,55,50,82,65,30,47,52,44,73,39,49,63,59,30,69,10,29,74,27,60,46,35,58,38,76,29,48,44,17,51,63,14,21,23,45,49,8,39,3,62,31,58,41,58,19,43,75,38,78,51,35,50,41
13,79,82,74,46,19,45,48,64,46,19,55,18,66,80,52,7,57,33,19,43,67,5,68,0,91,79,69,17,54,30,45,44,44,14,74,21,38,61,38,81,23,62,59,67,12,77,39,35,48,81,66,47,16,77,10,57,19,52,50,20,56,67,79,78,27,43,68,84,66,25,69,17,77,51,67,60,54,94,10,81,42,62,27
80,15,41,34,82,79,46,43,48,47,82,75,99,72,16,62,83,76,81,82,87,38,92,30,91,0,19,40,88,57,81,85,59,92,92,56,70,64,73,84,24,69,93,88,58,89,20,56,87,56,88,75,47,84,26,100,59,71,50,45,77,93,42,42,13,73,79,37,62,33,90,59,84,30,64,24,44,80,9,101,77,50,49,63
