0,73,55,75,18,58,85,74,10,78,12,60,27,42,18,80,68,13,64,111,69,91,47,90,52,114,93,20,58,55,73,93,39,50,42,60,73,76,95,29,37,54,27,74,24,113,91,67,44,100,71,65,94,91,88,73,52,61,49,63,46,62,76,73,86,79,19,82,20,43,49,90,72,98,85,72,60
73,0,71,20,69,52,16,92,72,33,70,15,54,41,55,51,7,65,19,62,19,45,37,30,29,62,57,76,73,25,54,26,59,30,44,14,21,26,57,48,76,25,71,44,49,68,22,20,37,37,66,34,63,23,71,16,70,18,71,27,27,65,26,89,20,7,69,48,52,70,31,74,1,62,87,77,91
55,71,0,57,37,19,71,23,64,50,65,68,34,33,45,39,71,61,77,71,54,56,35,65,72,76,50,38,2,72,29,97,19,41,30,57,55,90,53,63,21,71,29,37,50,71,93,80,37,75,19,39,48,74,37,58,3,73,7,81,57,10,54,20,91,72,36,43,49,12,70,37,71,53,29,16,21
75,20,57,0,66,38,13,76,77,12,75,31,51,35,56,31,26,70,37,44,6,25,29,14,44,45,37,72,59,41,35,44,50,25,36,19,2,46,37,57,67,40,65,25,52,49,39,39,32,25,48,17,43,17,51,4,57,35,60,45,35,50,6,74,39,16,66,27,55,60,44,54,22,42,68,60,79
18,69,37,66,0,43,78,56,27,67,28,59,15,31,17,66,65,26,65,97,60,78,37,80,55,101,79,6,40,57,57,92,22,41,30,55,64,79,81,36,20,56,9,60,24,99,89,68,34,91,54,53,79,83,72,65,34,61,31,66,44,45,66,55,86,74,1,68,22,25,52,73,69,83,67,54,43
58,52,19,38,43,0,51,39,65,31,65,53,32,21,43,23,53,60,61,55,35,38,21,46,59,60,36,46,21,59,14,79,20,26,19,40,36,74,38,56,34,57,37,19,44,56,74,64,24,56,16,20,36,54,30,39,20,57,23,67,44,12,34,36,73,53,42,26,45,25,58,32,53,40,36,24,41
85,16,71,13,78,51,0,90,85,24,83,31,62,47,66,43,24,78,35,47,18,33,42,15,45,46,46,84,73,42,49,33,63,37,49,25,16,40,45,63,80,42,77,38,60,53,28,36,43,20,62,31,53,7,63,13,71,34,73,43,40,63,18,87,30,8,78,38,64,74,47,66,18,50,81,73,93
74,92,23,76,56,39,90,0,84,67,85,91,56,56,67,52,93,82,99,78,74,68,58,82,95,85,59,54,20,96,43,119,41,64,53,79,74,113,62,86,36,94,47,53,72,77,114,103,60,91,29,59,54,92,39,78,25,96,27,105,80,27,72,2,113,92,55,56,72,32,93,38,93,60,19,17,17
10,72,64,77,27,65,85,84,0,81,2,58,33,46,22,86,66,6,60,115,70,95,51,92,47,118,98,31,67,51,79,89,47,52,47,60,75,71,100,24,47,50,36,78,24,118,87,63,47,102,79,69,100,92,96,74,61,58,58,58,44,70,79,82,83,78,28,87,21,52,45,97,71,103,94,80,70
78,33,50,12,67,31,24,67,81,0,80,42,52,36,59,18,38,75,49,34,16,14,30,15,55,37,24,72,51,52,24,57,47,29,36,29,12,59,24,64,64,51,63,14,57,38,51,52,34,25,38,13,30,24,38,16,51,47,54,57,43,41,6,64,52,29,66,14,59,56,54,42,34,29,57,50,72
12,70,65,75,28,65,83,85,2,80,0,56,33,46,21,85,64,5,58,114,69,94,50,90,45,117,98,32,67,49,79,87,47,51,46,58,74,69,100,22,48,48,37,78,23,117,85,61,46,101,79,68,100,90,95,73,62,56,58,56,43,70,77,83,81,77,29,86,20,53,43,97,69,103,94,81,71
60,15,68,31,59,53,31,91,58,42,56,0,45,36,43,58,8,51,8,75,26,56,33,44,14,75,66,66,71,10,58,33,53,27,39,13,30,22,67,33,69,10,62,50,36,80,30,11,31,52,68,38,72,38,76,26,67,5,67,15,14,65,36,88,26,23,59,55,40,65,15,79,13,72,89,77,88
27,54,34,51,15,32,62,56,33,52,33,45,0,16,11,53,50,29,52,84,45,64,21,64,43,87,66,22,36,45,46,78,15,25,15,39,49,66,68,29,25,43,17,46,16,86,74,55,19,75,46,38,67,68,62,49,31,48,29,54,30,38,51,54,71,58,15,55,15,25,41,64,53,71,62,49,47
42,41,33,35,31,21,47,56,46,36,46,36,16,0,24,39,39,41,44,68,29,49,5,48,39,72,52,37,35,39,34,67,17,10,2,26,33,58,54,34,34,38,30,32,23,71,63,47,4,59,38,22,54,52,52,34,31,40,31,48,24,32,35,53,60,44,31,40,25,29,37,54,41,57,57,44,51
18,55,45,56,17,43,66,67,22,59,21,43,11,24,0,63,50,17,48,93,50,73,29,71,38,96,76,24,48,40,57,76,27,31,25,41,54,62,78,19,34,39,23,56,7,96,74,52,25,81,58,46,78,72,74,54,43,45,40,49,28,50,57,65,70,61,17,64,4,35,35,76,54,81,74,61,56
80,51,39,31,66,23,43,52,86,18,85,58,53,39,63,0,55,81,66,31,32,16,35,31,68,37,12,69,40,67,10,75,44,37,38,44,30,77,15,73,57,66,60,8,63,33,70,69,39,39,22,20,14,42,20,34,41,63,45,73,55,29,25,49,71,48,65,4,65,48,68,23,52,17,39,34,60
68,7,71,26,65,53,24,93,66,38,64,8,50,39,50,55,0,59,11,69,22,51,36,37,22,69,62,72,73,18,57,27,57,29,42,13,26,21,63,42,73,18,67,48,43,74,24,13,35,44,68,36,68,31,75,21,70,10,71,20,21,66,31,90,21,15,66,52,47,69,23,78,5,68,89,78,91
