0,74,36,69,18,20,51,62,70,12,20,46,30,49,42,38,19,45,8,58,76,27,64,20,13,39,76,61,22,13,40,55,58,31,7,55,8,96,15,38,37,55,67,62,44,81,21,17,58,77,73,31,16,83,16,90,50,68,35,77,86,79,77,80,69,51,62,29,29,56,42,52,34,24,88,39,43,45,87,30,73,87,71,65,48,74,73
74,0,102,51,63,62,30,114,58,81,84,97,63,36,35,64,93,53,81,42,55,82,45,85,79,34,60,28,51,83,33,22,63,102,67,112,66,81,68,68,51,82,111,13,79,88,87,74,15,78,82,88,85,60,89,61,54,55,50,28,76,56,84,63,122,26,24,65,62,93,40,95,103,81,72,34,52,28,61,87,80,58,65,101,26,95,2
36,102,0,78,38,57,85,29,76,24,18,22,41,69,75,43,31,56,35,73,83,57,76,17,25,71,82,81,53,23,72,80,62,9,43,21,39,95,52,40,53,46,39,92,36,73,16,27,88,73,66,16,41,89,22,97,59,75,71,96,85,86,69,84,35,76,84,65,66,37,63,31,7,55,89,69,56,75,93,58,67,95,73,44,79,60,101
69,51,78,0,50,72,62,77,6,68,65,62,40,26,58,35,87,24,78,12,6,92,7,66,64,51,10,24,53,69,51,35,18,83,66,78,60,33,74,37,31,39,70,53,43,37,68,58,48,27,32,62,85,14,77,20,19,4,71,27,25,9,33,13,84,36,27,81,78,52,30,57,82,89,23,46,25,47,18,96,29,17,14,58,51,46,48
18,63,38,50,0,29,47,56,51,18,21,39,11,33,38,19,36,26,27,40,57,44,46,22,16,32,58,45,16,20,33,42,40,38,18,51,11,77,28,21,19,40,58,54,29,64,23,11,49,59,55,26,35,64,28,71,31,49,39,61,67,60,59,61,64,38,47,40,39,43,26,41,39,42,69,30,24,36,68,48,55,68,52,53,40,59,62
20,62,57,72,29,0,35,81,75,32,40,65,40,47,27,48,34,51,23,60,79,20,66,41,33,28,81,57,19,33,29,48,66,51,13,75,20,103,6,51,42,70,86,49,59,93,41,34,46,86,84,51,24,86,36,93,56,73,15,73,93,82,88,85,89,45,57,10,9,72,42,70,54,19,94,31,48,35,90,25,84,89,78,82,36,88,62
51,30,85,62,47,35,0,104,68,61,67,86,52,37,9,57,69,52,57,50,68,53,55,67,60,15,72,40,31,62,15,27,66,82,43,99,45,96,41,61,45,79,104,16,72,94,69,57,17,85,87,74,59,75,67,79,54,65,21,50,88,71,89,76,111,26,37,36,32,87,37,87,84,53,85,19,49,16,78,58,85,75,73,97,11,96,31
62,114,29,77,56,81,104,0,73,49,41,17,52,78,94,50,61,61,63,77,81,86,78,41,48,88,77,88,72,49,89,91,59,39,68,8,62,83,77,45,63,37,12,107,35,58,40,47,102,62,53,30,70,85,50,91,62,73,94,101,75,82,56,78,7,88,92,91,91,25,73,20,36,83,80,85,62,91,88,87,56,90,68,24,95,42,112
70,58,76,6,51,75,68,73,0,67,64,59,41,30,63,34,87,24,78,17,7,94,12,66,64,55,6,30,55,69,55,41,14,81,68,75,62,28,77,36,33,35,65,59,40,30,67,57,54,20,26,60,86,13,77,20,20,2,75,33,20,9,27,9,79,41,33,84,82,48,33,53,81,92,18,51,27,52,17,98,23,18,7,52,56,40,55
12,81,24,68,18,32,61,49,67,0,8,35,27,52,51,33,19,43,15,59,74,38,64,8,3,48,74,64,30,1,49,60,54,20,19,42,15,92,28,33,37,47,55,70,35,74,9,9,66,71,66,20,23,81,9,88,48,66,47,80,81,77,70,77,56,56,66,41,42,45,45,41,22,35,84,47,42,53,85,40,67,85,67,55,56,65,80
20,84,18,65,21,40,67,41,64,8,0,26,25,53,57,30,25,42,23,58,71,46,62,1,7,53,71,65,35,8,54,63,51,17,27,34,22,87,36,29,37,41,46,74,29,68,2,10,70,66,60,11,31,78,14,85,46,63,54,81,77,74,64,74,48,59,67,50,50,37,46,32,18,43,80,51,41,57,82,48,61,83,63,46,61,58,83
46,97,22,62,39,65,86,17,59,35,26,0,34,61,76,32,50,44,50,60,67,73,62,26,33,70,64,71,55,35,71,74,45,32,52,15,45,74,62,28,45,25,20,89,19,51,26,31,84,52,44,15,57,72,38,79,46,59,77,85,65,69,48,66,25,71,75,75,75,15,56,8,29,70,69,67,45,73,76,74,46,77,55,21,77,37,95
30,63,41,40,11,40,52,52,41,27,25,34,0,28,43,8,46,16,38,32,47,56,37,26,23,36,47,40,24,28,37,40,28,43,30,49,22,66,40,10,12,29,51,55,20,52,27,17,50,47,44,25,46,54,36,61,21,39,48,56,56,50,47,50,60,37,43,51,49,34,22,34,43,53,58,33,15,39,58,59,43,58,41,44,43,48,61
