0,87,94,42,67,85,22,2,60,28,44,48,63,58,28,50,60,51,67,63,38,41,53,52,73,89,55,69,73,55,82,94,75,65,53,97,98,17,59,24,71,49,35,88,69,23,86,37,56,92,39,33,35,5,40,43,23,98,29,85,59,31,16,40,82,37,61,45,58,67,33,95,40,37,73,67
87,0,88,79,76,2,104,88,73,64,64,53,64,30,79,88,30,57,84,89,48,68,84,44,14,19,42,37,68,33,91,83,87,60,48,88,95,69,35,84,21,63,97,86,70,96,84,112,105,7,117,56,63,92,65,74,104,93,80,3,31,68,79,101,25,49,45,45,74,97,66,85,54,89,52,72
94,88,0,122,26,87,92,93,33,69,113,54,33,88,112,47,93,49,28,35,82,114,42,101,88,71,57,52,24,72,16,6,21,34,54,3,6,83,62,112,96,47,69,5,26,81,8,84,56,87,91,92,104,99,111,50,91,4,64,85,67,105,102,69,63,80,49,67,35,37,106,5,99,61,37,26
42,79,122,0,97,78,63,44,89,53,15,68,89,50,13,87,48,73,100,98,42,11,88,34,65,90,69,81,98,59,114,120,107,88,70,124,128,40,68,18,57,75,76,117,96,65,115,79,96,86,80,31,19,42,13,76,64,127,65,79,65,17,25,81,87,43,78,57,89,103,16,122,26,76,91,95
67,76,26,97,0,74,67,66,7,43,88,31,12,68,86,24,73,25,9,16,58,89,18,79,72,62,37,38,11,52,17,26,12,16,32,29,30,57,43,86,78,21,45,21,6,56,18,62,38,76,69,67,79,72,86,24,66,30,38,73,48,80,76,46,54,56,31,44,9,23,81,28,75,36,25,4
85,2,87,78,74,0,102,86,71,62,63,51,62,28,77,86,29,54,82,87,46,67,82,43,12,19,40,35,66,31,89,81,85,58,45,87,93,67,33,83,21,61,95,85,68,94,82,109,103,8,115,54,61,90,64,72,102,91,78,1,29,66,77,99,23,47,43,43,72,95,65,83,52,87,50,70
22,104,92,63,67,102,0,19,60,40,66,57,67,77,50,44,81,58,63,57,57,64,49,74,92,103,67,80,75,71,77,94,71,70,64,95,94,36,73,44,91,54,23,86,70,11,84,17,43,109,16,54,58,21,62,44,1,95,30,102,74,53,38,26,95,56,71,59,58,58,55,95,62,30,80,68
2,88,93,44,66,86,19,0,59,28,46,48,63,59,31,48,62,50,66,61,40,44,52,54,75,90,55,70,72,56,80,93,74,65,53,96,97,19,60,26,73,48,33,87,68,20,85,35,53,94,36,35,38,6,43,42,20,97,28,86,60,33,19,37,83,39,62,45,57,65,35,94,42,35,73,67
60,73,33,89,7,71,60,59,0,36,81,25,10,62,78,20,68,19,12,16,52,82,14,73,68,61,32,36,15,46,24,34,18,14,27,36,38,50,39,79,73,14,39,28,9,49,25,56,36,74,64,60,72,65,79,16,60,38,31,70,44,72,68,41,52,49,27,38,2,24,73,35,68,30,25,8
28,64,69,53,43,62,40,28,36,0,47,19,37,40,42,35,45,23,46,44,22,47,35,43,53,63,27,41,46,31,60,68,53,38,25,72,74,13,32,43,54,22,34,64,43,31,61,47,48,69,52,26,37,34,44,22,40,74,17,62,34,36,32,39,55,19,33,19,35,51,38,70,35,28,44,42
44,64,113,15,88,63,66,46,81,47,0,58,79,35,19,82,33,64,92,91,30,4,82,19,50,75,57,68,88,46,106,110,99,78,59,115,119,36,56,26,42,66,75,108,87,65,105,81,93,71,83,21,9,46,3,69,67,118,62,64,52,13,28,80,73,32,66,46,81,98,11,112,13,73,80,86
48,53,54,68,31,51,57,48,25,19,58,0,21,38,59,35,43,6,37,39,27,59,32,48,45,46,10,23,30,22,49,52,43,20,6,56,60,32,18,60,49,10,44,50,28,47,47,60,52,56,67,37,49,54,56,21,57,59,28,50,21,51,50,48,38,25,14,13,25,46,51,54,44,36,25,28
63,64,33,89,12,62,67,63,10,37,79,21,0,56,79,29,62,15,20,26,49,80,24,68,60,51,25,26,9,40,29,31,24,4,21,35,39,51,31,80,66,14,47,29,7,56,26,65,46,65,72,58,70,69,77,22,66,38,37,61,36,71,69,50,43,46,19,34,12,33,72,33,65,38,15,8
58,30,88,50,68,28,77,59,62,40,35,38,56,0,48,71,5,43,75,77,20,39,69,16,16,40,31,37,64,16,86,84,80,54,35,89,95,41,26,54,13,49,74,85,64,71,82,87,87,37,91,26,32,63,36,57,77,93,58,29,21,37,48,79,38,21,39,25,63,84,36,86,24,69,51,65
28,79,112,13,86,77,50,31,78,42,19,59,79,48,0,74,49,64,88,85,35,15,76,36,64,87,61,75,88,54,102,111,96,79,62,114,117,29,62,6,59,65,63,107,86,51,104,66,83,86,66,24,16,29,16,64,51,116,53,78,60,10,12,67,83,36,70,49,77,91,12,112,24,63,83,85
50,88,47,87,24,86,44,48,20,35,82,35,29,71,74,0,77,31,19,12,56,81,5,78,80,78,45,53,34,57,33,50,26,34,40,51,50,46,52,72,84,24,21,42,29,33,40,37,17,90,45,61,72,54,79,14,43,50,21,85,56,71,62,22,70,53,43,46,17,16,72,50,70,13,45,27
60,30,93,48,73,29,81,62,68,45,33,43,62,5,49,77,0,49,80,82,23,37,75,14,16,42,36,42,69,21,91,89,86,59,41,95,100,44,31,54,10,54,79,90,70,75,87,91,92,37,95,28,32,65,35,62,81,98,62,30,26,38,50,84,41,25,44,30,68,90,36,91,24,73,56,70
51,57,49,73,25,54,58,50,19,23,64,6,15,43,64,31,49,0,31,33,33,65,27,54,50,48,14,23,24,28,43,46,37,15,9,51,54,36,21,65,55,6,43,44,22,48,41,60,48,59,66,43,55,57,62,18,58,53,28,54,26,56,55,47,40,31,13,19,19,41,57,48,50,34,22,22
